word,borrowing,age_oldest,age_youngest,age_oldest_num,age_youngest_num,word,phonology,phonlength,AoA,subtlexzipf,conc,cat,nounornot,verbornot,adjornot,advornot,pronounornot,functionornot,numberornot,pagel_rate
fight,5,Proto-West Germanic,Proto-West Germanic,2000,2000,fight,f2t,3,5.47,5.04,4.2,Verb,0,1,0,0,0,0,0,4.21
stretch,5,Proto-West Germanic,Proto-West Germanic,2000,2000,stretch,strEJ,5,5.47,4.38,3.62,Verb,0,1,0,0,0,0,0,#N/A
strike,5,Proto-West Germanic,Proto-West Germanic,2000,2000,strike,str2k,5,7.75,4.73,4.07,Verb,0,1,0,0,0,0,0,#N/A
bury,5,Proto-West Germanic,Proto-West Germanic,2000,2000,bury,bErI,4,6.28,4.07,3.82,Verb,0,1,0,0,0,0,0,#N/A
hope,5,Proto-West Germanic,Proto-West Germanic,2000,2000,hope,h5p,3,4.89,5.56,1.25,Verb,0,1,0,0,0,0,0,#N/A
hire,5,Proto-West Germanic,Proto-West Germanic,2000,2000,hire,h2@R,4,9,4.04,3.11,Verb,0,1,0,0,0,0,0,#N/A
rattle,5,Proto-West Germanic,Proto-West Germanic,2000,2000,rattle,r{tP,4,4.5,3.6,4.07,Verb,0,1,0,0,0,0,0,#N/A
speak,5,Proto-West Germanic,Proto-West Germanic,2000,2000,speak,spik,4,3.56,5.09,3.7,Verb,0,1,0,0,0,0,0,#N/A
start,5,Proto-West Germanic,Proto-West Germanic,2000,2000,start,st#t,4,4.37,5.77,2.71,Verb,0,1,0,0,0,0,0,#N/A
kneel,5,Proto-West Germanic,Proto-West Germanic,2000,2000,kneel,nil,3,6.95,3.22,4.31,Verb,0,1,0,0,0,0,0,#N/A
scratch,5,Proto-West Germanic,Proto-West Germanic,2000,2000,scratch,skr{J,5,5.61,4.39,4.16,Verb,0,1,0,0,0,0,0,4.44
snore,5,Proto-West Germanic,Proto-West Germanic,2000,2000,snore,sn$R,4,5.94,3.02,4.39,Verb,0,1,0,0,0,0,0,#N/A
felt,5,Proto-West Germanic,Proto-West Germanic,2000,2000,felt,fElt,4,6.1,5.15,3.04,Verb,0,1,0,0,0,0,0,#N/A
shut,5,Proto-West Germanic,Proto-West Germanic,2000,2000,shut,SVt,3,4.89,4.85,3.38,Verb,0,1,0,0,0,0,0,#N/A
forget,5,Proto-West Germanic,Proto-West Germanic,2000,2000,forget,f@gEt,5,4.78,5.04,2.04,Verb,0,1,0,0,0,0,0,#N/A
choke,5,Proto-West Germanic,Proto-West Germanic,2000,2000,choke,J5k,3,6.11,3.38,3.97,Verb,0,1,0,0,0,0,0,#N/A
climb,5,Proto-West Germanic,Proto-West Germanic,2000,2000,climb,kl2m,4,5.3,4.45,4.11,Verb,0,1,0,0,0,0,0,#N/A
smoke,5,Proto-West Germanic,Proto-West Germanic,2000,2000,smoke,sm5k,4,4,4.53,4.96,Verb,0,1,0,0,0,0,0,1.7
worry,5,Proto-West Germanic,Proto-West Germanic,2000,2000,worry,wVrI,4,6.61,5.14,2.55,Verb,0,1,0,0,0,0,0,#N/A
lead,5,Proto-West Germanic,Proto-West Germanic,2000,2000,lead,lid,3,6.76,5.18,4.1,Verb,0,1,0,0,0,0,0,#N/A
learn,5,Proto-West Germanic,Proto-West Germanic,2000,2000,learn,l3n,3,4.44,5.01,2.2,Verb,0,1,0,0,0,0,0,#N/A
spread,5,Proto-West Germanic,Proto-West Germanic,2000,2000,spread,sprEd,5,5.72,4.62,3.68,Verb,0,1,0,0,0,0,0,#N/A
key,5,Frisian-Old English,Frisian-Old English,850,850,key,ki,2,3.58,5.07,4.89,Noun,1,0,0,0,0,0,0,#N/A
day,5,Proto-Germanic,Proto-Germanic,2500,2500,day,d1,2,3.5,5.99,3.92,Noun,1,0,0,0,0,0,0,1.04
child,5,Proto-Germanic,Proto-Germanic,2500,2500,child,J2ld,4,5.15,5.14,4.78,Noun,1,0,0,0,0,0,0,6.31
spring,5,Proto-Germanic,Proto-Germanic,2500,2500,spring,sprIN,5,5.5,4.69,3.89,Noun,1,0,0,0,0,0,0,#N/A
sail,5,Proto-Germanic,Proto-Germanic,2500,2500,sail,s1l,3,6.47,4.17,4.59,Verb,0,1,0,0,0,0,0,#N/A
green,5,Proto-Germanic,Proto-Germanic,2500,2500,green,grin,4,3.79,5.22,4.07,Adjective,0,0,1,0,0,0,0,2.46
weak,5,Proto-Germanic,Proto-Germanic,2500,2500,weak,wik,3,5.58,4.33,2.79,Adjective,0,0,1,0,0,0,0,#N/A
wide,5,Proto-Germanic,Proto-Germanic,2500,2500,wide,w2d,3,5.84,4.73,3.06,Adjective,0,0,1,0,0,0,0,2.89
black,5,Proto-Germanic,Proto-Germanic,2500,2500,black,bl{k,4,3.56,5.26,3.76,Adjective,0,0,1,0,0,0,0,1.91
hungry,5,Proto-Germanic,Proto-Germanic,2500,2500,hungry,hVNgrI,6,3.63,4.55,2.9,Adjective,0,0,1,0,0,0,0,#N/A
ready,5,Proto-Germanic,Proto-Germanic,2500,2500,ready,rEdI,4,5.53,5.52,2.07,Adjective,0,0,1,0,0,0,0,#N/A
bright,5,Proto-Germanic,Proto-Germanic,2500,2500,bright,br2t,4,6.58,4.82,3.92,Adjective,0,0,1,0,0,0,0,#N/A
hot,5,Proto-Germanic,Proto-Germanic,2500,2500,hot,hQt,3,3.37,5.14,4.31,Adjective,0,0,1,0,0,0,0,#N/A
sorry,5,Proto-Germanic,Proto-Germanic,2500,2500,sorry,sQrI,4,3.44,5.65,1.9,Adjective,0,0,1,0,0,0,0,#N/A
tall,5,Proto-Germanic,Proto-Germanic,2500,2500,tall,t$l,3,4.95,4.51,3.36,Adjective,0,0,1,0,0,0,0,#N/A
cold,5,Proto-Germanic,1537,2500,463,cold,k5ld,4,3.95,5.11,3.85,Adjective,0,0,1,0,0,0,0,3.58
sharp,5,Proto-Germanic,Proto-Germanic,2500,2500,sharp,S#p,3,6.11,4.55,3.86,Adjective,0,0,1,0,0,0,0,3.76
holy,5,Proto-Germanic,Proto-Germanic,2500,2500,holy,h5lI,4,5.55,4.37,1.67,Adjective,0,0,1,0,0,0,0,#N/A
clean,5,Proto-Germanic,Proto-Germanic,2500,2500,clean,klin,4,3.89,4.97,3.07,Adjective,0,0,1,0,0,0,0,#N/A
TRUE,5,Proto-Germanic,Proto-Germanic,2500,2500,TRUE,tru,3,4.64,5.33,1.7,Adjective,0,0,1,0,0,0,0,#N/A
short,5,Proto-Germanic,Proto-Germanic,2500,2500,short,S$t,3,4.32,5.13,3.61,Adjective,0,0,1,0,0,0,0,3.39
strong,5,Proto-Germanic,Proto-Germanic,2500,2500,strong,strQN,5,4.58,5.25,3.14,Adjective,0,0,1,0,0,0,0,#N/A
lame,5,Proto-Germanic,Proto-Germanic,2500,2500,lame,l1m,3,9.21,3.51,2.52,Adjective,0,0,1,0,0,0,0,#N/A
bitter,5,Proto-Germanic,Proto-Germanic,2500,2500,bitter,bIt@R,5,8.81,4.19,2.93,Adjective,0,0,1,0,0,0,0,#N/A
high,5,Proto-Germanic,Proto-Germanic,2500,2500,high,h2,2,4.58,5.53,3.46,Adjective,0,0,1,0,0,0,0,#N/A
fat,5,Proto-Germanic,Proto-Germanic,2500,2500,fat,f{t,3,5.15,4.77,4.52,Adjective,0,0,1,0,0,0,0,4.89
swelling,5,Proto-Germanic,Proto-Germanic,2500,2500,swelling,swElIN,6,#N/A,3.51,4.13,Adjective,0,0,1,0,0,0,0,#N/A
sour,5,Proto-Germanic,Proto-Germanic,2500,2500,sour,s6@R,4,4.89,3.97,3.14,Adjective,0,0,1,0,0,0,0,#N/A
sick,5,Proto-Germanic,Proto-Germanic,2500,2500,sick,sIk,3,4.05,4.76,2.97,Adjective,0,0,1,0,0,0,0,#N/A
dark,5,Proto-Germanic,Proto-Germanic,2500,2500,dark,d#k,3,3.74,4.94,4.29,Adjective,0,0,1,0,0,0,0,#N/A
dry,5,Proto-Germanic,Proto-Germanic,2500,2500,dry,dr2,3,4.11,4.96,3.77,Adjective,0,0,1,0,0,0,0,1.83
other,5,Proto-Germanic,Proto-Germanic,2500,2500,other,VD@R,4,5.33,5.98,2.04,Adjective,0,0,1,0,0,0,0,2.66
dead,5,Proto-Germanic,Proto-Germanic,2500,2500,dead,dEd,3,5.17,5.15,4.07,Adjective,0,0,1,0,0,0,0,#N/A
alive,5,Proto-Germanic,Proto-Germanic,2500,2500,alive,@l2v,4,5.11,4.82,3.14,Adjective,0,0,1,0,0,0,0,#N/A
little,5,Proto-Germanic,Proto-Germanic,2500,2500,little,lItP,4,3.95,6.03,3.67,Adjective,0,0,1,0,0,0,0,#N/A
greedy,5,Proto-Germanic,Proto-Germanic,2500,2500,greedy,gridI,5,7.53,3.78,2.64,Adjective,0,0,1,0,0,0,0,#N/A
thick,5,Proto-Germanic,Proto-Germanic,2500,2500,thick,TIk,3,5.61,4.52,4,Adjective,0,0,1,0,0,0,0,5.41
sore,5,Proto-Germanic,Proto-Germanic,2500,2500,sore,s$R,3,5.84,4.06,3.23,Adjective,0,0,1,0,0,0,0,#N/A
glad,5,Proto-Germanic,Proto-Germanic,2500,2500,glad,gl{d,4,5.79,4.85,2.36,Adjective,0,0,1,0,0,0,0,#N/A
back,5,Proto-Germanic,Proto-Germanic,2500,2500,back,b{k,3,5.31,6.25,4.33,Adverb,0,0,0,1,0,0,0,4.29
fast,5,Proto-Germanic,Proto-Germanic,2500,2500,fast,f#st,4,3.74,5.09,3.32,Adverb,0,0,0,1,0,0,0,#N/A
here,5,Proto-Germanic,Proto-Germanic,2500,2500,here,h7R,3,3.74,6.45,3.13,Adverb,0,0,0,1,0,0,0,3.25
alike,5,Proto-Germanic,Proto-Germanic,2500,2500,alike,@l2k,4,6.12,3.75,2.38,Adverb,0,0,0,1,0,0,0,#N/A
up,5,Proto-Germanic,Proto-Germanic,2500,2500,up,Vp,2,2.92,6.53,3.83,Adverb,0,0,0,1,0,0,0,#N/A
often,5,Proto-Germanic,Proto-Germanic,2500,2500,often,QfH,3,6.53,5.18,2.5,Adverb,0,0,0,1,0,0,0,#N/A
well,5,Proto-Germanic,Proto-Germanic,2500,2500,well,wEl,3,6.16,6.43,3.33,Adverb,0,0,0,1,0,0,0,#N/A
and,5,Proto-Germanic,Proto-Germanic,2500,2500,and,{nd,3,4.57,7.32,1.52,Conjunction,0,0,0,0,0,1,0,3.39
if,5,Proto-Germanic,Proto-Germanic,2500,2500,if,If,2,5.36,6.5,1.19,Conjunction,0,0,0,0,0,1,0,4.32
half,5,Proto-Germanic,Proto-Germanic,2500,2500,half,h#f,3,5.45,5.55,3.27,Determiner,0,0,0,0,0,1,0,#N/A
own,5,Proto-Germanic,Proto-Germanic,2500,2500,own,5n,2,5.21,5.72,1.96,Determiner,0,0,0,0,0,1,0,#N/A
which,5,Proto-Germanic,Proto-Germanic,2500,2500,which,wIJ,3,6.58,6.26,1.54,Determiner,0,0,0,0,0,1,0,#N/A
all,5,Proto-Germanic,Proto-Germanic,2500,2500,all,$l,2,4.24,6.63,2.27,Determiner,0,0,0,0,0,1,0,2.02
tide,5,Proto-Germanic,Proto-Germanic,2500,2500,tide,t2d,3,6.68,4.25,4.1,Noun,1,0,0,0,0,0,0,#N/A
twist,5,Proto-Germanic,Proto-Germanic,2500,2500,twist,twIst,5,6.46,4.4,3.9,Noun,1,0,0,0,0,0,0,#N/A
week,5,Proto-Germanic,Proto-Germanic,2500,2500,week,wik,3,5.11,5.66,3.48,Noun,1,0,0,0,0,0,0,#N/A
glove,5,Proto-Germanic,Proto-Germanic,2500,2500,glove,glVv,4,4.3,3.81,4.97,Noun,1,0,0,0,0,0,0,#N/A
ant,5,Proto-Germanic,Proto-Germanic,2500,2500,ant,{nt,3,4.32,3.95,4.86,Noun,1,0,0,0,0,0,0,#N/A
cloth,5,Proto-Germanic,Proto-Germanic,2500,2500,cloth,klQT,4,5.3,4.01,4.9,Noun,1,0,0,0,0,0,0,#N/A
shirt,5,Proto-Germanic,Proto-Germanic,2500,2500,shirt,S3t,3,3.53,4.47,4.94,Noun,1,0,0,0,0,0,0,#N/A
liver,5,Proto-Germanic,Proto-Germanic,2500,2500,liver,lIv@R,5,8.56,4.13,4.68,Noun,1,0,0,0,0,0,0,2.66
east,5,Proto-Germanic,Proto-Germanic,2500,2500,east,ist,3,6.94,5.19,3.04,Noun,1,0,0,0,0,0,0,#N/A
finger,5,Proto-Germanic,Proto-Germanic,2500,2500,finger,fINg@R,6,3.43,4.53,5,Noun,1,0,0,0,0,0,0,#N/A
thousand,5,Proto-Germanic,Proto-Germanic,2500,2500,thousand,T6zHd,5,6.6,4.36,3.08,Noun,1,0,0,0,0,0,0,#N/A
eel,5,Proto-Germanic,Proto-Germanic,2500,2500,eel,il,2,6.47,3.56,4.69,Noun,1,0,0,0,0,0,0,#N/A
book,5,Proto-Germanic,Proto-Germanic,2500,2500,book,bUk,3,3.68,5.21,4.9,Noun,1,0,0,0,0,0,0,#N/A
shame,5,Proto-Germanic,Proto-Germanic,2500,2500,shame,S1m,3,6.55,4.72,2.24,Noun,1,0,0,0,0,0,0,#N/A
glass,5,Proto-Germanic,Proto-Germanic,2500,2500,glass,gl#s,4,4.47,4.92,4.82,Noun,1,0,0,0,0,0,0,#N/A
hook,5,Proto-Germanic,Proto-Germanic,2500,2500,hook,hUk,3,6.26,4.21,4.79,Noun,1,0,0,0,0,0,0,#N/A
shoe,5,Proto-Germanic,Proto-Germanic,2500,2500,shoe,Su,2,2.6,4.15,4.97,Noun,1,0,0,0,0,0,0,#N/A
dream,5,Proto-Germanic,Proto-Germanic,2500,2500,dream,drim,4,4.88,5,2.6,Noun,1,0,0,0,0,0,0,#N/A
snail,5,Proto-Germanic,Proto-Germanic,2500,2500,snail,sn1l,4,5.79,3.69,4.93,Noun,1,0,0,0,0,0,0,#N/A
stepdaughter,5,Proto-Germanic,Proto-Germanic,2500,2500,stepdaughter,stEpd$t@R,9,8.61,2.55,4.07,Noun,1,0,0,0,0,0,0,#N/A
morning,5,Proto-Germanic,Proto-Germanic,2500,2500,morning,m$nIN,5,4,5.5,3.44,Noun,1,0,0,0,0,0,0,#N/A
grasp,5,Proto-Germanic,Proto-Germanic,2500,2500,grasp,gr#sp,5,8.2,3.77,3.63,Noun,1,0,0,0,0,0,0,#N/A
grass,5,Proto-Germanic,Proto-Germanic,2500,2500,grass,gr#s,4,3.94,4.58,4.93,Noun,1,0,0,0,0,0,0,2.73
shell,5,Proto-Germanic,Proto-Germanic,2500,2500,shell,SEl,3,5.22,4.39,4.8,Noun,1,0,0,0,0,0,0,#N/A
island,5,Proto-Germanic,Proto-Germanic,2500,2500,island,2l@nd,5,7.41,4.96,4.96,Noun,1,0,0,0,0,0,0,#N/A
gums,5,Proto-Germanic,Proto-Germanic,2500,2500,gums,gVmz,4,4.89,3.06,4.89,Noun,1,0,0,0,0,0,0,#N/A
sea,5,Proto-Germanic,Proto-Germanic,2500,2500,sea,si,2,4.74,5.2,4.79,Noun,1,0,0,0,0,0,0,2.53
blood,5,Proto-Germanic,Proto-Germanic,2500,2500,blood,blVd,4,4.89,4.98,4.86,Noun,1,0,0,0,0,0,0,2.19
sap,5,Proto-Germanic,Proto-Germanic,2500,2500,sap,s{p,3,7.53,3.4,4.37,Noun,1,0,0,0,0,0,0,#N/A
town,5,Proto-Germanic,Proto-Germanic,2500,2500,town,t6n,3,5.11,5.24,4.64,Noun,1,0,0,0,0,0,0,#N/A
tool,5,Proto-Germanic,Proto-Germanic,2500,2500,tool,tul,3,5.37,4.07,4.6,Noun,1,0,0,0,0,0,0,#N/A
hall,5,Proto-Germanic,Proto-Germanic,2500,2500,hall,h$l,3,5.35,4.83,4.67,Noun,1,0,0,0,0,0,0,#N/A
time,5,Proto-Germanic,Proto-Germanic,2500,2500,time,t2m,3,5.16,6.35,3.07,Noun,1,0,0,0,0,0,0,#N/A
ash,5,Proto-Germanic,Proto-Germanic,2500,2500,ash,{S,2,6.63,4.19,4.96,Noun,1,0,0,0,0,0,0,#N/A
awl,5,Proto-Germanic,Proto-Germanic,2500,2500,awl,$l,2,10.75,1.65,3.81,Noun,1,0,0,0,0,0,0,#N/A
bridge,5,Proto-Germanic,Proto-Germanic,2500,2500,bridge,brI_,4,5.58,4.71,4.97,Noun,1,0,0,0,0,0,0,#N/A
limp,5,Proto-Germanic,Proto-Germanic,2500,2500,limp,lImp,4,7.16,3.35,4.15,Noun,1,0,0,0,0,0,0,#N/A
queen,5,Proto-Germanic,Proto-Germanic,2500,2500,queen,kwin,4,4.42,5.08,4.45,Noun,1,0,0,0,0,0,0,#N/A
rainbow,5,Proto-Germanic,Proto-Germanic,2500,2500,rainbow,r1nb5,5,4.26,4.18,4.57,Noun,1,0,0,0,0,0,0,#N/A
roof,5,Proto-Germanic,Proto-Germanic,2500,2500,roof,ruf,3,5,4.72,4.79,Noun,1,0,0,0,0,0,0,#N/A
room,5,Proto-Germanic,Proto-Germanic,2500,2500,room,rum,3,4.22,5.6,4.79,Noun,1,0,0,0,0,0,0,#N/A
chicken,5,Proto-Germanic,Proto-Germanic,2500,2500,chicken,JIkIn,5,3.26,4.82,4.8,Noun,1,0,0,0,0,0,0,#N/A
toe,5,Proto-Germanic,Proto-Germanic,2500,2500,toe,t5,2,3,4.08,4.93,Noun,1,0,0,0,0,0,0,#N/A
top,5,Proto-Germanic,Proto-Germanic,2500,2500,top,tQp,3,3.89,5.64,3.93,Noun,1,0,0,0,0,0,0,#N/A
gate,5,Proto-Germanic,Proto-Germanic,2500,2500,gate,g1t,3,5.32,4.34,4.96,Noun,1,0,0,0,0,0,0,#N/A
oath,5,Proto-Germanic,Proto-Germanic,2500,2500,oath,5T,2,11.39,3.54,2.79,Noun,1,0,0,0,0,0,0,#N/A
world,5,Proto-Germanic,Proto-Germanic,2500,2500,world,w3ld,4,5.32,5.88,4.36,Noun,1,0,0,0,0,0,0,#N/A
bed,5,Proto-Germanic,Proto-Germanic,2500,2500,bed,bEd,3,2.89,5.12,5,Noun,1,0,0,0,0,0,0,#N/A
bee,5,Proto-Germanic,Proto-Germanic,2500,2500,bee,bi,2,5,4.19,4.88,Noun,1,0,0,0,0,0,0,#N/A
neck,5,Proto-Germanic,Proto-Germanic,2500,2500,neck,nEk,3,3,4.65,5,Noun,1,0,0,0,0,0,0,3.57
drip,5,Proto-Germanic,Proto-Germanic,2500,2500,drip,drIp,4,5.89,3.6,4.14,Noun,1,0,0,0,0,0,0,#N/A
owl,5,Proto-Germanic,Proto-Germanic,2500,2500,owl,6l,2,6.21,4.07,4.93,Noun,1,0,0,0,0,0,0,#N/A
thief,5,Proto-Germanic,Proto-Germanic,2500,2500,thief,Tif,3,7.22,3.91,4.37,Noun,1,0,0,0,0,0,0,#N/A
clothes,5,Proto-Germanic,Proto-Germanic,2500,2500,clothes,kl5Dz,5,3.11,4.74,4.76,Noun,1,0,0,0,0,0,0,#N/A
spear,5,Proto-Germanic,Proto-Germanic,2500,2500,spear,sp7R,4,7.22,3.42,5,Noun,1,0,0,0,0,0,0,#N/A
midday,5,Proto-Germanic,Proto-Germanic,2500,2500,midday,mIdd1,5,7.37,3.64,3.72,Noun,1,0,0,0,0,0,0,#N/A
king,5,Proto-Germanic,Proto-Germanic,2500,2500,king,kIN,3,5.42,5.09,4.1,Noun,1,0,0,0,0,0,0,#N/A
sink,5,Proto-Germanic,1566,2500,434,sink,sINk,4,4.47,4.26,4.74,Noun,1,0,0,0,0,0,0,#N/A
house,5,Proto-Germanic,Proto-Germanic,2500,2500,house,h6z,3,3.16,5.83,5,Noun,1,0,0,0,0,0,0,#N/A
lung,5,Proto-Germanic,Proto-Germanic,2500,2500,lung,lVN,3,7.16,3.81,4.82,Noun,1,0,0,0,0,0,0,#N/A
tree,5,Proto-Germanic,Proto-Germanic,2500,2500,tree,tri,3,3.57,4.95,5,Noun,1,0,0,0,0,0,0,3.58
dye,5,Proto-Germanic,Proto-Germanic,2500,2500,dye,d2,2,7.56,3.49,4.58,Noun,1,0,0,0,0,0,0,#N/A
axe,5,Proto-Germanic,Proto-Germanic,2500,2500,axe,{ks,3,6.11,3.85,5,Noun,1,0,0,0,0,0,0,#N/A
life,5,Proto-Germanic,Proto-Germanic,2500,2500,life,l2f,3,5.89,5.81,2.69,Noun,1,0,0,0,0,0,0,#N/A
hair,5,Proto-Germanic,Proto-Germanic,2500,2500,hair,h8R,3,3.17,5.03,4.97,Noun,1,0,0,0,0,0,0,3.61
stepfather,5,Proto-Germanic,Proto-Germanic,2500,2500,stepfather,stEpf#D@R,9,8.42,2.99,4,Noun,1,0,0,0,0,0,0,#N/A
stepmother,5,Proto-Germanic,Proto-Germanic,2500,2500,stepmother,stEpmVD@R,9,6.33,2.96,4.23,Noun,1,0,0,0,0,0,0,#N/A
dew,5,Proto-Germanic,Proto-Germanic,2500,2500,dew,dju,3,7.37,3.09,4.38,Noun,1,0,0,0,0,0,0,#N/A
west,5,Proto-Germanic,Proto-Germanic,2500,2500,west,wEst,4,5.89,5.29,3.44,Noun,1,0,0,0,0,0,0,#N/A
yolk,5,Proto-Germanic,Proto-Germanic,2500,2500,yolk,j5k,3,5.89,3.52,4.78,Noun,1,0,0,0,0,0,0,#N/A
elbow,5,Proto-Germanic,Proto-Germanic,2500,2500,elbow,Elb5,4,4.78,3.85,5,Noun,1,0,0,0,0,0,0,#N/A
breast,5,Proto-Germanic,Proto-Germanic,2500,2500,breast,brEst,5,6.6,4.19,4.89,Noun,1,0,0,0,0,0,0,#N/A
rafter,5,Proto-Germanic,Proto-Germanic,2500,2500,rafter,r#ft@R,6,10.74,2.36,4.97,Noun,1,0,0,0,0,0,0,#N/A
buttocks,5,Proto-Germanic,Proto-Germanic,2500,2500,buttocks,bVt@ks,6,7.72,3.08,4.83,Noun,1,0,0,0,0,0,0,#N/A
rope,5,Proto-Germanic,Proto-Germanic,2500,2500,rope,r5p,3,5.44,4.3,4.93,Noun,1,0,0,0,0,0,0,6.09
chin,5,Proto-Germanic,Proto-Germanic,2500,2500,chin,JIn,3,4.22,3.93,4.89,Noun,1,0,0,0,0,0,0,#N/A
web,5,Proto-Germanic,Proto-Germanic,2500,2500,web,wEb,3,5.37,4.17,4.37,Noun,1,0,0,0,0,0,0,#N/A
steam,5,Proto-Germanic,Proto-Germanic,2500,2500,steam,stim,4,6.26,4.39,4.5,Noun,1,0,0,0,0,0,0,#N/A
wound,5,Proto-Germanic,Proto-Germanic,2500,2500,wound,w6nd,4,7.52,4.1,4.24,Noun,1,0,0,0,0,0,0,#N/A
way,5,Proto-Germanic,Proto-Germanic,2500,2500,way,w1,2,5.39,6.12,2.34,Noun,1,0,0,0,0,0,0,#N/A
south,5,Proto-Germanic,Proto-Germanic,2500,2500,south,s6T,3,6.06,5.36,3.84,Noun,1,0,0,0,0,0,0,#N/A
hell,5,Proto-Germanic,Proto-Germanic,2500,2500,hell,hEl,3,5.11,4.89,2.41,Noun,1,0,0,0,0,0,0,#N/A
weapons,5,Proto-Germanic,Proto-Germanic,2500,2500,weapons,wEp@nz,6,6.95,4.38,4.76,Noun,1,0,0,0,0,0,0,#N/A
sword,5,Proto-Germanic,Proto-Germanic,2500,2500,sword,s$d,3,5.45,4.09,4.93,Noun,1,0,0,0,0,0,0,#N/A
wife,5,Proto-Germanic,Proto-Germanic,2500,2500,wife,w2f,3,5.67,5.15,4.13,Noun,1,0,0,0,0,0,0,4.12
throat,5,Proto-Germanic,Proto-Germanic,2500,2500,throat,Tr5t,4,5.09,4.16,4.97,Noun,1,0,0,0,0,0,0,#N/A
lamb,5,Proto-Germanic,Proto-Germanic,2500,2500,lamb,l{m,3,4.15,4.61,4.97,Noun,1,0,0,0,0,0,0,#N/A
tail,5,Proto-Germanic,Proto-Germanic,2500,2500,tail,t1l,3,3.7,4.45,4.96,Noun,1,0,0,0,0,0,0,4.16
stone,5,Proto-Germanic,Proto-Germanic,2500,2500,stone,st5n,4,4.44,4.84,4.72,Noun,1,0,0,0,0,0,0,2.73
storm,5,Proto-Germanic,Proto-Germanic,2500,2500,storm,st$m,4,4.94,4.46,4.7,Noun,1,0,0,0,0,0,0,#N/A
friend,5,Proto-Germanic,Proto-Germanic,2500,2500,friend,frEnd,5,3.57,5.29,3.07,Noun,1,0,0,0,0,0,0,#N/A
braid,5,Proto-Germanic,Proto-Germanic,2500,2500,braid,br1d,4,7.22,2.59,4.38,Noun,1,0,0,0,0,0,0,#N/A
duck,5,Proto-Germanic,Proto-Germanic,2500,2500,duck,dVk,3,3.5,4.53,4.86,Noun,1,0,0,0,0,0,0,#N/A
rib,5,Proto-Germanic,Proto-Germanic,2500,2500,rib,rIb,3,6.3,3.52,4.9,Noun,1,0,0,0,0,0,0,#N/A
dust,5,Proto-Germanic,Proto-Germanic,2500,2500,dust,dVst,4,5.06,4.39,4.4,Noun,1,0,0,0,0,0,0,3.63
ram,5,Proto-Germanic,Proto-Germanic,2500,2500,ram,r{m,3,8.32,3.65,4.55,Noun,1,0,0,0,0,0,0,#N/A
ship,5,Proto-Germanic,Proto-Germanic,2500,2500,ship,SIp,3,5.33,4.77,4.87,Noun,1,0,0,0,0,0,0,#N/A
shit,5,Proto-Germanic,Proto-Germanic,2500,2500,shit,SIt,3,6.53,4.68,4.33,Noun,1,0,0,0,0,0,0,#N/A
rain,5,Proto-Germanic,Proto-Germanic,2500,2500,rain,r1n,3,3.6,5.08,4.97,Noun,1,0,0,0,0,0,0,2.39
snake,5,Proto-Germanic,Proto-Germanic,2500,2500,snake,sn1k,4,5.1,4.36,5,Noun,1,0,0,0,0,0,0,3.11
thing,5,Proto-Germanic,Proto-Germanic,2500,2500,thing,TIN,3,4.58,5.94,3.17,Noun,1,0,0,0,0,0,0,#N/A
heaven,5,Proto-Germanic,Proto-Germanic,2500,2500,heaven,hEvH,4,4.22,4.6,1.81,Noun,1,0,0,0,0,0,0,#N/A
belly,5,Proto-Germanic,Proto-Germanic,2500,2500,belly,bElI,4,4.05,4.08,4.8,Noun,1,0,0,0,0,0,0,4.39
north,5,Proto-Germanic,Proto-Germanic,2500,2500,north,n$T,3,6.55,5.32,4.14,Noun,1,0,0,0,0,0,0,#N/A
miss,5,Proto-Germanic,Proto-Germanic,2500,2500,miss,mIs,3,6.33,5.21,2.54,Noun,1,0,0,0,0,0,0,#N/A
waist,5,Proto-Germanic,Proto-Germanic,2500,2500,waist,w1st,4,6.42,3.71,4.72,Noun,1,0,0,0,0,0,0,#N/A
foal,5,Proto-Germanic,Proto-Germanic,2500,2500,foal,f5l,3,8.44,3.15,4.32,Noun,1,0,0,0,0,0,0,#N/A
shield,5,Proto-Germanic,Proto-Germanic,2500,2500,shield,Sild,4,6.5,3.8,4.66,Noun,1,0,0,0,0,0,0,#N/A
neighbour,5,Proto-Germanic,Proto-Germanic,2500,2500,neighbour,n1b@R,5,5.06,4.24,4.64,Noun,1,0,0,0,0,0,0,#N/A
stepson,5,Proto-Germanic,Proto-Germanic,2500,2500,stepson,stEpsVn,7,7.94,2.7,3.68,Noun,1,0,0,0,0,0,0,#N/A
drink,5,Proto-Germanic,Proto-Germanic,2500,2500,drink,drINk,5,3.47,5.06,4.76,Noun,1,0,0,0,0,0,0,1.49
horse,5,Proto-Germanic,Proto-Germanic,2500,2500,horse,h$s,3,4.15,4.99,5,Noun,1,0,0,0,0,0,0,#N/A
god,5,Proto-Germanic,Proto-Germanic,2500,2500,god,gQd,3,4.35,5.38,2.07,Noun,1,0,0,0,0,0,0,#N/A
hand,5,Proto-Germanic,Proto-Germanic,2500,2500,hand,h{nd,4,2.74,5.44,4.72,Noun,1,0,0,0,0,0,0,0.82
whetstone,5,Proto-Germanic,Proto-Germanic,2500,2500,whetstone,wEtst5n,7,12.8,1.81,4.68,Noun,1,0,0,0,0,0,0,#N/A
