"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
635.0434783,0.28,8,NA,NA,NA
685.7083333,1.6,8,NA,NA,NA
878.1764706,0.05,9,NA,NA,NA
754.625,5.58,12,NA,NA,NA
957.9,0.02,13,NA,NA,NA
784.25,1.15,13,NA,NA,NA
741.7368421,1.5,6,NA,NA,NA
708.0526316,10.15,10,NA,NA,NA
737.1363636,1.46,10,NA,NA,NA
865.1,2.07,8,NA,NA,NA
832.6153846,1.05,12,NA,NA,NA
827,1.48,11,NA,NA,NA
880.173913,3.29,12,NA,NA,NA
710.0416667,0.01,8,NA,NA,NA
745.125,0,10,NA,NA,NA
726.7142857,0.04,10,NA,NA,NA
814.3181818,2.83,12,NA,NA,NA
750.7727273,0.49,13,NA,NA,NA
699.64,2.06,9,NA,NA,NA
869.6,0.01,12,NA,NA,NA
781.64,0.28,9,NA,NA,NA
670.75,1.7,7,NA,NA,NA
758.375,0.42,8,NA,NA,NA
578.92,2.12,10,NA,NA,NA
650.125,3.86,11,NA,NA,NA
653.1363636,4.45,9,NA,NA,NA
652.7727273,1.05,10,NA,NA,NA
675.64,1.42,10,NA,NA,NA
615.9565217,8.43,11,NA,NA,NA
677.3181818,0.61,10,NA,NA,NA
808.047619,0,11,NA,NA,NA
821.28,0.19,9,NA,NA,NA
917.6111111,0.01,14,NA,NA,NA
688.7083333,0.8,12,NA,NA,NA
696.625,0.14,13,NA,NA,NA
897.2916667,0.59,11,NA,NA,NA
723.52,0.03,12,NA,NA,NA
924.9166667,0,9,NA,NA,NA
746.5909091,0.16,8,NA,NA,NA
646.88,0.96,10,NA,NA,NA
747.5,0.47,14,NA,NA,NA
805.9583333,0.34,15,NA,NA,NA
696.2173913,22.11,7,NA,NA,NA
759.1363636,0,8,NA,NA,NA
724.9565217,0.01,12,NA,NA,NA
688.6666667,0.21,10,NA,NA,NA
651.25,9.95,8,NA,NA,NA
750.7826087,0.45,8,NA,NA,NA
641.2272727,105.43,12,NA,NA,NA
684.3809524,0.06,13,NA,NA,NA
721.826087,2.02,9,NA,NA,NA
721.9583333,0.96,9,NA,NA,NA
645.5833333,1.79,8,NA,NA,NA
587.3333333,11.33,8,NA,NA,NA
682.2916667,0.06,9,NA,NA,NA
573.6666667,3.34,9,NA,NA,NA
681.52,0.92,10,NA,NA,NA
698.4166667,1.01,12,NA,NA,NA
687.7083333,3.58,13,NA,NA,NA
617.6521739,14.38,8,NA,NA,NA
671.0416667,6.66,9,NA,NA,NA
645.9565217,5.2,10,NA,NA,NA
758.16,0.42,11,NA,NA,NA
582.5217391,8.29,10,NA,NA,NA
805.7826087,0,11,NA,NA,NA
1037,0,17,NA,NA,NA
865.0869565,0.05,12,NA,NA,NA
624.875,8.89,11,NA,NA,NA
755.7391304,0,11,NA,NA,NA
685.2608696,4.74,9,NA,NA,NA
638.0869565,27.94,9,NA,NA,NA
630.4166667,5.53,10,NA,NA,NA
692.28,1.46,11,NA,NA,NA
794.9545455,0.4,11,NA,NA,NA
557.6956522,1.91,10,NA,NA,NA
702.6,0.02,11,NA,NA,NA
626.4583333,1.31,10,NA,NA,NA
1033.588235,0,12,NA,NA,NA
642.875,9.82,7,NA,NA,NA
671.0869565,0.63,8,NA,NA,NA
816.5217391,0.21,12,NA,NA,NA
840.5,0.23,10,NA,NA,NA
789.6666667,1.28,10,NA,NA,NA
775.5416667,0.23,10,NA,NA,NA
725.7391304,7.09,8,NA,NA,NA
676.875,1.85,8,NA,NA,NA
595.826087,19.68,12,NA,NA,NA
657.04,1.25,13,NA,NA,NA
723.4090909,1.26,10,NA,NA,NA
741.84,6.02,9,NA,NA,NA
778.24,0.18,10,NA,NA,NA
829.5,0.02,12,NA,NA,NA
829.1818182,0.13,12,NA,NA,NA
745.7142857,2.21,9,NA,NA,NA
654.36,1.63,9,NA,NA,NA
686.5714286,0.12,7,NA,NA,NA
697.6666667,0.14,11,NA,NA,NA
608.56,0.27,9,NA,NA,NA
652.1428571,1.4,9,NA,NA,NA
706.68,1.46,10,NA,NA,NA
727.8695652,3.44,7,NA,NA,NA
641.88,4.31,7,NA,NA,NA
654.72,2.35,8,NA,NA,NA
625.1304348,0.15,9,NA,NA,NA
677.3913043,0.47,9,NA,NA,NA
667.88,2.87,8,NA,NA,NA
675.3181818,0.01,11,NA,NA,NA
699.44,0.11,11,NA,NA,NA
660.2916667,0.6,8,NA,NA,NA
689.5454545,0.69,9,NA,NA,NA
638.96,0.86,8,NA,NA,NA
631.56,3.62,11,NA,NA,NA
632.5833333,3.56,11,NA,NA,NA
765.32,0.43,12,NA,NA,NA
694.64,3,7,NA,NA,NA
714.44,4.25,14,NA,NA,NA
628.4166667,2.73,12,NA,NA,NA
659.875,5.85,13,NA,NA,NA
726.4347826,1.67,13,NA,NA,NA
647.6666667,0.61,12,NA,NA,NA
737.2,5.34,10,NA,NA,NA
702.173913,4.69,10,NA,NA,NA
730.2380952,0.55,10,NA,NA,NA
589.7083333,41.39,8,NA,NA,NA
784.2173913,7.1,10,NA,NA,NA
691.3684211,2.63,11,NA,NA,NA
736.2083333,0.9,14,NA,NA,NA
764.7916667,4.97,12,NA,NA,NA
766.9583333,3.2,12,NA,NA,NA
810.92,6.82,11,NA,NA,NA
670.8333333,135.24,10,NA,NA,NA
775.1304348,4.48,11,NA,NA,NA
795.35,1.52,12,NA,NA,NA
915.1052632,0.04,13,NA,NA,NA
695.2307692,2.84,12,NA,NA,NA
747.6666667,368.53,9,NA,NA,NA
640.375,68.86,9,NA,NA,NA
768.047619,2.44,10,NA,NA,NA
859.4761905,0.33,11,NA,NA,NA
790.1818182,5.98,9,NA,NA,NA
727.52,12.53,11,NA,NA,NA
828.6666667,4.22,10,NA,NA,NA
677.1818182,3.83,10,NA,NA,NA
703.5,0.83,9,NA,NA,NA
715.8,0.19,10,NA,NA,NA
663.3333333,0.16,10,NA,NA,NA
764.4166667,1.09,10,NA,NA,NA
703.8333333,0.55,11,NA,NA,NA
742.3043478,0,10,NA,NA,NA
658.64,2.44,8,NA,NA,NA
601.92,2.88,9,NA,NA,NA
791.4285714,0.14,10,NA,NA,NA
660.56,280.28,7,NA,NA,NA
645.4583333,3.67,8,NA,NA,NA
688.75,1.03,9,NA,NA,NA
638.6086957,1.74,7,NA,NA,NA
743.1666667,0.01,7,NA,NA,NA
848.5263158,0.9,9,NA,NA,NA
884.9545455,0.03,15,NA,NA,NA
823.08,0.02,13,NA,NA,NA
868.75,0.79,13,NA,NA,NA
916.1363636,0.21,14,NA,NA,NA
808.5217391,0.27,12,NA,NA,NA
905.3157895,0.01,13,NA,NA,NA
860,3.84,12,NA,NA,NA
833.1578947,0.01,14,NA,NA,NA
698.625,9.08,9,NA,NA,NA
700.2916667,1.08,10,NA,NA,NA
964.3,0.16,13,NA,NA,NA
1044.642857,0.14,14,NA,NA,NA
694.75,0,9,NA,NA,NA
710.0454545,0.95,6,NA,NA,NA
709.7826087,4.37,12,NA,NA,NA
589.0833333,10.2,9,NA,NA,NA
727.9166667,0.97,10,NA,NA,NA
732.0416667,0.93,10,NA,NA,NA
727.7826087,7.39,8,NA,NA,NA
683.4583333,7.32,8,NA,NA,NA
694.3043478,5.47,8,NA,NA,NA
682.2083333,235.35,6,NA,NA,NA
661.125,10.34,6,NA,NA,NA
679.8333333,0.25,8,NA,NA,NA
678.8695652,8.09,8,NA,NA,NA
620.173913,45.05,7,NA,NA,NA
728.44,1.62,8,NA,NA,NA
869.6666667,0.49,10,NA,NA,NA
750.7272727,0.39,10,NA,NA,NA
784.8571429,0.01,10,NA,NA,NA
629.68,39.81,7,NA,NA,NA
663.0416667,1.96,7,NA,NA,NA
623.8333333,4.27,8,NA,NA,NA
728.2608696,0.55,9,NA,NA,NA
670.88,21.36,7,NA,NA,NA
762.8095238,1.38,8,NA,NA,NA
732.1428571,1.73,8,NA,NA,NA
668.1666667,8.49,8,NA,NA,NA
710.7916667,0.17,9,NA,NA,NA
664.1666667,2.17,8,NA,NA,NA
729.4782609,0.11,10,NA,NA,NA
996.5454545,0.03,9,NA,NA,NA
743.6521739,12.89,5,NA,NA,NA
704.4285714,10.96,5,NA,NA,NA
836.1111111,0.74,6,NA,NA,NA
718.8181818,13.69,8,NA,NA,NA
694.2631579,0.05,9,NA,NA,NA
610.4583333,147.27,3,NA,NA,NA
892.7,0,10,NA,NA,NA
837.875,0,10,NA,NA,NA
726.2608696,0.01,10,NA,NA,NA
751.952381,0.19,7,NA,NA,NA
845.0625,0.01,8,NA,NA,NA
789.375,0.01,7,NA,NA,NA
793,0.1,11,NA,NA,NA
998.75,0,9,NA,NA,NA
746.4347826,0.23,8,NA,NA,NA
700.6666667,0.04,9,NA,NA,NA
826.0833333,0.14,11,NA,NA,NA
722.2608696,8.46,13,NA,NA,NA
695.65,12.05,9,NA,NA,NA
649.5833333,4.57,9,NA,NA,NA
658.04,1.15,10,NA,NA,NA
680.96,14.13,10,NA,NA,NA
869.375,0.05,13,NA,NA,NA
768.8333333,0.88,10,NA,NA,NA
660.9130435,1.3,10,NA,NA,NA
686.4,4.39,10,NA,NA,NA
780.55,0.12,11,NA,NA,NA
844.65,0,12,NA,NA,NA
856.5555556,0.16,13,NA,NA,NA
772.8333333,1.69,11,NA,NA,NA
580.52,7.63,7,NA,NA,NA
688.96,0.98,10,NA,NA,NA
812.7142857,0.24,11,NA,NA,NA
651.2916667,3.84,10,NA,NA,NA
740.28,0.53,11,NA,NA,NA
691.8181818,1.02,8,NA,NA,NA
717.173913,0.18,12,NA,NA,NA
707.9565217,2.13,10,NA,NA,NA
640.52,16.55,10,NA,NA,NA
680.4166667,33.49,8,NA,NA,NA
694,3.06,8,NA,NA,NA
673.5833333,1.42,9,NA,NA,NA
767.04,1.64,10,NA,NA,NA
681.72,0.36,9,NA,NA,NA
775.56,2.51,9,NA,NA,NA
674.8695652,26.51,7,NA,NA,NA
761.4583333,0.03,9,NA,NA,NA
812.625,0.32,9,NA,NA,NA
769.6842105,1.56,8,NA,NA,NA
658.75,5.14,8,NA,NA,NA
668.7391304,3.54,10,NA,NA,NA
704.173913,1.77,11,NA,NA,NA
683.875,0.27,10,NA,NA,NA
746.3809524,0.06,9,NA,NA,NA
703.9090909,0.15,9,NA,NA,NA
646.6666667,3.14,9,NA,NA,NA
765.9090909,0.02,9,NA,NA,NA
651.6956522,10.81,9,NA,NA,NA
719.7083333,0.34,10,NA,NA,NA
791.1428571,0.17,7,NA,NA,NA
922.8888889,0.02,12,NA,NA,NA
990.1666667,0.26,13,NA,NA,NA
807.1818182,0.33,10,NA,NA,NA
903.7826087,0.12,11,NA,NA,NA
811.1363636,0.08,12,NA,NA,NA
819.1666667,0.37,12,NA,NA,NA
745.2,0.6,9,NA,NA,NA
872.952381,0,12,NA,NA,NA
925.45,0.11,12,NA,NA,NA
969.4210526,0.1,13,NA,NA,NA
809.7,3.92,11,NA,NA,NA
640.7083333,11.88,6,NA,NA,NA
689.9166667,0.06,9,NA,NA,NA
669.88,0.76,9,NA,NA,NA
706.4347826,1.82,7,NA,NA,NA
659.0769231,7.57,8,NA,NA,NA
664.6086957,1.88,7,NA,NA,NA
652.0833333,8.19,10,NA,NA,NA
701.0434783,5.71,11,NA,NA,NA
720.9583333,1.65,7,NA,NA,NA
897.5714286,0.57,8,NA,NA,NA
873.1818182,0.01,9,NA,NA,NA
842.9545455,1.31,7,NA,NA,NA
654.5217391,0.42,7,NA,NA,NA
715.36,1.82,9,NA,NA,NA
704.84,0.94,10,NA,NA,NA
692.5909091,1.68,8,NA,NA,NA
891.25,0.55,9,NA,NA,NA
661.6521739,24.23,8,NA,NA,NA
655.6086957,3.13,7,NA,NA,NA
654.2916667,0.93,8,NA,NA,NA
747,2.04,12,NA,NA,NA
681.4583333,0.25,8,NA,NA,NA
680.4583333,9.4,5,NA,NA,NA
825.6521739,1.56,9,NA,NA,NA
685.4166667,2.67,6,NA,NA,NA
914,0.38,13,NA,NA,NA
914.6923077,0,13,NA,NA,NA
686.1904762,6.01,11,NA,NA,NA
771.4736842,1.97,10,NA,NA,NA
773.5238095,4.86,11,NA,NA,NA
696.5454545,1.17,6,NA,NA,NA
668.4347826,0.22,6,NA,NA,NA
777.75,0.04,12,NA,NA,NA
787.56,0.17,10,NA,NA,NA
804.8421053,0.31,10,NA,NA,NA
784.5416667,5.18,12,NA,NA,NA
812.45,1.62,13,NA,NA,NA
770.6666667,6.56,8,NA,NA,NA
642.16,24.33,8,NA,NA,NA
707.2916667,4.02,9,NA,NA,NA
674.76,0.93,10,NA,NA,NA
864.2,0.94,10,NA,NA,NA
654.9130435,5.54,9,NA,NA,NA
834.7916667,0.16,9,NA,NA,NA
638.2083333,10.66,9,NA,NA,NA
719.1666667,1.17,9,NA,NA,NA
779.125,0.01,10,NA,NA,NA
687.6666667,0.05,5,NA,NA,NA
829.25,0.28,12,NA,NA,NA
741.6363636,0.23,8,NA,NA,NA
898,0.05,6,NA,NA,NA
1111.166667,0,13,NA,NA,NA
910.1052632,0.7,14,NA,NA,NA
790.95,1.09,13,NA,NA,NA
828.0952381,0.14,12,NA,NA,NA
634.16,25.61,9,NA,NA,NA
704.3265306,2.53,11,NA,NA,NA
700.7142857,4.59,14,NA,NA,NA
804.4782609,0.52,15,NA,NA,NA
1151.842105,0.01,15,NA,NA,NA
840.1904762,0.02,14,NA,NA,NA
691.2083333,21.12,10,NA,NA,NA
772.5,10.8,12,NA,NA,NA
831.4545455,1.3,6,NA,NA,NA
651.2291667,11.38,10,NA,NA,NA
621.25,1.88,11,NA,NA,NA
694.0833333,3.67,8,NA,NA,NA
677.9583333,2.53,9,NA,NA,NA
650.9090909,0.62,10,NA,NA,NA
664.625,60.56,8,NA,NA,NA
677.625,29.82,7,NA,NA,NA
690.25,0.51,12,NA,NA,NA
759.375,2.58,10,NA,NA,NA
651.75,6.37,10,NA,NA,NA
692.75,1.73,10,NA,NA,NA
795,2.82,8,NA,NA,NA
696.5,2.9,10,NA,NA,NA
749.9565217,8.11,9,NA,NA,NA
770.24,0.15,12,NA,NA,NA
681.1363636,0.72,9,NA,NA,NA
583.7916667,38.69,7,NA,NA,NA
644.3478261,24.15,8,NA,NA,NA
681.5217391,0.63,9,NA,NA,NA
659.2608696,4.32,8,NA,NA,NA
697.826087,0.78,4,NA,NA,NA
680.48,0.61,10,NA,NA,NA
905.2,0.01,14,NA,NA,NA
760.28,0.49,12,NA,NA,NA
746.5833333,0.04,13,NA,NA,NA
787.9583333,0.56,13,NA,NA,NA
781.2105263,0.47,9,NA,NA,NA
766.875,1.19,10,NA,NA,NA
804.2631579,0.04,9,NA,NA,NA
976.8571429,0,8,NA,NA,NA
891.2941176,0.78,7,NA,NA,NA
679.36,17.37,10,NA,NA,NA
642.48,2.49,11,NA,NA,NA
658.9166667,0.09,8,NA,NA,NA
860.3181818,0,11,NA,NA,NA
719.6956522,3.77,8,NA,NA,NA
704.6086957,2.04,8,NA,NA,NA
719.5652174,8.09,9,NA,NA,NA
852.4285714,1.63,10,NA,NA,NA
611.4166667,10.78,10,NA,NA,NA
751.1363636,1.29,13,NA,NA,NA
646.125,2.05,11,NA,NA,NA
814.2083333,0.04,8,NA,NA,NA
812.45,1.04,9,NA,NA,NA
655.2272727,0.51,6,NA,NA,NA
680.7391304,0.43,8,NA,NA,NA
659.2916667,162.88,9,NA,NA,NA
584.24,3.4,8,NA,NA,NA
637.6956522,1.26,9,NA,NA,NA
603.625,0.36,9,NA,NA,NA
638.32,2.23,10,NA,NA,NA
622.3809524,1.04,11,NA,NA,NA
685.72,0.8,9,NA,NA,NA
623.8636364,0.23,10,NA,NA,NA
616.8333333,5.68,12,NA,NA,NA
752.6086957,1.72,14,NA,NA,NA
857.7916667,0.84,15,NA,NA,NA
829.375,1.33,13,NA,NA,NA
699.9565217,8.29,6,NA,NA,NA
709.3181818,10.71,6,NA,NA,NA
645.48,3.38,7,NA,NA,NA
704.0909091,11.61,7,NA,NA,NA
737.2380952,0.92,7,NA,NA,NA
699.625,1.15,7,NA,NA,NA
722.5833333,1,13,NA,NA,NA
844.85,0,11,NA,NA,NA
774.6818182,1.12,7,NA,NA,NA
816.0833333,0.02,9,NA,NA,NA
901.625,1.01,11,NA,NA,NA
875.7777778,0.01,10,NA,NA,NA
792.3,1.66,7,NA,NA,NA
794.7894737,0.89,8,NA,NA,NA
710.04,0.06,8,NA,NA,NA
659.25,0.05,10,NA,NA,NA
688.4347826,0.5,10,NA,NA,NA
634.7826087,5.15,12,NA,NA,NA
712.5,0.4,13,NA,NA,NA
678.3043478,9.27,8,NA,NA,NA
596.1304348,9.98,8,NA,NA,NA
595.9583333,1.85,9,NA,NA,NA
695.08,1.75,10,NA,NA,NA
657.4583333,7.26,9,NA,NA,NA
689.96,1.35,10,NA,NA,NA
634.72,2.63,9,NA,NA,NA
762.1363636,0.22,9,NA,NA,NA
682.4347826,1.11,9,NA,NA,NA
701.4166667,2.77,9,NA,NA,NA
910.125,0.01,15,NA,NA,NA
734.5789474,0.54,6,NA,NA,NA
758.85,0.17,7,NA,NA,NA
694.5652174,6.71,9,NA,NA,NA
701,0.7,10,NA,NA,NA
689.0416667,9.63,7,NA,NA,NA
619.375,4.16,8,NA,NA,NA
829.5,0,9,NA,NA,NA
688.4090909,0.27,10,NA,NA,NA
778.173913,2.09,7,NA,NA,NA
789,0.05,12,NA,NA,NA
695.6666667,0.21,10,NA,NA,NA
724.7272727,0.03,10,NA,NA,NA
721.0833333,1.01,10,NA,NA,NA
670.9545455,0.89,9,NA,NA,NA
822.3636364,0.04,9,NA,NA,NA
649.4,4.83,9,NA,NA,NA
708.6956522,2.5,8,NA,NA,NA
619.125,2.52,8,NA,NA,NA
675.1702128,0.33,9,NA,NA,NA
676.0416667,0.08,10,NA,NA,NA
708.88,0.27,9,NA,NA,NA
737.5652174,0.25,10,NA,NA,NA
634.12,1.99,8,NA,NA,NA
743.4166667,0.04,8,NA,NA,NA
651.4583333,3.09,12,NA,NA,NA
678.52,0.6,9,NA,NA,NA
681.28,0.44,9,NA,NA,NA
797,1.22,11,NA,NA,NA
924.5,0,12,NA,NA,NA
717.28,0.52,10,NA,NA,NA
601.16,5.97,7,NA,NA,NA
785,0,8,NA,NA,NA
630.8333333,12.04,11,NA,NA,NA
773.3913043,1.54,15,NA,NA,NA
715,1.74,12,NA,NA,NA
1027.928571,0,15,NA,NA,NA
649.5909091,2.76,8,NA,NA,NA
742.125,1.22,9,NA,NA,NA
754.5238095,2.86,9,NA,NA,NA
655.2727273,2.12,13,NA,NA,NA
738.5,0.32,14,NA,NA,NA
706.8333333,2.77,9,NA,NA,NA
774.1666667,2.11,10,NA,NA,NA
679.56,1.46,10,NA,NA,NA
632.32,7.48,6,NA,NA,NA
665.1304348,2.76,7,NA,NA,NA
730.6956522,0.03,11,NA,NA,NA
683.92,0.77,8,NA,NA,NA
630.32,8.12,9,NA,NA,NA
662.25,18.16,5,NA,NA,NA
717.8181818,1.96,11,NA,NA,NA
647.9130435,2.3,7,NA,NA,NA
858.0454545,0.36,10,NA,NA,NA
759.6956522,0.34,11,NA,NA,NA
762.1875,0.02,7,NA,NA,NA
771.1111111,0.03,8,NA,NA,NA
680.12,2.58,6,NA,NA,NA
735.7083333,1.08,10,NA,NA,NA
777.7391304,0.04,12,NA,NA,NA
936.5555556,0.38,11,NA,NA,NA
835.6470588,0,10,NA,NA,NA
1016.5,0,13,NA,NA,NA
709.7826087,1.33,12,NA,NA,NA
637.5833333,15.77,7,NA,NA,NA
809.7142857,0.13,9,NA,NA,NA
810.1176471,0.06,7,NA,NA,NA
858.75,0.38,11,NA,NA,NA
623.75,0.64,8,NA,NA,NA
768.9583333,0.23,13,NA,NA,NA
629.32,0.41,11,NA,NA,NA
885.1818182,0.39,13,NA,NA,NA
777.625,0.79,11,NA,NA,NA
711.6086957,1.42,8,NA,NA,NA
746.2727273,2.08,9,NA,NA,NA
833.5833333,0.67,10,NA,NA,NA
652.08,0.21,9,NA,NA,NA
940.7333333,0,13,NA,NA,NA
631.0833333,0.12,9,NA,NA,NA
878.9047619,0.32,11,NA,NA,NA
756.6666667,5.01,7,NA,NA,NA
712.64,0.49,8,NA,NA,NA
632.8636364,415.88,7,NA,NA,NA
657.12,0.01,12,NA,NA,NA
718,5.23,13,NA,NA,NA
740.4583333,34.19,11,NA,NA,NA
663.75,20.02,11,NA,NA,NA
690,36.6,12,NA,NA,NA
653.5,6.47,13,NA,NA,NA
647.4,2.83,11,NA,NA,NA
743.0526316,10.78,9,NA,NA,NA
640.7391304,18.32,11,NA,NA,NA
793.826087,1.9,10,NA,NA,NA
694.56,1.72,11,NA,NA,NA
778.65,0.25,12,NA,NA,NA
583.8181818,125.09,10,NA,NA,NA
723.56,13.71,11,NA,NA,NA
734.7391304,1.4,12,NA,NA,NA
704.16,11.78,11,NA,NA,NA
597,103.42,7,NA,NA,NA
696.96,2.67,9,NA,NA,NA
782.375,1.17,10,NA,NA,NA
755.8181818,1.54,11,NA,NA,NA
752.125,0.72,11,NA,NA,NA
784.2380952,1.85,10,NA,NA,NA
633.9583333,88.63,9,NA,NA,NA
702.0454545,1.47,10,NA,NA,NA
664,1.11,8,NA,NA,NA
671.44,3.15,8,NA,NA,NA
616.08,0.48,9,NA,NA,NA
641.12,1.73,9,NA,NA,NA
627.8461538,0.9,9,NA,NA,NA
637.6363636,19.68,8,NA,NA,NA
675.4583333,75.75,9,NA,NA,NA
608.68,3.71,9,NA,NA,NA
821.4285714,0.6,10,NA,NA,NA
850.2,0.04,12,NA,NA,NA
624.24,78.61,5,NA,NA,NA
627.12,16.62,6,NA,NA,NA
629.875,2.94,7,NA,NA,NA
779.2307692,0.33,9,NA,NA,NA
670.0434783,11.91,6,NA,NA,NA
697.3333333,0.84,6,NA,NA,NA
713.36,0,6,NA,NA,NA
1022,0.44,6,NA,NA,NA
777,1.29,10,NA,NA,NA
797.8636364,0.29,11,NA,NA,NA
737.5833333,0.66,11,NA,NA,NA
726.36,7.11,9,NA,NA,NA
647.2,3.85,8,NA,NA,NA
622.2727273,2.1,9,NA,NA,NA
731.0454545,5.92,7,NA,NA,NA
765.5,1.01,8,NA,NA,NA
801.25,0.29,8,NA,NA,NA
806.56,0.14,12,NA,NA,NA
764.8333333,0.34,10,NA,NA,NA
755.5,0.07,10,NA,NA,NA
711.0416667,2.94,8,NA,NA,NA
662.9090909,4.54,8,NA,NA,NA
659.56,3.13,9,NA,NA,NA
710.3913043,0.21,10,NA,NA,NA
665.88,5.1,9,NA,NA,NA
697.9565217,0.24,9,NA,NA,NA
834.1904762,0.04,10,NA,NA,NA
849.7142857,0.92,12,NA,NA,NA
667.3043478,44.46,10,NA,NA,NA
685.04,1.07,11,NA,NA,NA
781.625,0.17,14,NA,NA,NA
892.3333333,0.25,18,NA,NA,NA
798.5217391,1.46,13,NA,NA,NA
636.48,9.3,9,NA,NA,NA
688.3181818,4,10,NA,NA,NA
705.24,2.68,10,NA,NA,NA
846.6666667,0.37,12,NA,NA,NA
716.0833333,0.12,10,NA,NA,NA
736.2,0.46,11,NA,NA,NA
605.84,68.86,7,NA,NA,NA
649.2916667,0.03,9,NA,NA,NA
665.5,0.09,11,NA,NA,NA
628.64,13.4,9,NA,NA,NA
685.4347826,5.63,9,NA,NA,NA
624.0769231,23.24,10,NA,NA,NA
716.7916667,1.82,11,NA,NA,NA
758.5416667,4.74,11,NA,NA,NA
622.3478261,1.63,10,NA,NA,NA
675.1304348,18.29,8,NA,NA,NA
840.1578947,0.11,12,NA,NA,NA
778.65,0.65,9,NA,NA,NA
737.3333333,0.9,7,NA,NA,NA
817.3333333,0.14,10,NA,NA,NA
852.8695652,0.55,11,NA,NA,NA
910.6086957,2.96,12,NA,NA,NA
923.5,0.59,13,NA,NA,NA
816.2608696,0.98,8,NA,NA,NA
847.952381,0.09,9,NA,NA,NA
680.76,0.5,9,NA,NA,NA
854.5454545,0.06,12,NA,NA,NA
767.2608696,0.19,9,NA,NA,NA
874.04,0.01,9,NA,NA,NA
582.5833333,5.91,11,NA,NA,NA
633.8333333,13.36,12,NA,NA,NA
634.5416667,6.05,10,NA,NA,NA
652.9166667,0.34,8,NA,NA,NA
693.6,0.04,12,NA,NA,NA
733.2083333,0.27,10,NA,NA,NA
679.1363636,0.35,10,NA,NA,NA
665.1666667,2.37,12,NA,NA,NA
667,1.35,13,NA,NA,NA
654.8695652,0.85,12,NA,NA,NA
766.375,4.67,13,NA,NA,NA
665.6086957,6.16,8,NA,NA,NA
655.0869565,2.59,8,NA,NA,NA
690.75,0.65,9,NA,NA,NA
683.5833333,0.12,10,NA,NA,NA
730.826087,0.41,10,NA,NA,NA
600.1666667,5.39,9,NA,NA,NA
1074.666667,0.02,12,NA,NA,NA
730.8636364,2.85,9,NA,NA,NA
617.8695652,0.63,9,NA,NA,NA
688.7083333,0.46,9,NA,NA,NA
639.9545455,0.04,9,NA,NA,NA
678.7916667,2.31,12,NA,NA,NA
708.8695652,1,16,NA,NA,NA
660.3913043,0.68,13,NA,NA,NA
654.0909091,0.4,13,NA,NA,NA
839.36,0.52,11,NA,NA,NA
704.8333333,1.03,11,NA,NA,NA
790.2608696,1.52,11,NA,NA,NA
686.52,5.04,13,NA,NA,NA
767,0.57,14,NA,NA,NA
701.84,12.53,9,NA,NA,NA
633.48,6.78,9,NA,NA,NA
661.25,2.58,10,NA,NA,NA
737.6086957,0.2,11,NA,NA,NA
660.875,2.06,11,NA,NA,NA
709.28,5.59,10,NA,NA,NA
659.8181818,1.04,10,NA,NA,NA
712.3333333,1.64,10,NA,NA,NA
648.625,4.83,10,NA,NA,NA
700.2,1.3,11,NA,NA,NA
609.24,3.14,8,NA,NA,NA
672.0833333,1.51,8,NA,NA,NA
673.9230769,0.69,9,NA,NA,NA
626.36,2.21,9,NA,NA,NA
857.4347826,0.17,12,NA,NA,NA
749.6818182,1.1,10,NA,NA,NA
784.3913043,1.31,11,NA,NA,NA
798.68,0.79,10,NA,NA,NA
651.125,5.55,8,NA,NA,NA
730.1666667,0.08,8,NA,NA,NA
686.5416667,0.04,7,NA,NA,NA
668.96,0.28,9,NA,NA,NA
683,0,10,NA,NA,NA
681.3636364,0.15,11,NA,NA,NA
652.28,4.62,11,NA,NA,NA
727.4166667,0.22,12,NA,NA,NA
630.25,6.36,7,NA,NA,NA
649.5217391,0.47,7,NA,NA,NA
665.56,0.41,8,NA,NA,NA
663.92,6.63,8,NA,NA,NA
913.0869565,0.12,11,NA,NA,NA
692.173913,0.02,10,NA,NA,NA
635.0869565,0.19,8,NA,NA,NA
770.875,0.05,11,NA,NA,NA
691.7083333,1,10,NA,NA,NA
739.96,0.2,10,NA,NA,NA
655.2173913,0.79,12,NA,NA,NA
734.6666667,1.04,13,NA,NA,NA
651.9090909,3.38,12,NA,NA,NA
801.4,0.32,13,NA,NA,NA
651.9166667,1.38,8,NA,NA,NA
627.96,3,9,NA,NA,NA
912.4761905,0.17,10,NA,NA,NA
785.952381,0.25,9,NA,NA,NA
1020.875,0.79,10,NA,NA,NA
888.9166667,0.09,10,NA,NA,NA
724.25,0.3,12,NA,NA,NA
856.8421053,0.82,13,NA,NA,NA
772.16,4.93,12,NA,NA,NA
800.76,8.18,11,NA,NA,NA
764.5652174,0.96,9,NA,NA,NA
667.1363636,1.88,8,NA,NA,NA
640.32,3.33,9,NA,NA,NA
768.5,1.48,10,NA,NA,NA
743.6521739,0.63,9,NA,NA,NA
767.6086957,1.37,7,NA,NA,NA
715.047619,0.16,8,NA,NA,NA
803.0454545,0,10,NA,NA,NA
786.5238095,0.01,10,NA,NA,NA
787.7916667,0.15,10,NA,NA,NA
736.047619,0.47,12,NA,NA,NA
910.2631579,0.07,13,NA,NA,NA
757.8636364,2.17,8,NA,NA,NA
750.375,2.3,8,NA,NA,NA
