"word","borrowing","phonology","phonlength","AoA","AoA_obj","subtlexzipf","conc","cat","source","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length","age_oldest","age_youngest","age_oldest_num","age_youngest_num","age","effect","ids.code","modern.english","middle.english","old.english","old.english.length"
"fireplace",5,"f2@pl1s",7,"7.37",2,"4.21","4.68","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1702","1702","298","298","1702","","7-310","fireplace","herth","heorÎ¸",5
"glasses",5,"gl#sIz",6,"4.35",2,"4.37","4.90","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1700","1700","300","300","1700","","","","","",NA
"snowshoe",5,"sn5Su",5,"7.68",NA,"1.90","4.67","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1674","1674","326","326","1674","","","","","",NA
"homeland",5,"h5ml{nd",7,"9.35",4,"3.46","3.45","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1670","1670","330","330","1670","","19-120","one's native country","contreÌ„-e","eÌ„Î¸el (eÌ„Î¸elturf",12
"newspaper",5,"njusp1p@R",9,"5.78",2,"4.48","4.82","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"1667","1667","333","333","1667","","","","","",NA
"firefly",5,"f2@fl2",6,"6.39",2,"2.73","4.90","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1658","1658","342","342","1658","","3-910","firefly","noctiluca","",NA
"axle",5,"{ksP",4,"10.85",4,"2.93","4.50","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1634","1634","366","366","1634","","10-770","axle","ax-e","eax",3
"herdsman",5,"h3dzm@n",7,"9.61",4,"2.06","4.11","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1603","1603","397","397","1603","","3-180","herdsman","herd-e","hirde",5
"squeeze",5,"skwiz",5,"5.42",2,"4.36","3.75","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1601","1601","399","399","1601","","9-343","squeeze","quisen","wringan",7
"hurry",5,"hVrI",4,"4.44",2,"4.53","2.63","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1600","1600","400","400","1600","","14-230","hasten","hien","racian",6
"puke",5,"pjuk",4,"6.94",8,"3.03","4.59","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1600","1600","400","400","1600","","4-570","vomit","speuen","spiÌ„wan",6
"grandchild",5,"gr{nJ2ld",8,"5.26",2,"3.25","4.26","Noun","French contact","French","grand",3.5,0.134541280442127,5,"1587","1587","413","413","1587","Replacement","","","","",NA
"stocking",5,"stQkIN",6,"6.68",2,"3.37","4.86","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1583","1583","417","417","1583","","6-490","stocking","hose","hosu",4
"hiccough",5,"hIkQf",5,"10.20",12,"3.28","4.31","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1580","1580","420","420","1580","","4-521","hiccough","yexen","suÌ„gan",5
"stutter",5,"stVt@R",6,"8.78",4,"2.78","3.97","Verb","None","English",NA,3.45098039215686,0.00953247551173794,6,"1570","1570","430","430","1570","","18-211","stutter","stutten","stamerian",9
"shark",5,"S#k",3,"5.47",4,"4.17","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1569","1569","431","431","1569","","3-661","shark","shark","",NA
"hug",5,"hVg",3,"2.58",2,"4.13","4.14","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1567","1567","433","433","1567","","16-300","embrace","embracen","clyppan",7
"splash",5,"spl{S",5,"3.67",2,"4.13","4.19","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1565","1565","435","435","1565","","10-352","splash","plash-e","",NA
"workshop",5,"w3kSQp",6,"7.78",4,"4.01","4.54","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1562","1562","438","438","1562","","","","","",NA
"collarbone",5,"kQl@b5n",7,"8.89",4,"2.80","4.85","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1550","1550","450","450","16th century","","4-302","collarbone","furcle","wiÎ¸obaÌ„n",7
"dandruff",5,"d{ndrVf",7,"10.74",4,"2.75","4.79","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1545","1545","455","455","1545","","4-146","dandruff","scales","",NA
"fog",5,"fQg",3,"6.21",4,"4.08","4.66","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1544","1544","456","456","1544","","1-740","fog","mist","mist",4
"stamp",5,"st{mp",5,"6.33",2,"4.20","4.70","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1542","1542","458","458","1542","","","","","",NA
"jug",5,"_Vg",3,"5.83",2,"4.06","4.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1538","1538","462","462","1538","","5-340","pitcher","picher-e","croc",4
"doorpost",5,"d$Rp5st",7,"7.56",8,"1.30","4.70","Noun","French contact","French","poste",3.5,0.134541280442127,5,"1535","1535","465","465","1535","Coexistence","7-221","doorpost","jaumb","durustod",8
"jump",5,"_Vmp",4,"2.84",2,"4.84","4.52","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1530","1530","470","470","1530","","10-430","jump","lepen","hleÌ„apan",7
"sometimes",5,"sVmt2mz",7,"6.37",4,"5.25","1.77","Adverb","None","English",NA,3.45098039215686,0.00953247551173794,7,"1526","1526","474","474","1526","","14-330","sometimes","while","hwiÌ„lum",6
"grasshopper",5,"gr#shQp@R",9,"5.78",2,"2.91","4.91","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"1526","1526","474","474","1526","","3-930","grasshopper","gras-hoppe","gÃ_rshoppa",9
"fisherman",5,"fIS@m@n",7,"5.16",2,"3.75","4.73","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1526","1526","474","474","1526","","20-510","fisherman","fisher-e","fiscere",7
"nipple",5,"nIpP",4,"9.05",2,"3.07","4.83","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1510","1510","490","490","1510","","4-412","nipple","tet-e","(forweard) titt",12
"inside",5,"Ins2d",5,"4.77",2,"5.36","3.67","Adverb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1504","1504","496","496","1504","","12-050","inside","in","innan",5
"firewood",5,"f2@wUd",6,"6.61",2,"3.02","4.93","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1496","1496","504","504","1496","","1-880","firewood","fir","tynder(?)",6
"shed",5,"SEd",3,"7.33",6,"4.38","4.55","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1481","1481","519","519","1481","","7-131","garden-house","caban","",NA
"breakfast",5,"brEkf@st",8,"3.47",2,"4.64","4.43","Noun","None","English",NA,3.45098039215686,1.79731245171322e-05,8,"1463","1463","537","537","1463","","5-420","breakfast","breke-faste","morgenmete",10
"outside",5,"6ts2d",5,"3.58",2,"5.32","4.25","Adverb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1457","1457","543","543","1457","","12-060","outside","out-e","uÌ„t(an)",4
"salty",5,"s$ltI",5,"5.33",2,"3.87","3.93","Adjective","None","English",NA,3.45098039215686,0.0953247551173794,5,"1440","1440","560","560","1440","","15-360","salty","salt","sealt",5
"padlock",5,"p{dlQk",6,"8.84",2,"2.91","4.92","Noun","1579","English",NA,3.45098039215686,0.00953247551173794,6,"1438","1438","562","562","1438","","","","","",NA
"loom",5,"lum",3,"8.78",6,"3.27","4.50","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1404","1404","596","596","1404","","6-340","loom","lome","",NA
"shallow",5,"S{l5",4,"7.00",4,"3.87","3.45","Adjective","None","English",NA,3.45098039215686,0.32410416739909,4,"1400","1400","600","600","1400","","12-680","shallow","shold-e","sceald",6
"prawn",5,"pr$n",4,"13.06",13,"3.66","4.62","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1400","1400","600","600","1400","","","","","",NA
"threshing-floor",5,"TrESINfl$R",10,"#N/A",NA,"#N/A","#N/A","Noun","None","English",NA,3.45098039215686,4.96467117486558e-10,10,"1398","1398","602","602","1398","","8-350","threshing-floor","threshing-e flor","Î¸irscefloÌ„r",10
"earwax",5,"7w{ks",5,"6.39",NA,"2.54","4.87","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1398","1398","602","602","1398","","4-222","earwax","ere sope","teoru",5
"forge",5,"f$_",3,"9.80",6,"3.57","4.04","Verb","French contact","French","forge",3.5,0.134541280442127,5,"1390","1390","610","610","1390","Coexistence","9-610","forge","smith-e","smiÎ¸ian",7
"fishhook",5,"fIShUk",6,"6.84",2,"1.30","4.87","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1387","1387","613","613","1387","","20-520","fishhook","hok","angel",5
"kick",5,"kIk",3,"4.06",2,"4.91","4.33","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1386","1386","614","614","1386","","10-431","kick","kiken","spurnan",7
"father-in-law",5,"f#D@rInl$",9,"#N/A",4,"3.33","#N/A","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"1385","1385","615","615","1385","","2-610","father-in-law","fader in laue","sweÌ„or",5
"mother-in-law",5,"mVD@rInl$",9,"#N/A",4,"3.66","#N/A","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"1382","1382","618","618","1382","","2-620","mother-in-law","moder-in-laue","sweger",6
"daughter-in-law",5,"d$t@rInl$",9,"#N/A",4,"2.99","#N/A","Noun","1300","English",NA,3.45098039215686,1.50635287271151e-07,9,"1382","1382","618","618","1382","","2-640","daughter-in-law","doughter in laue","snoru",5
"shoemaker",5,"Sum1k@R",7,"7.58",2,"2.63","4.54","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1381","1381","619","619","1381","","6-540","shoemaker","sho-makere","scoÌ„here",7
"chop",5,"JQp",3,"6.74",2,"4.30","4.48","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1362","1362","638","638","1362","","9-222","chop","choppen","ceorfan",7
"widower",5,"wId5@R",6,"9.42",6,"2.73","3.96","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1362","1362","638","638","1362","","2-770","widower","widwer-e","wuduwa",6
"son-in-law",5,"sVnInl$",7,"#N/A",4,"3.20","#N/A","Noun","1300","English",NA,3.45098039215686,0.00953247551173794,7,"1350","1350","650","650","14th century","","2-630","son-in-law","sone-in-laue","aÌ„Î¸um",4
"shout",5,"S6t",3,"4.72",4,"4.43","4.17","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1350","1350","650","650","14th century","","18-130","shout","shouten","hriÌ„eman",7
"spider",5,"sp2d@R",6,"3.43",2,"4.24","4.97","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1340","1340","660","660","1340","","3-818","spider","spither","aÌ„torcoppe",9
"saucer",5,"s$s@R",5,"8.44",2,"3.37","4.79","Noun","French contact","Old French","saussier",4.11764705882353,0.000899274671836846,8,"1340","1340","660","660","1340","No information","5-360","saucer","saucer-e","bledu(?)",5
"charcoal",5,"J#k5l",5,"8.00",4,"3.38","4.85","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1340","1340","660","660","1340","","1-890","charcoal","char-col","coÌ„l",3
"kill",5,"kIl",3,"6.35",2,"4.91","3.90","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1330","1330","670","670","1330","","4-760","kill","slen","cwellan",7
"mould",5,"m5ld",4,"11.33",8,"4.04","#N/A","Noun","French contact","French (Anglo-Norman)","modle",3.5,0.134541280840892,5,"1327","1327","673","673","1327","Coexistence","9-720","mold","formen","hiÌ„wian(?)",6
"nape",5,"n1p",3,"10.53",12,"2.09","4.44","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1325","1325","675","675","1325","","4-281","nape of neck","nape","hnecca",6
"cough",5,"kQf",3,"4.32",4,"3.68","4.36","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1325","1325","675","675","1325","","4-530","cough","coughen","hwoÌ„s(t)an",7
"bunch",5,"bVnJ",4,"4.89",2,"4.43","3.50","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1325","1325","675","675","1325","","5-712","bunch","bonche","clystre",7
"kidney",5,"kIdnI",5,"9.33",4,"3.94","4.96","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1325","1325","675","675","1325","","4-451","kidney","kide-nere","lundlaga",8
"wrap",5,"r{p",3,"7.00",2,"4.10","4.11","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1320","1320","680","680","1320","","10-140","wind","winden","windan",6
"bald",5,"b$ld",4,"7.26",4,"3.72","4.69","Adjective","None","English",NA,3.45098039215686,0.32410416739909,4,"1300","1300","700","700","1300","","4-930","bald","balled","calu",4
"drunk",5,"drVNk",5,"9.26",2,"4.46","3.48","Adjective","None","English",NA,3.45098039215686,0.0953247551173794,5,"1300","1300","700","700","1300","","4-980","intoxicated","dronken","druncen",7
"afternoon",5,"#ft@nun",7,"4.65",2,"5.06","3.70","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1300","1300","700","700","1300","","14-451","afternoon","after-non","geloten dÃ_g",10
"cloud",5,"kl6d",4,"3.63",2,"4.77","4.54","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1300","1300","700","700","1300","","1-730","cloud","ski-e","wolcen",6
"basket",5,"b#skIt",6,"5.67",2,"4.16","5.00","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1300","1300","700","700","1300","","9-760","basket","windle","tÃ_Ì„nel",5
"earthquake",5,"3Tkw1k",6,"7.53",2,"4.11","3.97","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1300","1300","700","700","1300","","1-450","earthquake","terre-mote","eorÎ¸beofung",11
"shoulderblade",5,"S5ld@bl1d",9,"#N/A",NA,"#N/A","#N/A","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"1300","1300","700","700","1300","","4-301","shoulderblade","shulder-blade","scearu(?)",6
"pour",5,"p$R",3,"5.00",2,"4.25","4.14","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1300","1300","700","700","1300","","9-350","pour","yeten","geÌ„otan",6
"bad",5,"b{d",3,"2.79",2,"5.56","1.68","Adjective","None","English",NA,3.45098039215686,0.390831495981255,3,"1297","1297","703","703","1297","","16-720","bad","ivel","yfel (earg)",8
"boast",5,"b5st",4,"8.22",6,"3.47","2.32","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1297","1297","703","703","1297","","18-450","boast","yelpen","gielpan",7
"girl",5,"g3l",3,"4.00",2,"5.29","4.85","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1290","1290","710","710","1290","","2-260","girl","maiden","mÃ_gden",6
"teacher",5,"tiJ@R",5,"4.55",2,"4.68","4.52","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1290","1290","710","710","1290","","17-270","teacher","techer-e","laÌ„reÌ„ow",6
"tomorrow",5,"t@mQr5",6,"5.19",2,"5.26","2.04","Adverb","None","English",NA,3.45098039215686,0.00953247551173794,6,"1275","1275","725","725","1275","","14-480","tomorrow","tomorn","toÌ„ morgen(e)",9
"shiver",5,"SIv@R",5,"7.50",4,"3.27","3.88","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1250","1250","750","750","1250","","4-680","shiver","tremblen","bifian",6
"always",5,"$lw1z",5,"6.26",2,"5.76","1.71","Adverb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1230","1230","770","770","1230","","14-310","always","ever","ealneg",6
"early",5,"3lI",3,"5.31",2,"5.32","2.25","Adverb","None","English",NA,3.45098039215686,0.390831495981255,3,"1225","1225","775","775","1225","","14-160","early","er","Ã_Ì„r",2
"rule",5,"rul",3,"4.72",4,"4.67","2.57","Noun","French contact","French (Anglo-Norman)","riule",3.5,0.134541280840892,5,"1225","1225","775","775","1225","Coexistence","19-310","rule","welden","wealdan",7
"pig",5,"pIg",3,"3.84",2,"4.51","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1225","1225","775","775","1225","","3-350","pig","pigge","swiÌ„n",4
"clever",5,"klEv@R",6,"7.50",4,"4.71","1.79","Adjective","None","English",NA,3.45098039215686,0.00953247551173794,6,"1220","1220","780","780","1220","","16-840","clever","skilful","crÃ_ftig",7
"eyelid",5,"2lId",4,"6.33",2,"3.00","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1220","1220","780","780","1220","","4-213","eyelid","eie-lid","brÃ_Ì„w",4
"beside",5,"bIs2d",5,"7.22",2,"4.13","2.59","Preposition","None","English",NA,3.45098039215686,0.0953247551173794,5,"1205","1205","795","795","1205","","12-020","beside","biside-s","be healfe",8
"blunt",5,"blVnt",5,"11.05",6,"3.68","3.07","Adjective","None","English",NA,3.45098039215686,0.0953247551173794,5,"1200","1200","800","800","1200","","15-790","blunt","blont","aÌ„stynt",6
"or",5,"$R",2,"4.14",4,"6.29","1.72","Conjunction","None","English",NA,3.45098039215686,0.142987132676069,2,"1200","1200","800","800","1200","","17-540","or","or","oÎ¸Î¸e",4
"smell",5,"smEl",4,"4.22",2,"4.84","3.70","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1175","1175","825","825","1175","","15-220","smell","smellen","gestincan",9
"without",5,"wID6t",5,"6.53",2,"5.46","2.15","Preposition","None","English",NA,3.45098039215686,0.0953247551173794,5,"1123","1123","877","877","1123","","","","","",NA
"twice",5,"tw2s",4,"5.89",4,"4.77","2.93","Adverb","None","English",NA,3.45098039215686,0.32410416739909,4,"1122","1122","878","878","1122","","13-380","two times","twies","twaÌ„",3
"smooth",5,"smuD",4,"5.61",4,"4.36","3.81","Adjective","None","English",NA,3.45098039215686,0.32410416739909,4,"1050","1050","950","950","1050","","15-770","smooth","smothe","smeÌ„Î¸e",5
"dog",5,"dQg",3,"2.80",2,"5.17","4.85","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1050","1050","950","950","1050","","3-610","dog","hound","hund",4
"put",5,"pUt",3,"3.72",2,"5.99","2.50","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1050","1050","950","950","1050","","12-120","put","setten","settan",6
"guilty",5,"gIltI",5,"8.05",4,"4.57","2.36","Adjective","None","English",NA,3.45098039215686,0.0953247551173794,5,"1000","1000","1000","1000","1000","","21-350","guilty","gilti","scyldig",7
"never",5,"nEv@R",5,"5.07",2,"5.89","1.59","Adverb","None","English",NA,3.45098039215686,0.0953247551173794,5,"1000","1000","1000","1000","1000","","14-340","never","never","nÃ_Ì„fre",5
"yes",5,"jEs",3,"2.31",2,"6.23","2.14","Interjection","None","English",NA,3.45098039215686,0.390831495981255,3,"1000","1000","1000","1000","1000","","17-550","yes","yis","geÌ„a",3
"evening",5,"ivHIN",5,"5.84",2,"5.12","3.26","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1000","1000","1000","1000","1000","","14-460","evening","eve-n","Ã_Ì„fen",4
"whistle",5,"wIsP",4,"5.42",2,"4.25","4.42","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","18-170","whistle","whistlen","hwistlian",9
"forehead",5,"fQrId",5,"5.58",4,"3.56","4.90","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1000","1000","1000","1000","1000","","4-205","forehead","forhed","foranheÌ„afod",11
"earring",5,"7rIN",4,"7.17",2,"3.07","4.96","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","6-770","earring","ere-ring","eÌ„arrhing",8
"colt",5,"k5lt",4,"8.98",2,"3.12","4.96","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","3-450","foal","fole","fola",4
"sibling",5,"sIblIN",6,"7.58",12,"3.19","4.37","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"1000","1000","1000","1000","1000","","2-456","sibling","","neÌ„ah sibb(?)",8
"curse",5,"k3s",3,"7.47",4,"3.80","2.39","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"1000","1000","1000","1000","1000","","22-240","curse","cursen","wyrgan",6
"butterfly",5,"bVt@fl2",7,"3.67",2,"4.03","4.93","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1000","1000","1000","1000","1000","","3-920","butterfly","buter-flie","butorfleÌ„oge",11
"film",5,"fIlm",4,"6.95",2,"5.26","4.71","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","","","","",NA
"untie",5,"Vnt2",4,"4.84",2,"3.04","3.89","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","9-161","untie","unteien","unbindan",8
"bless",5,"blEs",4,"5.33",2,"4.26","2.68","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1000","1000","1000","1000","1000","","22-230","bless","blessen","bleÌ„tsian",8
"keep",5,"kip",3,"4.42",2,"5.72","2.37","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1000","1000","1000","1000","1000","","11-170","keep","holden","(ge)healdan",9
"pull",5,"pUl",3,"4.79",2,"4.94","3.97","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"1000","1000","1000","1000","1000","","9-330","pull","drauen","teÌ„on",4
"waterfall",5,"w$t@f$l",7,"5.47",2,"3.56","4.90","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"992","992","1008","1008","992","","1-390","waterfall","water-fal","Î¸eote",5
"yesterday",5,"jEst@dI",7,"4.58",2,"5.03","3.00","Adverb","None","English",NA,3.45098039215686,0.00953247551173794,7,"950","950","1050","1050","950","","14-490","yesterday","yesterdai","geostran dÃ_g",11
"today",5,"t@d1",4,"4.77",2,"5.96","2.57","Adverb","None","English",NA,3.45098039215686,0.32410416739909,4,"897","897","1103","1103","897","","14-470","today","todai","toÌ„ dÃ_g(e)",6
"woman",5,"wUm@n",5,"4.95",2,"5.22","4.46","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"893","893","1107","1107","893","","2-220","woman","queÌ„ÌŒne","cweÌ„n",4
"bruise",5,"bruz",4,"5.45",4,"3.30","4.73","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"890","890","1110","1110","890","","4-852","bruise","brisure","ben",3
"understand",5,"Vnd@st{nd",9,"6.17",2,"5.32","2.28","Verb","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"888","888","1112","1112","888","","17-160","understand","understonden","understandan",12
"adze",5,"{dz",3,"#N/A",14,"2.40","#N/A","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"880","880","1120","1120","880","","9-251","adze","adese","",NA
"part",5,"p#t",3,"5.11",2,"5.67","3.29","Noun",NA,"Latin","par-s, -tem",4.83333333333333,5.97588542720223e-05,11,"Late Old English","Late Old English","850","850",NA,NA,NA,NA,NA,NA,NA
"worship",5,"w3SIp",5,"7.00",4,"3.89","2.62","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"Late Old English","Late Old English","850","850","Late Old English","","22-160","worship","worshipen","weorÎ¸ian",8
"bird",5,"b3d",3,"3.52",2,"4.85","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"800","800","1200","1200","before 800","","3-581","bird","foul","fugel",5
"answer",5,"#ns@R",5,"5.43",2,"5.56","2.89","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"800","800","1200","1200","before 800","","18-320","answer","answeren","andswarian",10
"tired",5,"t2@d",4,"4.62",2,"4.64","3.00","Adjective","None","English",NA,3.45098039215686,0.32410416739909,4,"725","725","1275","1275","725","","4-910","tired","tered-e","weÌ„rig",5
"empty",5,"EmptI",5,"4.79",2,"4.68","3.43","Adjective","None","English",NA,3.45098039215686,0.0953247551173794,5,"Early Old English","Early Old English","1100","1100","Early Old English","","13-220","empty","empti","iÌ„del",4
