"word","borrowing","phonology","phonlength","AoA","AoA_obj","subtlexzipf","conc","cat","source","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length","age_oldest","age_youngest","age_oldest_num","age_youngest_num","age","effect","ids.code","modern.english","middle.english","old.english","old.english.length"
"handkerchief",7,"h{Nk@JIf",8,"7.22",2,"3.21","5.00","Noun","","English",NA,3.45098039215686,1.79731245171322e-05,8,"1530","1530","470","470","1530","","6-810","handkerchief","kercher","fihl",4
"bicycle",7,"b2sIkP",6,"4.26",2,"3.92","4.89","Noun","","English",NA,3.45098039215686,0.00953247551173794,6,"#N/A","#N/A","#N/A","#N/A","1868","","","","","",NA
"radio",5,"r1dI5",5,"5.17",2,"4.82","4.74","Noun","Latin contact","Latin","radius",4.83333333333333,0.207542493517048,6,"1913","1913","87","87","1913","Replacement","","","","",NA
"television",5,"tElIvIZH",8,"4.11",4,"4.87","4.83","Noun","None","Greek","tƒìle",5.38888888888889,0.184721856723046,4,"1907","1907","93","93","1907"," and coined in Britain from classical roots","","","","",NA
"grass-skirt",5,"gr{ssk3t",8,"#N/A",NA,"#N/A","#N/A","Noun","None","English",NA,3.45098039215686,1.79731245171322e-05,8,"1898","1898","102","102","1898","","6-461","grass-skirt","","",NA
"motorcycle",5,"m5t@s2kP",8,"5.05",2,"3.55","4.97","Noun","None","Greek","k√∫klos",5.38888888888889,0.147777485378437,6,"1896","1896","104","104","1896","","","","","",NA
"aeroplane",5,"8r@pl1n",7,"3.94",NA,"3.86","4.96","Noun","Latin contact","Latin","aƒìr + plƒÅnus",4.83333333333333,3.02561297432331e-06,12,"1866","1866","134","134","1866","Insertion","","","","",NA
"billy-goat",5,"bIlIg5t",7,"#N/A",NA,"#N/A","#N/A","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1861","1861","139","139","1861","","3-370","he-goat","bukke","bucca",5
"stingy",5,"stIn_I",6,"7.78",6,"3.02","2.00","Adjective","None","English",NA,3.45098039215686,0.00953247551173794,6,"1849","1849","151","151","1849","","11-540","avaricious","averous","feohgeorn",9
"telephone",5,"tElIf5n",7,"4.63",2,"4.32","4.96","Noun","Greek contact","Greek","tƒìle + ph≈çnƒì",5.38888888888889,0.00250197369555344,12,"1835","1835","165","165","1835","Insertion","","","","",NA
"lunch",5,"lVnJ",4,"3.61",2,"4.72","4.31","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1829","1829","171","171","1829","","5-430","lunch","non-shench","noÌ„nmete",7
"ridgepole",5,"rI_p5l",6,"14.00",12,"#N/A","#N/A","Noun","Latin contact","Latin","pƒÅlus",4.83333333333333,0.322843878804296,5,"1788","1788","212","212","1788","Coexistence","7-530","ridgepole","bem","first",5
"donkey",5,"dQNkI",5,"6.00",2,"3.99","5.00","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"1785","1785","215","215","1785","","3-460","ass","asse","assa",4
"screwdriver",5,"skrudr2v@R",10,"6.00",4,"3.34","4.90","Noun","None","English",NA,3.45098039215686,4.96467117486558e-10,10,"1779","1779","221","221","1779","","","","","",NA
"livestock",5,"l2vstQk",7,"7.89",4,"3.75","4.70","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1775","1775","225","225","1775","","3-150","livestock","fe","ceÌ„ap",4
"sniff",5,"snIf",4,"6.16",2,"3.87","4.17","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"1767","1767","233","233","1767","","15-212","sniff","sniffen","toÌ„stincan(?)",9
"anteater",5,"{ntit@R",7,"8.50",4,"2.98","4.86","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"1764","1764","236","236","1764","","","","","",NA
"eyelash",5,"2l{S",4,"5.80",2,"2.79","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"1752","1752","248","248","1752","","4-214","eyelash","her of eie-lid","bruÌ„(?)",3
