Name	Pinyin	English	Source	LEN	VAR	IMG	FAM	VC	FREQ	NA	H value	CA	AoA_r	AoA_o	error	RT_harm
算盘	suan4 pan2	abacus	4	2	3.36	4.33	4.64	3.68	1.71	0.88	0.54	1	3.44	5.74	0.03	894
水母	shui3 mu3	acaleph	4	2	2.62	3.37	2.67	3.84	1.6	0.25	2.72	0.28	6.25	10.86	0.34	1635
手风琴	shou3 feng1 qin2	accordion	1	3	3.21	4	4.14	3.89	1.94	0.78	0.64	0.93	4	10.5	0.06	1102
飞机	fei1 ji1	air plane	1	2	3.31	4.28	4.67	2.62	2.97	0.9	0.55	1	2.76	2.25	0	748
闹钟	nao4 zhong1	alarm clock	5	2	2.86	4.11	4.75	3.86	3.97	0.85	0.71	1	3.81	3.41	0.03	818
鳄鱼	e4 yu2	alligator	1	2	2.69	4.31	4.17	3.86	2.09	0.9	0.62	0.95	4.18	4.42	0	1050
救护车	jiu4 hu4 che1	ambulance	4	3	2.6	3.72	4.5	2.97	2.43	0.93	0.45	0.98	4.31	4.66	0.03	1091
锚	mao2	anchor	1	1	1.95	2.96	3.5	2.11	1.94	0.45	1.95	0.48	5.63	11	0.37	1423
蚂蚁	ma3 yi3	ant	1	2	3.1	3.42	3.92	3.43	2.34	0.58	1.71	0.58	2.4	4.58	0.11	1282
天线	tian1 xian4	antenna	5	2	2.88	3.4	4.36	2.24	2.46	0.43	1.8	0.55	3.88	10.8	0.09	1148
苹果	ping2 guo3	apple	1	2	3.05	4.03	4.81	1.62	3.86	0.95	0.17	0.95	1.94	2.25	0	1016
手臂	shou3 bi4	arm	1	2	2.62	4.11	4.92	2.05	3.69	0.53	2.15	1	2.5	3.56	0	895
箭	jian4	arrow	5	1	2.81	3.45	4.44	1.38	2.14	0.63	1.31	0.78	3.31	4.72	0	1062
箭头	jian4 tou2	arrow	1	2	2.83	4.17	4.61	1.19	2.88	0.73	1.6	1	4.38	5.19	0	848
烟灰缸	yan1 hui1 gang1	ashtray	1	3	3.12	3.75	3.61	2.08	2.34	0.43	2.18	0.48	3.94	10.7	0.26	1390
斧头	fu3 tou2	axe	1	2	3.29	4.49	4.78	1.76	1.94	0.73	1.04	1	3.12	5.77	0.03	860
羽毛球	yu3 mao2 qiu2	badminton	4	3	3.38	4.63	4.92	3.68	3.03	1	0	1	4.18	4.58	0	839
书包	shu1 bao1	bag	5	2	2.95	3.06	4.75	2.43	4.31	0.6	2.03	1	2.56	4.66	0	866
气球	qi4 qiu2	ball	1	2	3.07	4.42	4.69	1.14	2.8	0.95	0.17	0.95	2	2.81	0.06	1007
竹子	zhu2 zi3	bamboo	5	2	2.55	3.97	4.72	2.05	2.29	0.73	0.91	0.93	3.31	4.58	0	975
笋	sun3	bamboo sprouts	5	1	2.57	3.74	3.69	4.27	2.31	0.35	1.72	0.7	4.47	10.35	0.03	1231
香蕉	xiang1 jiao1	banana	1	2	3.12	4.08	4.72	1.43	3.68	1	0	1	2.18	2.63	0.06	906
乐队	le4 dui4	band	2	2	2.73	3.63	4.36	4.73	2.23	0.88	0.63	0.93	5.38	10.33	0	1182
篮子	lan2 zi3	basket	1	2	3.45	3.64	4.42	3.83	2.66	0.63	2	0.98	2.25	4.73	0	924
篮球	lan2 qiu2	basket-ball	5	2	2.95	3.88	4.53	1.54	3.66	0.75	0.95	0.75	4.25	8.27	0.03	1068
蝙蝠	bian1 fu2	bat	1	2	2.36	4.17	4.11	3.11	2	0.98	0	0.98	4	5.58	0.03	1022
浴缸	yu4 gang1	bathtub	4	2	2.79	4.17	4.39	2.24	2.37	0.5	2.18	0.9	5.31	5.68	0.03	1076
熊	xiong2	bear	1	1	2.93	3.61	3.89	3.19	2.65	0.45	1.4	0.9	4.47	10.45	0.03	1221
床	chuang2	bed	1	1	3	4	4.89	2.65	4.51	0.88	0.63	1	1.94	2.84	0	710
蜜蜂	mi4 feng1	bee	1	2	3.43	3.33	3.75	3.78	2.6	0.38	2.55	0.45	2.35	10.32	0.03	1282
甲虫	jia3 chong2	beetle	1	2	3.14	3.22	3.56	2.81	2.06	0.13	3.3	0.45	3.81	10.59	0.2	1459
铃铛	ling2 dang1	bell	1	2	2.24	3.97	4.61	2.46	2.26	0.4	1.93	0.68	2.94	4.41	0.03	1022
皮带	pi2 dai4	belt	1	2	3.02	4.22	4.75	1.97	3.49	0.53	1.77	0.85	3.35	4.69	0	993
自行车	zi4 xing2 che1	bike	1	3	3.43	4.33	4.94	3.57	4.17	0.98	0.17	1	2.81	2.81	0	763
打气筒	da3 qi4 tong3	bicycle pump	1	3	2.88	4.26	4.25	1.86	3.14	0.58	1.78	0.88	3.5	4.68	0.06	1202
望远镜	wang4 yuan3 jing4	binocular	1	3	3.07	4.17	3.97	3.78	2.26	0.73	0.18	0.95	4.18	7.17	0.03	1063
小鸟	xiao3 niao3	bird	1	2	3.55	4.22	4.47	2.65	3.37	0.53	2.01	0.95	1.56	2.74	0.09	972
鸟巢	niao3 chao2	bird's nest	1	2	2.79	3.97	3.78	4.62	2.31	0.43	1.69	0.83	3	7	0.06	1537
血	xue4	blood	2	1	2.81	3.2	3.61	3.43	3.17	0.5	2.4	0.73	1.81	6.25	0.06	1411
上衣	shang4 yi1	blouse	1	2	3.29	4.08	4.81	2.46	3.94	0.23	3.37	1	3.44	10.91	0.03	959
