"word","borrowing","age_oldest","age_youngest","age_oldest_num","age_youngest_num","word.1","phonology","phonlength","AoA","subtlexzipf","conc","cat","AoA_obj","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length"
"handkerchief",7,"1530","1530","470","470","handkerchief","h{Nk@JIf",8,"7.22","3.21","5.00","Noun",2,"English",NA,3.45098039215686,1.79731245171322e-05,8
"bicycle",7,"#N/A","#N/A","#N/A","#N/A","bicycle","b2sIkP",6,"4.26","3.92","4.89","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"radio",5,"1913","1913","87","87","radio","r1dI5",5,"5.17","4.82","4.74","Noun",2,"Latin","radius",4.83333333333333,0.207542493517048,6
"television",5,"1907","1907","93","93","television","tElIvIZH",8,"4.11","4.87","4.83","Noun",4,"Greek","tēle",5.38888888888889,0.184721856723046,4
"grass-skirt",5,"1898","1898","102","102","grassskirt","gr{ssk3t",8,"#N/A","#N/A","#N/A","Noun",NA,"English",NA,3.45098039215686,1.79731245171322e-05,8
"motorcycle",5,"1896","1896","104","104","motorcycle","m5t@s2kP",8,"5.05","3.55","4.97","Noun",2,"Greek","kúklos",5.38888888888889,0.147777485378437,6
"aeroplane",5,"1866","1866","134","134","aeroplane","8r@pl1n",7,"3.94","3.86","4.96","Noun",NA,"Latin","aēr + plānus",4.83333333333333,3.02561297432331e-06,12
"billy-goat",5,"1861","1861","139","139","billygoat","bIlIg5t",7,"#N/A","#N/A","#N/A","Noun",NA,"English",NA,3.45098039215686,0.00953247551173794,7
"stingy",5,"1849","1849","151","151","stingy","stIn_I",6,"7.78","3.02","2.00","Adjective",6,"English",NA,3.45098039215686,0.00953247551173794,6
"telephone",5,"1835","1835","165","165","telephone","tElIf5n",7,"4.63","4.32","4.96","Noun",2,"Greek","tēle + phōnē",5.38888888888889,0.00250197369555344,12
"lunch",5,"1829","1829","171","171","lunch","lVnJ",4,"3.61","4.72","4.31","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"ridgepole",5,"1788","1788","212","212","ridgepole","rI_p5l",6,"14.00","#N/A","#N/A","Noun",12,"Latin","pālus",4.83333333333333,0.322843878804296,5
"donkey",5,"1785","1785","215","215","donkey","dQNkI",5,"6.00","3.99","5.00","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"screwdriver",5,"1779","1779","221","221","screwdriver","skrudr2v@R",10,"6.00","3.34","4.90","Noun",4,"English",NA,3.45098039215686,4.96467117486558e-10,10
"livestock",5,"1775","1775","225","225","livestock","l2vstQk",7,"7.89","3.75","4.70","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"sniff",5,"1767","1767","233","233","sniff","snIf",4,"6.16","3.87","4.17","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"anteater",5,"1764","1764","236","236","anteater","{ntit@R",7,"8.50","2.98","4.86","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"eyelash",5,"1752","1752","248","248","eyelash","2l{S",4,"5.80","2.79","5.00","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"fireplace",5,"1702","1702","298","298","fireplace","f2@pl1s",7,"7.37","4.21","4.68","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"glasses",5,"1700","1700","300","300","glasses","gl#sIz",6,"4.35","4.37","4.90","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"snowshoe",5,"1674","1674","326","326","snowshoe","sn5Su",5,"7.68","1.90","4.67","Verb",NA,"English",NA,3.45098039215686,0.0953247551173794,5
"homeland",5,"1670","1670","330","330","homeland","h5ml{nd",7,"9.35","3.46","3.45","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"newspaper",5,"1667","1667","333","333","newspaper","njusp1p@R",9,"5.78","4.48","4.82","Noun",2,"English",NA,3.45098039215686,1.50635287271151e-07,9
"firefly",5,"1658","1658","342","342","firefly","f2@fl2",6,"6.39","2.73","4.90","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"axle",5,"1634","1634","366","366","axle","{ksP",4,"10.85","2.93","4.50","Noun",4,"English",NA,3.45098039215686,0.32410416739909,4
"herdsman",5,"1603","1603","397","397","herdsman","h3dzm@n",7,"9.61","2.06","4.11","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"squeeze",5,"1601","1601","399","399","squeeze","skwiz",5,"5.42","4.36","3.75","Verb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"hurry",5,"1600","1600","400","400","hurry","hVrI",4,"4.44","4.53","2.63","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"puke",5,"1600","1600","400","400","puke","pjuk",4,"6.94","3.03","4.59","Verb",8,"English",NA,3.45098039215686,0.32410416739909,4
"grandchild",5,"1587","1587","413","413","grandchild","gr{nJ2ld",8,"5.26","3.25","4.26","Noun",2,"French","grand",3.5,0.134541280442127,5
