word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
handkerchief,7,h{Nk@JIf,8,7.22,2,3.21,5,Noun,,English,NA,3.450980392,1.80E-05,8,1530,1530,470,470,1530,,6-810,handkerchief,kercher,fihl,4,C
bicycle,7,b2sIkP,6,4.26,2,3.92,4.89,Noun,,English,NA,3.450980392,0.009532476,6,#N/A,#N/A,#N/A,#N/A,1868,,,,,,NA,Z
radio,5,r1dI5,5,5.17,2,4.82,4.74,Noun,Latin contact,Latin,radius,4.833333333,0.207542494,6,1913,1913,87,87,1913,Replacement,,,,,NA,Z
television,5,tElIvIZH,8,4.11,4,4.87,4.83,Noun,None,Greek,t€Òle,5.388888889,0.184721857,4,1907,1907,93,93,1907, and coined in Britain from classical roots,,,,,NA,C
grass-skirt,5,gr{ssk3t,8,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,1.80E-05,8,1898,1898,102,102,1898,,6-461,grass-skirt,,,NA,C
motorcycle,5,m5t@s2kP,8,5.05,2,3.55,4.97,Noun,None,Greek,kÌ_klos,5.388888889,0.147777485,6,1896,1896,104,104,1896,,,,,,NA,C
aeroplane,5,8r@pl1n,7,3.94,NA,3.86,4.96,Noun,Latin contact,Latin,a€Òr + pl€Ånus,4.833333333,3.03E-06,12,1866,1866,134,134,1866,Insertion,,,,,NA,C
billy-goat,5,bIlIg5t,7,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,0.009532476,7,1861,1861,139,139,1861,,3-370,he-goat,bukke,bucca,5,O
stingy,5,stIn_I,6,7.78,6,3.02,2,Adjective,None,English,NA,3.450980392,0.009532476,6,1849,1849,151,151,1849,,11-540,avaricious,averous,feohgeorn,9,O
telephone,5,tElIf5n,7,4.63,2,4.32,4.96,Noun,Greek contact,Greek,t€Òle + phÅçn€Ò,5.388888889,0.002501974,12,1835,1835,165,165,1835,Insertion,,,,,NA,Z
lunch,5,lVnJ,4,3.61,2,4.72,4.31,Noun,None,English,NA,3.450980392,0.324104167,4,1829,1829,171,171,1829,,5-430,lunch,non-shench,no’‹nmete,7,Z
ridgepole,5,rI_p5l,6,14,12,#N/A,#N/A,Noun,Latin contact,Latin,p€Ålus,4.833333333,0.322843879,5,1788,1788,212,212,1788,Coexistence,7-530,ridgepole,bem,first,5,C
donkey,5,dQNkI,5,6,2,3.99,5,Noun,None,English,NA,3.450980392,0.095324755,5,1785,1785,215,215,1785,,3-460,ass,asse,assa,4,M
screwdriver,5,skrudr2v@R,10,6,4,3.34,4.9,Noun,None,English,NA,3.450980392,4.96E-10,10,1779,1779,221,221,1779,,,,,,NA,C
livestock,5,l2vstQk,7,7.89,4,3.75,4.7,Noun,None,English,NA,3.450980392,0.009532476,7,1775,1775,225,225,1775,,3-150,livestock,fe,ce’‹ap,4,C
sniff,5,snIf,4,6.16,2,3.87,4.17,Verb,None,English,NA,3.450980392,0.324104167,4,1767,1767,233,233,1767,,15-212,sniff,sniffen,to’‹stincan(?),9,M
anteater,5,{ntit@R,7,8.5,4,2.98,4.86,Noun,None,English,NA,3.450980392,0.009532476,7,1764,1764,236,236,1764,,,,,,NA,C
eyelash,5,2l{S,4,5.8,2,2.79,5,Noun,None,English,NA,3.450980392,0.324104167,4,1752,1752,248,248,1752,,4-214,eyelash,her of eie-lid,bru’‹(?),3,C
fireplace,5,f2@pl1s,7,7.37,2,4.21,4.68,Noun,None,English,NA,3.450980392,0.009532476,7,1702,1702,298,298,1702,,7-310,fireplace,herth,heor‘Ÿ,5,C
glasses,5,gl#sIz,6,4.35,2,4.37,4.9,Noun,None,English,NA,3.450980392,0.009532476,6,1700,1700,300,300,1700,,,,,,NA,C
snowshoe,5,sn5Su,5,7.68,NA,1.9,4.67,Verb,None,English,NA,3.450980392,0.095324755,5,1674,1674,326,326,1674,,,,,,NA,C
homeland,5,h5ml{nd,7,9.35,4,3.46,3.45,Noun,None,English,NA,3.450980392,0.009532476,7,1670,1670,330,330,1670,,19-120,one's native country,contre’‹-e,e’‹‘Ÿel (e’‹‘Ÿelturf,12,C
newspaper,5,njusp1p@R,9,5.78,2,4.48,4.82,Noun,None,English,NA,3.450980392,1.51E-07,9,1667,1667,333,333,1667,,,,,,NA,C
firefly,5,f2@fl2,6,6.39,2,2.73,4.9,Noun,None,English,NA,3.450980392,0.009532476,6,1658,1658,342,342,1658,,3-910,firefly,noctiluca,,NA,C
axle,5,{ksP,4,10.85,4,2.93,4.5,Noun,None,English,NA,3.450980392,0.324104167,4,1634,1634,366,366,1634,,10-770,axle,ax-e,eax,3,M
herdsman,5,h3dzm@n,7,9.61,4,2.06,4.11,Noun,None,English,NA,3.450980392,0.009532476,7,1603,1603,397,397,1603,,3-180,herdsman,herd-e,hirde,5,C
squeeze,5,skwiz,5,5.42,2,4.36,3.75,Verb,None,English,NA,3.450980392,0.095324755,5,1601,1601,399,399,1601,,9-343,squeeze,quisen,wringan,7,M
hurry,5,hVrI,4,4.44,2,4.53,2.63,Verb,None,English,NA,3.450980392,0.324104167,4,1600,1600,400,400,1600,,14-230,hasten,hien,racian,6,M
puke,5,pjuk,4,6.94,8,3.03,4.59,Verb,None,English,NA,3.450980392,0.324104167,4,1600,1600,400,400,1600,,4-570,vomit,speuen,spi’‹wan,6,M
grandchild,5,gr{nJ2ld,8,5.26,2,3.25,4.26,Noun,French contact,French,grand,3.5,0.13454128,5,1587,1587,413,413,1587,Replacement,,,,,NA,C
stocking,5,stQkIN,6,6.68,2,3.37,4.86,Noun,None,English,NA,3.450980392,0.009532476,6,1583,1583,417,417,1583,,6-490,stocking,hose,hosu,4,O
hiccough,5,hIkQf,5,10.2,12,3.28,4.31,Noun,None,English,NA,3.450980392,0.095324755,5,1580,1580,420,420,1580,,4-521,hiccough,yexen,su’‹gan,5,C
stutter,5,stVt@R,6,8.78,4,2.78,3.97,Verb,None,English,NA,3.450980392,0.009532476,6,1570,1570,430,430,1570,,18-211,stutter,stutten,stamerian,9,M
shark,5,S#k,3,5.47,4,4.17,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,1569,1569,431,431,1569,,3-661,shark,shark,,NA,M
hug,5,hVg,3,2.58,2,4.13,4.14,Noun,None,English,NA,3.450980392,0.390831496,3,1567,1567,433,433,1567,,16-300,embrace,embracen,clyppan,7,M
splash,5,spl{S,5,3.67,2,4.13,4.19,Noun,None,English,NA,3.450980392,0.095324755,5,1565,1565,435,435,1565,,10-352,splash,plash-e,,NA,Z
workshop,5,w3kSQp,6,7.78,4,4.01,4.54,Noun,None,English,NA,3.450980392,0.009532476,6,1562,1562,438,438,1562,,,,,,NA,C
collarbone,5,kQl@b5n,7,8.89,4,2.8,4.85,Noun,None,English,NA,3.450980392,0.009532476,7,1550,1550,450,450,16th century,,4-302,collarbone,furcle,wi‘Ÿoba’‹n,7,C
dandruff,5,d{ndrVf,7,10.74,4,2.75,4.79,Noun,None,English,NA,3.450980392,0.009532476,7,1545,1545,455,455,1545,,4-146,dandruff,scales,,NA,M
fog,5,fQg,3,6.21,4,4.08,4.66,Noun,None,English,NA,3.450980392,0.390831496,3,1544,1544,456,456,1544,,1-740,fog,mist,mist,4,Z
stamp,5,st{mp,5,6.33,2,4.2,4.7,Noun,None,English,NA,3.450980392,0.095324755,5,1542,1542,458,458,1542,,,,,,NA,M
jug,5,_Vg,3,5.83,2,4.06,4.96,Noun,None,English,NA,3.450980392,0.390831496,3,1538,1538,462,462,1538,,5-340,pitcher,picher-e,croc,4,Z
doorpost,5,d$Rp5st,7,7.56,8,1.3,4.7,Noun,French contact,French,poste,3.5,0.13454128,5,1535,1535,465,465,1535,Coexistence,7-221,doorpost,jaumb,durustod,8,C
jump,5,_Vmp,4,2.84,2,4.84,4.52,Verb,None,English,NA,3.450980392,0.324104167,4,1530,1530,470,470,1530,,10-430,jump,lepen,hle’‹apan,7,M
sometimes,5,sVmt2mz,7,6.37,4,5.25,1.77,Adverb,None,English,NA,3.450980392,0.009532476,7,1526,1526,474,474,1526,,14-330,sometimes,while,hwi’‹lum,6,C
grasshopper,5,gr#shQp@R,9,5.78,2,2.91,4.91,Noun,None,English,NA,3.450980392,1.51E-07,9,1526,1526,474,474,1526,,3-930,grasshopper,gras-hoppe,gí_rshoppa,9,C
fisherman,5,fIS@m@n,7,5.16,2,3.75,4.73,Noun,None,English,NA,3.450980392,0.009532476,7,1526,1526,474,474,1526,,20-510,fisherman,fisher-e,fiscere,7,C
nipple,5,nIpP,4,9.05,2,3.07,4.83,Noun,None,English,NA,3.450980392,0.324104167,4,1510,1510,490,490,1510,,4-412,nipple,tet-e,(forweard) titt,12,M
inside,5,Ins2d,5,4.77,2,5.36,3.67,Adverb,None,English,NA,3.450980392,0.095324755,5,1504,1504,496,496,1504,,12-050,inside,in,innan,5,Z
firewood,5,f2@wUd,6,6.61,2,3.02,4.93,Noun,None,English,NA,3.450980392,0.009532476,6,1496,1496,504,504,1496,,1-880,firewood,fir,tynder(?),6,C
shed,5,SEd,3,7.33,6,4.38,4.55,Verb,None,English,NA,3.450980392,0.390831496,3,1481,1481,519,519,1481,,7-131,garden-house,caban,,NA,M
breakfast,5,brEkf@st,8,3.47,2,4.64,4.43,Noun,None,English,NA,3.450980392,1.80E-05,8,1463,1463,537,537,1463,,5-420,breakfast,breke-faste,morgenmete,10,Z
outside,5,6ts2d,5,3.58,2,5.32,4.25,Adverb,None,English,NA,3.450980392,0.095324755,5,1457,1457,543,543,1457,,12-060,outside,out-e,u’‹t(an),4,Z
salty,5,s$ltI,5,5.33,2,3.87,3.93,Adjective,None,English,NA,3.450980392,0.095324755,5,1440,1440,560,560,1440,,15-360,salty,salt,sealt,5,C
padlock,5,p{dlQk,6,8.84,2,2.91,4.92,Noun,1579,English,NA,3.450980392,0.009532476,6,1438,1438,562,562,1438,,,,,,NA,Z
loom,5,lum,3,8.78,6,3.27,4.5,Noun,None,English,NA,3.450980392,0.390831496,3,1404,1404,596,596,1404,,6-340,loom,lome,,NA,M
shallow,5,S{l5,4,7,4,3.87,3.45,Adjective,None,English,NA,3.450980392,0.324104167,4,1400,1400,600,600,1400,,12-680,shallow,shold-e,sceald,6,M
prawn,5,pr$n,4,13.06,13,3.66,4.62,Noun,None,English,NA,3.450980392,0.324104167,4,1400,1400,600,600,1400,,,,,,NA,Z
threshing-floor,5,TrESINfl$R,10,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,4.96E-10,10,1398,1398,602,602,1398,,8-350,threshing-floor,threshing-e flor,‘Ÿirsceflo’‹r,10,C
earwax,5,7w{ks,5,6.39,NA,2.54,4.87,Noun,None,English,NA,3.450980392,0.095324755,5,1398,1398,602,602,1398,,4-222,earwax,ere sope,teoru,5,C
forge,5,f$_,3,9.8,6,3.57,4.04,Verb,French contact,French,forge,3.5,0.13454128,5,1390,1390,610,610,1390,Coexistence,9-610,forge,smith-e,smi‘Ÿian,7,M
fishhook,5,fIShUk,6,6.84,2,1.3,4.87,Noun,None,English,NA,3.450980392,0.009532476,6,1387,1387,613,613,1387,,20-520,fishhook,hok,angel,5,C
kick,5,kIk,3,4.06,2,4.91,4.33,Verb,None,English,NA,3.450980392,0.390831496,3,1386,1386,614,614,1386,,10-431,kick,kiken,spurnan,7,M
father-in-law,5,f#D@rInl$,9,#N/A,4,3.33,#N/A,Noun,None,English,NA,3.450980392,1.51E-07,9,1385,1385,615,615,1385,,2-610,father-in-law,fader in laue,swe’‹or,5,I
mother-in-law,5,mVD@rInl$,9,#N/A,4,3.66,#N/A,Noun,None,English,NA,3.450980392,1.51E-07,9,1382,1382,618,618,1382,,2-620,mother-in-law,moder-in-laue,sweger,6,I
daughter-in-law,5,d$t@rInl$,9,#N/A,4,2.99,#N/A,Noun,1300,English,NA,3.450980392,1.51E-07,9,1382,1382,618,618,1382,,2-640,daughter-in-law,doughter in laue,snoru,5,I
shoemaker,5,Sum1k@R,7,7.58,2,2.63,4.54,Noun,None,English,NA,3.450980392,0.009532476,7,1381,1381,619,619,1381,,6-540,shoemaker,sho-makere,sco’‹here,7,C
chop,5,JQp,3,6.74,2,4.3,4.48,Noun,None,English,NA,3.450980392,0.390831496,3,1362,1362,638,638,1362,,9-222,chop,choppen,ceorfan,7,M
widower,5,wId5@R,6,9.42,6,2.73,3.96,Noun,None,English,NA,3.450980392,0.009532476,6,1362,1362,638,638,1362,,2-770,widower,widwer-e,wuduwa,6,C
son-in-law,5,sVnInl$,7,#N/A,4,3.2,#N/A,Noun,1300,English,NA,3.450980392,0.009532476,7,1350,1350,650,650,14th century,,2-630,son-in-law,sone-in-laue,a’‹‘Ÿum,4,I
shout,5,S6t,3,4.72,4,4.43,4.17,Verb,None,English,NA,3.450980392,0.390831496,3,1350,1350,650,650,14th century,,18-130,shout,shouten,hri’‹eman,7,M
spider,5,sp2d@R,6,3.43,2,4.24,4.97,Noun,None,English,NA,3.450980392,0.009532476,6,1340,1340,660,660,1340,,3-818,spider,spither,a’‹torcoppe,9,M
saucer,5,s$s@R,5,8.44,2,3.37,4.79,Noun,French contact,Old French,saussier,4.117647059,0.000899275,8,1340,1340,660,660,1340,No information,5-360,saucer,saucer-e,bledu(?),5,O
charcoal,5,J#k5l,5,8,4,3.38,4.85,Noun,None,English,NA,3.450980392,0.095324755,5,1340,1340,660,660,1340,,1-890,charcoal,char-col,co’‹l,3,C
kill,5,kIl,3,6.35,2,4.91,3.9,Verb,None,English,NA,3.450980392,0.390831496,3,1330,1330,670,670,1330,,4-760,kill,slen,cwellan,7,M
mould,5,m5ld,4,11.33,8,4.04,#N/A,Noun,French contact,French (Anglo-Norman),modle,3.5,0.134541281,5,1327,1327,673,673,1327,Coexistence,9-720,mold,formen,hi’‹wian(?),6,Z
nape,5,n1p,3,10.53,12,2.09,4.44,Noun,None,English,NA,3.450980392,0.390831496,3,1325,1325,675,675,1325,,4-281,nape of neck,nape,hnecca,6,M
cough,5,kQf,3,4.32,4,3.68,4.36,Noun,None,English,NA,3.450980392,0.390831496,3,1325,1325,675,675,1325,,4-530,cough,coughen,hwo’‹s(t)an,7,M
bunch,5,bVnJ,4,4.89,2,4.43,3.5,Noun,None,English,NA,3.450980392,0.324104167,4,1325,1325,675,675,1325,,5-712,bunch,bonche,clystre,7,Z
kidney,5,kIdnI,5,9.33,4,3.94,4.96,Noun,None,English,NA,3.450980392,0.095324755,5,1325,1325,675,675,1325,,4-451,kidney,kide-nere,lundlaga,8,R
wrap,5,r{p,3,7,2,4.1,4.11,Verb,None,English,NA,3.450980392,0.390831496,3,1320,1320,680,680,1320,,10-140,wind,winden,windan,6,M
bald,5,b$ld,4,7.26,4,3.72,4.69,Adjective,None,English,NA,3.450980392,0.324104167,4,1300,1300,700,700,1300,,4-930,bald,balled,calu,4,M
drunk,5,drVNk,5,9.26,2,4.46,3.48,Adjective,None,English,NA,3.450980392,0.095324755,5,1300,1300,700,700,1300,,4-980,intoxicated,dronken,druncen,7,M
afternoon,5,#ft@nun,7,4.65,2,5.06,3.7,Noun,None,English,NA,3.450980392,0.009532476,7,1300,1300,700,700,1300,,14-451,afternoon,after-non,geloten dí_g,10,C
cloud,5,kl6d,4,3.63,2,4.77,4.54,Noun,None,English,NA,3.450980392,0.324104167,4,1300,1300,700,700,1300,,1-730,cloud,ski-e,wolcen,6,Z
basket,5,b#skIt,6,5.67,2,4.16,5,Noun,None,English,NA,3.450980392,0.009532476,6,1300,1300,700,700,1300,,9-760,basket,windle,tí_’‹nel,5,M
earthquake,5,3Tkw1k,6,7.53,2,4.11,3.97,Noun,None,English,NA,3.450980392,0.009532476,6,1300,1300,700,700,1300,,1-450,earthquake,terre-mote,eor‘Ÿbeofung,11,C
shoulderblade,5,S5ld@bl1d,9,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,1.51E-07,9,1300,1300,700,700,1300,,4-301,shoulderblade,shulder-blade,scearu(?),6,C
pour,5,p$R,3,5,2,4.25,4.14,Verb,None,English,NA,3.450980392,0.390831496,3,1300,1300,700,700,1300,,9-350,pour,yeten,ge’‹otan,6,M
bad,5,b{d,3,2.79,2,5.56,1.68,Adjective,None,English,NA,3.450980392,0.390831496,3,1297,1297,703,703,1297,,16-720,bad,ivel,yfel (earg),8,M
boast,5,b5st,4,8.22,6,3.47,2.32,Verb,None,English,NA,3.450980392,0.324104167,4,1297,1297,703,703,1297,,18-450,boast,yelpen,gielpan,7,M
girl,5,g3l,3,4,2,5.29,4.85,Noun,None,English,NA,3.450980392,0.390831496,3,1290,1290,710,710,1290,,2-260,girl,maiden,mí_gden,6,M
teacher,5,tiJ@R,5,4.55,2,4.68,4.52,Noun,None,English,NA,3.450980392,0.095324755,5,1290,1290,710,710,1290,,17-270,teacher,techer-e,la’‹re’‹ow,6,C
tomorrow,5,t@mQr5,6,5.19,2,5.26,2.04,Adverb,None,English,NA,3.450980392,0.009532476,6,1275,1275,725,725,1275,,14-480,tomorrow,tomorn,to’‹ morgen(e),9,C
shiver,5,SIv@R,5,7.5,4,3.27,3.88,Verb,None,English,NA,3.450980392,0.095324755,5,1250,1250,750,750,1250,,4-680,shiver,tremblen,bifian,6,M
always,5,$lw1z,5,6.26,2,5.76,1.71,Adverb,None,English,NA,3.450980392,0.095324755,5,1230,1230,770,770,1230,,14-310,always,ever,ealneg,6,C
early,5,3lI,3,5.31,2,5.32,2.25,Adverb,None,English,NA,3.450980392,0.390831496,3,1225,1225,775,775,1225,,14-160,early,er,í_’‹r,2,Z
rule,5,rul,3,4.72,4,4.67,2.57,Noun,French contact,French (Anglo-Norman),riule,3.5,0.134541281,5,1225,1225,775,775,1225,Coexistence,19-310,rule,welden,wealdan,7,M
pig,5,pIg,3,3.84,2,4.51,5,Noun,None,English,NA,3.450980392,0.390831496,3,1225,1225,775,775,1225,,3-350,pig,pigge,swi’‹n,4,M
clever,5,klEv@R,6,7.5,4,4.71,1.79,Adjective,None,English,NA,3.450980392,0.009532476,6,1220,1220,780,780,1220,,16-840,clever,skilful,crí_ftig,7,M
eyelid,5,2lId,4,6.33,2,3,5,Noun,None,English,NA,3.450980392,0.324104167,4,1220,1220,780,780,1220,,4-213,eyelid,eie-lid,brí_’‹w,4,C
beside,5,bIs2d,5,7.22,2,4.13,2.59,Preposition,None,English,NA,3.450980392,0.095324755,5,1205,1205,795,795,1205,,12-020,beside,biside-s,be healfe,8,C
blunt,5,blVnt,5,11.05,6,3.68,3.07,Adjective,None,English,NA,3.450980392,0.095324755,5,1200,1200,800,800,1200,,15-790,blunt,blont,a’‹stynt,6,M
or,5,$R,2,4.14,4,6.29,1.72,Conjunction,None,English,NA,3.450980392,0.142987133,2,1200,1200,800,800,1200,,17-540,or,or,o‘Ÿ‘Ÿe,4,M
smell,5,smEl,4,4.22,2,4.84,3.7,Verb,None,English,NA,3.450980392,0.324104167,4,1175,1175,825,825,1175,,15-220,smell,smellen,gestincan,9,M
without,5,wID6t,5,6.53,2,5.46,2.15,Preposition,None,English,NA,3.450980392,0.095324755,5,1123,1123,877,877,1123,,,,,,NA,C
twice,5,tw2s,4,5.89,4,4.77,2.93,Adverb,None,English,NA,3.450980392,0.324104167,4,1122,1122,878,878,1122,,13-380,two times,twies,twa’‹,3,Z
smooth,5,smuD,4,5.61,4,4.36,3.81,Adjective,None,English,NA,3.450980392,0.324104167,4,1050,1050,950,950,1050,,15-770,smooth,smothe,sme’‹‘Ÿe,5,Z
dog,5,dQg,3,2.8,2,5.17,4.85,Noun,None,English,NA,3.450980392,0.390831496,3,1050,1050,950,950,1050,,3-610,dog,hound,hund,4,Z
put,5,pUt,3,3.72,2,5.99,2.5,Verb,None,English,NA,3.450980392,0.390831496,3,1050,1050,950,950,1050,,12-120,put,setten,settan,6,Z
guilty,5,gIltI,5,8.05,4,4.57,2.36,Adjective,None,English,NA,3.450980392,0.095324755,5,1000,1000,1000,1000,1000,,21-350,guilty,gilti,scyldig,7,C
never,5,nEv@R,5,5.07,2,5.89,1.59,Adverb,None,English,NA,3.450980392,0.095324755,5,1000,1000,1000,1000,1000,,14-340,never,never,ní_’‹fre,5,M
yes,5,jEs,3,2.31,2,6.23,2.14,Interjection,None,English,NA,3.450980392,0.390831496,3,1000,1000,1000,1000,1000,,17-550,yes,yis,ge’‹a,3,M
evening,5,ivHIN,5,5.84,2,5.12,3.26,Noun,None,English,NA,3.450980392,0.095324755,5,1000,1000,1000,1000,1000,,14-460,evening,eve-n,í_’‹fen,4,R
whistle,5,wIsP,4,5.42,2,4.25,4.42,Noun,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,18-170,whistle,whistlen,hwistlian,9,Z
forehead,5,fQrId,5,5.58,4,3.56,4.9,Noun,None,English,NA,3.450980392,0.095324755,5,1000,1000,1000,1000,1000,,4-205,forehead,forhed,foranhe’‹afod,11,C
earring,5,7rIN,4,7.17,2,3.07,4.96,Noun,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,6-770,earring,ere-ring,e’‹arrhing,8,C
colt,5,k5lt,4,8.98,2,3.12,4.96,Noun,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,3-450,foal,fole,fola,4,M
sibling,5,sIblIN,6,7.58,12,3.19,4.37,Noun,None,English,NA,3.450980392,0.009532476,6,1000,1000,1000,1000,1000,,2-456,sibling,,ne’‹ah sibb(?),8,C
curse,5,k3s,3,7.47,4,3.8,2.39,Noun,None,English,NA,3.450980392,0.390831496,3,1000,1000,1000,1000,1000,,22-240,curse,cursen,wyrgan,6,M
butterfly,5,bVt@fl2,7,3.67,2,4.03,4.93,Noun,None,English,NA,3.450980392,0.009532476,7,1000,1000,1000,1000,1000,,3-920,butterfly,buter-flie,butorfle’‹oge,11,C
film,5,fIlm,4,6.95,2,5.26,4.71,Noun,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,,,,,NA,Z
untie,5,Vnt2,4,4.84,2,3.04,3.89,Verb,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,9-161,untie,unteien,unbindan,8,C
bless,5,blEs,4,5.33,2,4.26,2.68,Verb,None,English,NA,3.450980392,0.324104167,4,1000,1000,1000,1000,1000,,22-230,bless,blessen,ble’‹tsian,8,M
keep,5,kip,3,4.42,2,5.72,2.37,Verb,None,English,NA,3.450980392,0.390831496,3,1000,1000,1000,1000,1000,,11-170,keep,holden,(ge)healdan,9,M
pull,5,pUl,3,4.79,2,4.94,3.97,Verb,None,English,NA,3.450980392,0.390831496,3,1000,1000,1000,1000,1000,,9-330,pull,drauen,te’‹on,4,M
waterfall,5,w$t@f$l,7,5.47,2,3.56,4.9,Noun,None,English,NA,3.450980392,0.009532476,7,992,992,1008,1008,992,,1-390,waterfall,water-fal,‘Ÿeote,5,C
yesterday,5,jEst@dI,7,4.58,2,5.03,3,Adverb,None,English,NA,3.450980392,0.009532476,7,950,950,1050,1050,950,,14-490,yesterday,yesterdai,geostran dí_g,11,O
today,5,t@d1,4,4.77,2,5.96,2.57,Adverb,None,English,NA,3.450980392,0.324104167,4,897,897,1103,1103,897,,14-470,today,todai,to’‹ dí_g(e),6,Z
woman,5,wUm@n,5,4.95,2,5.22,4.46,Noun,None,English,NA,3.450980392,0.095324755,5,893,893,1107,1107,893,,2-220,woman,que’‹’ëne,cwe’‹n,4,M
bruise,5,bruz,4,5.45,4,3.3,4.73,Noun,None,English,NA,3.450980392,0.324104167,4,890,890,1110,1110,890,,4-852,bruise,brisure,ben,3,M
understand,5,Vnd@st{nd,9,6.17,2,5.32,2.28,Verb,None,English,NA,3.450980392,1.51E-07,9,888,888,1112,1112,888,,17-160,understand,understonden,understandan,12,O
adze,5,{dz,3,#N/A,14,2.4,#N/A,Noun,None,English,NA,3.450980392,0.390831496,3,880,880,1120,1120,880,,9-251,adze,adese,,NA,M
part,5,p#t,3,5.11,2,5.67,3.29,Noun,NA,Latin,"par-s, -tem",4.833333333,5.98E-05,11,Late Old English,Late Old English,850,850,NA,NA,NA,NA,NA,NA,NA,Z
worship,5,w3SIp,5,7,4,3.89,2.62,Verb,None,English,NA,3.450980392,0.095324755,5,Late Old English,Late Old English,850,850,Late Old English,,22-160,worship,worshipen,weor‘Ÿian,8,Z
bird,5,b3d,3,3.52,2,4.85,5,Noun,None,English,NA,3.450980392,0.390831496,3,800,800,1200,1200,before 800,,3-581,bird,foul,fugel,5,M
answer,5,#ns@R,5,5.43,2,5.56,2.89,Verb,None,English,NA,3.450980392,0.095324755,5,800,800,1200,1200,before 800,,18-320,answer,answeren,andswarian,10,M
tired,5,t2@d,4,4.62,2,4.64,3,Adjective,None,English,NA,3.450980392,0.324104167,4,725,725,1275,1275,725,,4-910,tired,tered-e,we’‹rig,5,Z
empty,5,EmptI,5,4.79,2,4.68,3.43,Adjective,None,English,NA,3.450980392,0.095324755,5,Early Old English,Early Old English,1100,1100,Early Old English,,13-220,empty,empti,i’‹del,4,O
ripe,5,r2p,3,7.11,2,3.7,3.3,Adjective,None,English,NA,3.450980392,0.390831496,3,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,5-123,ripe,ripe,ri’‹pe,4,M
wrinkled,5,rINkPd,6,7.26,NA,2.61,4.29,Adjective,None,English,NA,3.450980392,0.009532476,6,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,15-890,wrinkled,wrinkled,gewrinclod,10,C
unripe,5,Vnr2p,5,7.5,2,2.17,3.31,Adjective,None,English,NA,3.450980392,0.095324755,5,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,5-124,green,grene,unri’‹pe,6,C
alone,5,@l5n,4,4.94,2,5.03,2.86,Adjective,None,English,NA,3.450980392,0.324104167,4,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,13-330,alone,al-on-e,a’‹na,3,Z
smart,5,sm#t,4,5.5,2,4.49,1.75,Adjective,None,English,NA,3.450980392,0.324104167,4,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,16-840,clever,skilful,crí_ftig,7,M
stinking,5,stINkIN,7,#N/A,NA,3.46,3.2,Adjective,None,English,NA,3.450980392,0.009532476,7,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,15-260,stinking,stinkinge,stincende,9,Z
dull,5,dVl,3,8.05,2,4.04,2.37,Adjective,None,English,NA,3.450980392,0.390831496,3,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,15-790,blunt,blont,a’‹stynt,6,M
narrow,5,n{r5,4,7.57,2,4.25,3.04,Adjective,None,English,NA,3.450980392,0.324104167,4,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,12-620,narrow,narw-e,nearu,5,M
soft,5,sQft,4,3.95,2,4.68,3.88,Adjective,None,English,NA,3.450980392,0.324104167,4,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,15-750,soft,soft-e,softe,5,M
soon,5,sun,3,4.83,2,5.3,1.79,Adverb,None,English,NA,3.450980392,0.390831496,3,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,14-331,soon,sone,ti’‹mli’‹ce,7,M
straight,5,str1t,5,6.8,2,5.26,2.76,Adverb,None,English,NA,3.450980392,0.095324755,5,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,12-730,straight,streight,riht,4,Z
loud,5,l6d,3,4.54,2,4.48,3.73,Adverb,None,English,NA,3.450980392,0.390831496,3,Proto-West Germanic,Proto-West Germanic,2000,2000,Proto-West Germanic,,15-450,loud,loud,hlu’‹d,4,Z
