word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
buffalo,1,bVf@l5,6,6.7,2,3.86,4.83,Noun,Portuguese contact,Portuguese,bÌ_falo,4.038461538,0.1,6,1588,1588,412,412,1588,Insertion,,,,,NA,M
tobacco,1,t@b{k5,6,7.39,2,3.82,4.88,Noun,Spanish contact,Spanish,tabaco,8.051282051,0.167980481,6,1588,1588,412,412,1588,Insertion,8-680,tobacco,,,NA,M
yam,1,j{m,3,8.34,8,2.99,4.93,Noun,Portuguese contact,Portuguese,inhame,4.038461538,0.1,6,1588,1588,412,412,1588,Insertion,8-912,yam,,,NA,M
grandson,1,gr{nsVn,7,5.89,2,3.88,4.3,Noun,French contact,French,grand,3.5,0.13454128,5,1586,1586,414,414,1586,Replacement,2-480,grandson,sones sone,suna sunu,8,C
difficult,1,dIfIk@lt,8,5.85,2,5.4,2.21,Adjective,Latin contact,Latin,difficilis,4.833333333,0.000751411,10,1585,1585,415,415,1585,Replacement,17-470,difficult,difficult,earfo‘Ÿe,7,M
injure,1,In_@R,5,7.53,4,3.12,3.48,Verb,French contact,French,injurer,3.5,0.009610091,7,1583,1583,417,417,1583,Coexistence,11-280,harm,harmen,hearmian,8,R
vegetables,1,vE_t@bPz,8,4.17,NA,4.4,4.89,Noun,French contact,French,vÌ©gÌ©table,3.5,0.00050538,9,1582,1582,418,418,1582,No information,5-650,vegetables,wortes,wyrte,5,C
omen,1,5mEn,4,12.05,10,3.18,2.69,Noun,Latin contact,Latin,Åçmen,4.833333333,0.230602771,4,1582,1582,418,418,1582,Replacement,22-470,omen,token,hí_’‹l,3,Z
falsity,1,f$ls@tI,7,12.07,8,1.47,#N/A,Adjective,French contact,French,falsete,3.5,0.009610091,7,1579,1579,421,421,1579,Coexistence,16-680,deceit,deceit-e,fa’‹cen,5,C
defecate,1,dEf@k1t,7,13.2,14,2.28,4.21,Verb,Latin contact,Latin,d€Òfaec€Åre,4.833333333,0.023060277,9,1579,1579,421,421,1579,Coexistence,4-660,defecate,shiten,dyncge,6,O
penis,1,pinIs,5,8.53,2,3.66,5,Noun,Latin contact,Latin,p€Ònis,4.833333333,0.322843879,5,1578,1578,422,422,1578,Coexistence,4-492,penis,pintel,teors,5,M
