"","English.name","Japanese.name","Transcription","Katakana.reading","Picture.naming","Cognate.status","Japanese..L1..age.of.acquisition","English..L2..familiarity","Concreteness..L1.","No.Trans.L1.L2","No.Trans.L2.L1","NoM.L1","NoM.L2","Phonological.similarity","Semantic.similarity","subtlexzipf","Borrowed","age"
"82","helicopter","ヘリコプター","herikoputaa","ヘリコプター","Yes","C",3.6,4,5.8,1,1,1,1,3.4,4.9,7.31,NA,NA
"83","helmet","ヘルメット","herumetto","ヘルメット","Yes","C",3.4,3.7,5.4,1,1,1,1,3.6,4.9,7.03,"1. clearly borrowed","Modern Japanese"
"84","hope","希望","kibou","キボウ","No","NC",4.9,4.9,1.9,1,4,1,2,1.3,4.1,10.36,"1. clearly borrowed","Late Old Japanese"
"85","ideal","理想","risou","リソウ","No","NC",4.6,3.5,2.2,2,1,1,1,1.2,4.1,9.51,NA,NA
"86","iron","アイロン","airon","アイロン","Yes","C",3.6,3.6,5.7,1,2,1,2,3.2,2.8,6.67,"1. clearly borrowed","Late Old Japanese"
"87","jar","つぼ","tsubo","ツボ","No","NC",4.4,2.6,5.2,1,3,3,1,3.6,4.6,6.56,NA,NA
"88","joint","関節","kansetsu","カンセツ","No","NC",4.4,3,4.5,1,5,1,2,1.1,3.1,8.54,NA,NA
"89","joke","ジョーク","jooku","ジョーク","No","C",4.5,4.5,3.4,1,2,1,1,3.3,4.6,7.66,NA,NA
"90","jury","陪審","baishin","バイシン","No","NC",5.4,2.6,4.1,1,2,1,1,1.1,4,7.56,NA,NA
"91","kangaroo","カンガルー","kangaruu","カンガルー","Yes","C",3.3,3.6,5.9,1,1,1,1,3.5,4.9,6.12,"1. clearly borrowed","Modern Japanese"
"92","kick","キック","kikku","キック","No","C",3.4,4.5,4.4,1,2,1,1,3.9,4.6,7.7,"5. no evidence for borrowing","Early Modern Japanese"
"93","kiss","キス","kisu","キス","No","C",4,4.3,4.4,1,2,1,1,3.6,4.7,8.2,"1. clearly borrowed","Modern Japanese"
"94","ladder","はしご","hashigo","ハシゴ","Yes","NC",3.2,2.8,5.2,1,3,1,1,1,4.1,6.42,"5. no evidence for borrowing","Early Modern Japanese"
"95","learn","習う","narau","ナラウ","No","NC",3.9,4.5,3.1,1,2,1,1,1.1,4.4,6.93,"5. no evidence for borrowing","Old Japanese"
"96","left","左","hidari","ヒダリ","No","NC",3.6,4.3,4.3,1,2,1,2,1.1,4.4,9.98,"5. no evidence for borrowing","Old Japanese"
"97","lemon","レモン","remon","レモン","Yes","C",3.1,4.2,5.8,1,1,1,2,3.4,4.9,7.55,NA,NA
"98","lesson","レッスン","ressun","レッスン","No","C",4.2,5.1,3.8,1,5,1,1,3.5,4.3,8.94,NA,NA
"99","lion","ライオン","raion","ライオン","Yes","C",3,3.8,5.6,1,2,1,2,3.7,4.9,7.77,"1. clearly borrowed","Modern Japanese"
"100","lips","唇","kuchibiru","クチビル","Yes","NC",3.6,3.7,5.5,1,1,1,1,1,4.7,8.08,"5. no evidence for borrowing","Old Japanese"
"101","loan","ローン","roon","ローン","No","C",4.9,3.7,3.7,1,6,2,1,4,3.9,9.17,NA,NA
"102","lobster","ザリガニ","zarigani","ザリガニ","Yes","NC",3,3.1,5.8,2,5,1,1,1,3.5,5.88,NA,NA
"103","local","ローカル","rookaru","ローカル","No","C",4.3,4.8,3.4,1,3,1,1,3.4,3.9,8.4,NA,NA
"104","loose","緩い","yurui","ユルイ","No","NC",4.4,3.8,2.8,3,6,1,1,1.2,3.9,6.14,NA,NA
"105","lucky","ラッキー","rakkii","ラッキー","No","C",4,5.1,2.4,1,3,1,2,3.8,4.3,8.24,NA,NA
"106","matter","物事","monogoto","モノゴト","No","NC",4.6,4.1,3,4,3,2,1,1.1,3.6,8.79,NA,NA
"107","maze","迷路","meiro","メイロ","No","NC",3.9,2.2,4.6,2,2,1,2,1.1,2.9,6.86,NA,NA
"108","morale","モラル","moraru","モラル","No","C",4.6,3.2,2.7,1,5,1,1,2.9,4.1,7.96,NA,NA
"109","naked","裸","hadaka","ハダカ","No","NC",3.4,3.1,4.9,2,3,1,1,1,4.3,8.14,"5. no evidence for borrowing","Late Old Japanese"
"110","necklace","ネクレス","nekuresu","ネクレス","Yes","C",3.9,4.5,5.5,1,3,1,1,3.6,4.8,6.6,"1. clearly borrowed","Modern Japanese"
"111","normal","普通","futsuu","フツウ","No","NC",4.1,4.4,2.1,4,2,1,1,1.1,4.4,10.81,NA,NA
"112","nose","鼻","hana","ハナ","Yes","NC",3.9,4.1,5.5,1,1,1,1,1.1,4.9,9.28,"5. no evidence for borrowing","Old Japanese"
"113","past","過去","kako","カコ","No","NC",4.6,4.1,2.2,2,2,1,1,1,4.3,10.67,NA,NA
"114","peanut","ピーナツ","piinatsu","ピーナツ","Yes","C",3.3,4,5.8,1,2,1,1,3.3,4.9,4.79,NA,NA
"115","pelican","ペリカン","perikan","ペリカン","Yes","C",3.3,2.7,5.8,1,1,1,1,3.4,4.8,5.17,NA,NA
"116","pencil","鉛筆","enpitsu","エンピツ","Yes","NC",3.6,3.9,5.5,1,1,1,1,1.1,4.8,7.43,NA,NA
"117","penguin","ペンギン","pengin","ペンギン","Yes","C",3.1,3.7,5.8,1,1,1,1,3.3,5,7.28,NA,NA
"118","pig","豚","buta","ブタ","Yes","NC",3.6,3.5,5.7,1,1,1,1,1.1,4.6,8.54,"5. no evidence for borrowing","Middle Japanese"
"119","pipe","パイプ","paipu","パイプ","Yes","C",4,3.1,5,1,4,1,1,3.7,4.4,7.95,"1. clearly borrowed","Modern Japanese"
