"","Name","Pinyin","English","Source","LEN","VAR","IMG","FAM","VC","FREQ","NA.","H.value","CA","AoA_r","AoA_o","error","RT_harm","Borrowed","age","age.youngest","age.oldest"
"1","算盘","suan4pan2","abacus",4,2,3.36,4.33,4.64,3.68,1.71,0.88,0.54,1,"3.44","5.74",0.03,894,NA,NA,NA,NA
"2","水母","shui3mu3","acaleph",4,2,2.62,3.37,2.67,3.84,1.6,0.25,2.72,0.28,"6.25","10.86",0.34,1635,NA,NA,NA,NA
"3","手风琴","shou3feng1qin2","accordion",1,3,3.21,4,4.14,3.89,1.94,0.78,0.64,0.93,"4","10.5",0.06,1102,NA,NA,NA,NA
"4","飞机","fei1ji1","air plane",1,2,3.31,4.28,4.67,2.62,2.97,0.9,0.55,1,"2.76","2.25",0,748,"5. no evidence for borrowing","1893",1893,"1893"
"5","闹钟","nao4zhong1","alarm clock",5,2,2.86,4.11,4.75,3.86,3.97,0.85,0.71,1,"3.81","3.41",0.03,818,NA,NA,NA,NA
"6","鳄鱼","e4yu2","alligator",1,2,2.69,4.31,4.17,3.86,2.09,0.9,0.62,0.95,"4.18","4.42",0,1050,"5. no evidence for borrowing","Tang dynasty",NA,"Tang dynasty"
"7","救护车","jiu4hu4che1","ambulance",4,3,2.6,3.72,4.5,2.97,2.43,0.93,0.45,0.98,"4.31","4.66",0.03,1091,NA,NA,NA,NA
"8","锚","mao2","anchor",1,1,1.95,2.96,3.5,2.11,1.94,0.45,1.95,0.48,"5.63","11",0.37,1423,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"9","蚂蚁","ma3yi3","ant",1,2,3.1,3.42,3.92,3.43,2.34,0.58,1.71,0.58,"2.4","4.58",0.11,1282,"5. no evidence for borrowing","Tang dynasty",NA,"Tang dynasty"
"10","天线","tian1xian4","antenna",5,2,2.88,3.4,4.36,2.24,2.46,0.43,1.8,0.55,"3.88","10.8",0.09,1148,NA,NA,NA,NA
