"Stimuli","AoA","SD","X","Stimuli.1","FreqSub","SD.1","freq2","cat","phonlength","Borrowed"
"battre",6.288095238,2.164499358,NA,"battre",4.321428571,1.218790275,57.36,"VER",4,TRUE
"baume",11.07279693,2.456518422,NA,"baume",3.964285714,1.373887236,2.91,"NOM",3,TRUE
"beau",4.497219132,1.96255265,NA,"beau",5.214285714,1.548168401,297.17,"ADJ",2,FALSE
"bec",5.35483871,1.792457315,NA,"bec",3.464285714,0.881166855,23.31,"NOM",3,TRUE
"bêche",9.275862069,3.216337605,NA,"bêche",2.714285714,0.896790279,3.78,"NOM",3,FALSE
"beige",6.496106785,1.926610484,NA,"beige",3.714285714,1.410467295,7.97,"ADJ",3,FALSE
"bel",7.704115684,2.825764717,NA,"bel",3.964285714,1.104943198,37.09,"ADJ",3,FALSE
"berge",10.70411568,2.486955214,NA,"berge",3.714285714,1.487158435,8.72,"NOM",4,FALSE
"bête",4.855394883,1.621097464,NA,"bête",4.464285714,1.527092198,96.49,"ADJ",3,FALSE
"beurre",4.822024472,1.392761626,NA,"beurre",4.107142857,1.663091403,29.46,"ADJ",3,FALSE
"biais",12.41268076,3.781391904,NA,"biais",4.821428571,1.467009339,17.1,"ADJ",3,FALSE
"bible",8.428253615,1.945493828,NA,"bible",4.25,1.377732974,17.16,"NOM",4,FALSE
"biche",5.919911012,2.071828448,NA,"biche",3.821428571,1.611384761,8.04,"NOM",3,TRUE
"bien",4.627380952,1.813423764,NA,"bien",4.714285714,1.843047855,2628.58,"ADJ",3,FALSE
"bière",9.27919911,2.724638676,NA,"bière",4.25,1.294575578,35.34,"NOM",4,TRUE
"bile",11.65714286,2.774265979,NA,"bile",4.392857143,2.00627323,5.74,"NOM",3,FALSE
"bille",5.710789766,1.229564133,NA,"bille",3.928571429,1.358882205,8.58,"NOM",3,TRUE
"bip",8.58452381,3.952156403,NA,"bip",3.678571429,1.540888907,1.28,"NOM",3,FALSE
"bis",9.179087875,2.625761538,NA,"bis",3.5,1.261979632,3.38,"ADJ",3,TRUE
"bise",6.419354839,3.142151855,NA,"bise",4.642857143,1.66030532,10.61,"ADJ",3,TRUE
"blague",6.456062291,1.978377743,NA,"blague",4.321428571,1.415615857,17.7,"NOM",4,TRUE
"blâme",11.77641824,2.862061818,NA,"blâme",3.892857143,1.499117906,5.27,"NOM",4,FALSE
"blanc",5.419354839,7.367029135,NA,"blanc",5.25,1.205696356,211.76,"ADJ",3,TRUE
"blanche",4.56618465,1.628377384,NA,"blanche",4.25,1.377732974,154.46,"ADJ",5,TRUE
"blé",6.529477197,2.317302844,NA,"blé",4.357142857,1.311326321,23.24,"NOM",3,TRUE
"blême",12.35833333,2.51181118,NA,"blême",4.178571429,1.44154165,11.62,"ADJ",4,TRUE
"bleu",3.81868743,1.315744198,NA,"bleu",4.285714286,1.272418021,149.26,"ADJ",3,TRUE
"bloc",7.529477197,2.563180148,NA,"bloc",3.642857143,1.223664373,28.31,"NOM",4,TRUE
"blond",5.628571429,2.443852245,NA,"blond",5.071428571,1.412341671,29.66,"ADJ",3,TRUE
"blues",11.4538376,2.672037602,NA,"blues",3.714285714,1.242969648,5.68,"NOM",4,TRUE
"boeuf",6.458286986,1.716460474,NA,"boeuf",4.642857143,1.520581899,16.08,"ADJ",3,FALSE
"boire",3.957730812,1.892259274,NA,"boire",4.892857143,1.571488695,102.3,"NOM",4,FALSE
"bois",5.459399333,1.814517324,NA,"bois",4.785714286,1.343217333,308.99,"VER",3,TRUE
"boîte",4.711902113,1.539445508,NA,"boîte",5.535714286,1.318869967,94.32,"NOM",4,FALSE
"bol",4.319243604,1.806797202,NA,"bol",4.678571429,1.492042384,20.07,"NOM",3,TRUE
"bombe",7.707452725,2.364613679,NA,"bombe",4.357142857,1.161553421,15.74,"NOM",3,FALSE
"bon",4.320355951,1.553352254,NA,"bon",5.392857143,1.474205014,594.99,"ADJ",2,FALSE
"bond",7.312569522,2.279407582,NA,"bond",3.857142857,1.078898125,20.07,"NOM",2,FALSE
"bonne",6.175750834,2.586565789,NA,"bonne",5.821428571,1.415615857,338.52,"ADJ",3,FALSE
"borgne",10.34816463,2.426998678,NA,"borgne",3.428571429,1.259881577,5.34,"ADJ",4,TRUE
"borne",8.636262514,2.681277179,NA,"borne",4.321428571,1.678923187,9.26,"NOM",4,TRUE
"bosse",6.174638487,2.632305502,NA,"bosse",3.821428571,1.248808956,9.46,"NOM",3,TRUE
"botte",5.42269188,2.435401978,NA,"botte",3.821428571,1.123933945,9.66,"NOM",3,TRUE
"bouc",7.278086763,2.351389431,NA,"bouc",3.821428571,1.656716329,8.92,"NOM",3,TRUE
"bouche",3.854282536,1.542933946,NA,"bouche",4.285714286,1.383959506,272.1,"NOM",3,FALSE
"boucle",6.563959956,2.563180148,NA,"boucle",3.642857143,1.471061237,14.73,"NOM",4,FALSE
"boue",5.77753059,2.447293875,NA,"boue",4.535714286,1.598196735,52.3,"NOM",2,TRUE
"bouée",5.601779755,1.946598909,NA,"bouée",3.571428571,1.03381965,4.59,"NOM",3,TRUE
"boueux",7.42269188,2.542541274,NA,"boueux",3.5,0.962250449,5.95,"ADJ",3,FALSE
"bougre",11.64285714,3.393706142,NA,"bougre",3.214285714,1.031257516,9.25,"NOM",4,FALSE
"bouille",7.570634038,2.730551955,NA,"bouille",3.035714286,1.104943198,5.88,"NOM",3,FALSE
"boule",4.892102336,2.156261201,NA,"boule",3.607142857,1.100144291,38.92,"NOM",3,FALSE
"boum",7.383141762,3.165391671,NA,"boum",3.571428571,1.069044968,4.73,"NOM",3,TRUE
"bourg",9.620238095,3.253468529,NA,"bourg",3.928571429,1.331347728,13.85,"NOM",3,TRUE
"bourse",9.817575083,3.338597993,NA,"bourse",3.892857143,0.994029797,11.22,"NOM",4,FALSE
"bout",6.248053393,2.574481888,NA,"bout",3.785714286,1.44932022,381.36,"VER",2,TRUE
"box",11.43095238,3.310727947,NA,"box",3.928571429,1.358882205,4.05,"NOM",4,TRUE
"boxe",8.13570634,2.694877658,NA,"boxe",4.142857143,1.580302027,7.91,"NOM",4,TRUE
"braille",9.716351502,2.98562866,NA,"braille",3.035714286,0.83808171,3.17,"NOM",4,TRUE
"braise",8.355951057,2.385890425,NA,"braise",3.321428571,1.156417566,5.95,"NOM",4,TRUE
"branche",5.318131257,1.802029919,NA,"branche",3.5,1.03637545,25.2,"NOM",4,TRUE
"bras",4.21134594,1.707667717,NA,"bras",4.178571429,1.306779231,487.97,"NOM",3,FALSE
"brasse",6.772619048,1.920548293,NA,"brasse",3.785714286,1.315354983,NA,"NOM",4,FALSE
"brave",9.417130145,2.385439704,NA,"brave",4.25,1.578208079,27.02,"ADJ",4,TRUE
"break",11.56618465,3.138727912,NA,"break",3.535714286,0.999338405,1.96,"NOM",4,TRUE
"brèche",11.03214286,2.32453184,NA,"brèche",3.392857143,1.065947178,7.7,"NOM",4,TRUE
"bref",9.03003337,2.591549543,NA,"bref",4.75,1.755942292,74.59,"ADJ",4,FALSE
"brève",9.8091133,1.876087534,NA,"brève",3.642857143,1.520581899,21.09,"ADJ",4,FALSE
"bride",9.494252874,2.70285381,NA,"bride",4.428571429,1.814112811,9.26,"NOM",4,TRUE
"bridge",11.76500639,2.525242026,NA,"bridge",3.178571429,1.188013325,3.99,"NOM",5,TRUE
"brie",8.956349206,2.93198923,NA,"brie",3.071428571,0.71639899,NA,"NOM",3,TRUE
"brin",7.964404894,2.960674146,NA,"brin",3.357142857,1.471061237,13.99,"NOM",3,FALSE
"brique",6.926585095,2.232217664,NA,"brique",3.678571429,1.278122797,13.85,"ADJ",4,TRUE
"bris",10.9484127,2.884688644,NA,"bris",3.357142857,1.253566341,1.35,"NOM",3,TRUE
"brise",8.884315907,2.652651342,NA,"brise",3.107142857,0.916486274,16.96,"NOM",4,TRUE
"broche",8.066740823,2.143758131,NA,"broche",2.892857143,0.875141712,4.32,"NOM",4,TRUE
"bronche",9.994891443,2.559633594,NA,"bronche",3.357142857,1.061595086,1.96,"NOM",4,FALSE
"bronze",9.216666667,1.700574616,NA,"bronze",3.035714286,0.63724772,19.8,"ADJ",4,FALSE
"brosse",5.398809524,2.018591748,NA,"brosse",4.214285714,1.52405752,17.43,"NOM",4,TRUE
"brouille",10.11111111,2.693772495,NA,"brouille",3.214285714,1.343217333,4.8,"NOM",4,TRUE
"brousse",12.45050056,14.29437065,NA,"brousse",4.035714286,1.452511053,10.88,"NOM",4,TRUE
"bruit",4.747497219,1.423308277,NA,"bruit",4.178571429,1.492042384,224.73,"VER",4,FALSE
"brume",8.994438265,2.31079747,NA,"brume",3.535714286,1.400585667,35.88,"NOM",4,FALSE
"brun",6.952380952,2.643578209,NA,"brun",4.821428571,1.467009339,28.78,"ADJ",3,TRUE
"brunch",14.60444444,2.939562151,NA,"brunch",3.107142857,1.165532328,NA,"NOM",5,FALSE
"brune",6.63403782,2.666801072,NA,"brune",4.535714286,1.574851971,31.76,"ADJ",4,TRUE
"brusque",9.102335929,2.469600116,NA,"brusque",3.5,1.319371343,27.57,"ADJ",5,TRUE
"brut",9.852057842,2.783206165,NA,"brut",3.928571429,1.184109962,4.05,"ADJ",4,FALSE
"brute",8.24137931,2.529822128,NA,"brute",3.928571429,0.939998874,11.22,"ADJ",4,FALSE
"bûche",6.849833148,2.523864591,NA,"bûche",3.607142857,1.227441957,5.14,"NOM",3,TRUE
"buée",7.388209121,2.048865409,NA,"buée",4.071428571,1.08622934,13.11,"NOM",3,TRUE
"buffle",8.665183537,3.05716152,NA,"buffle",2.642857143,0.678466993,1.96,"NOM",4,FALSE
"bulbe",10.54171301,2.877424177,NA,"bulbe",2.928571429,0.662686532,1.01,"NOM",4,FALSE
"bulle",5.107897664,1.875134404,NA,"bulle",4.25,1.430488132,6.62,"NOM",3,FALSE
"bus",6.392658509,1.498386229,NA,"bus",5.642857143,1.253566341,14.05,"VER",2,TRUE
"buste",9.563959956,2.950123015,NA,"buste",3.107142857,0.956044541,21.62,"NOM",4,FALSE
"but",6.845238095,1.881549862,NA,"but",5.035714286,1.452511053,74.39,"NOM",2,TRUE
"butte",9.323809524,2.362542951,NA,"butte",3.071428571,1.08622934,5.41,"NOM",3,TRUE
"ça",4.677419355,1.992458901,NA,"ça",6.75,0.844371342,2483.65,"NOM",2,FALSE
"câble",9.744160178,2.012861869,NA,"câble",4.071428571,1.015749,2.97,"NOM",4,FALSE
"cache",5.142380423,2.291170523,NA,"cache",4.535714286,1.477789712,23.04,"NOM",3,FALSE
"cadre",7.854282536,2.667204247,NA,"cadre",4.321428571,1.278122797,30.27,"NOM",4,FALSE
"cage",6.133481646,2.232217664,NA,"cage",3.571428571,1.230133128,34.86,"NOM",3,FALSE
"caille",9.667408231,3.291892942,NA,"caille",3.142857143,1.112697281,3.98,"NOM",3,TRUE
"caisse",6.426028921,1.958713644,NA,"caisse",4.428571429,1.259881577,51.01,"NOM",3,TRUE
"cake",6.958843159,2.561501576,NA,"cake",3.821428571,1.055973184,1.69,"NOM",3,TRUE
"calme",5.857619577,2.140746528,NA,"calme",5.142857143,1.177388375,128.11,"ADJ",4,FALSE
"calque",8.174638487,1.82456358,NA,"calque",3.392857143,0.875141712,0.68,"NOM",4,FALSE
"camp",7.625,2.542738139,NA,"camp",3.75,1.1426091,75.61,"NOM",2,FALSE
"cancre",11.52169077,14.55046834,NA,"cancre",2.928571429,0.662686532,2.5,"NOM",4,FALSE
"canne",6.42269188,2.06507049,NA,"canne",3.464285714,1.137969044,27.36,"NOM",3,TRUE
"cap",9.178571429,2.690981106,NA,"cap",3.428571429,1.199647214,15.68,"NOM",3,FALSE
"cape",6.494994438,2.090428777,NA,"cape",3.25,1.265642861,10.34,"NOM",3,FALSE
"câpre",12.06878307,3.296623252,NA,"câpre",2.607142857,1.13330999,NA,"NOM",4,FALSE
"car",6.31701891,2.242310636,NA,"car",5.535714286,1.527092198,485.2,"CON",3,TRUE
"carpe",8.560622914,3.539941072,NA,"carpe",2.714285714,0.854493259,2.77,"NOM",4,TRUE
"carte",5.959955506,1.593670275,NA,"carte",4.678571429,1.415615857,60.95,"NOM",4,FALSE
"cas",7.636262514,2.766932232,NA,"cas",5.928571429,1.331347728,217.36,"NOM",2,FALSE
"case",6.561735261,2.383184821,NA,"case",4.071428571,1.11980724,10.07,"NOM",3,TRUE
"cash",12.23804227,1.955417069,NA,"cash",3.607142857,1.196887498,0.68,"ADV",3,TRUE
"casque",6.67185762,2.321938382,NA,"casque",3.892857143,0.875141712,22.36,"NOM",4,FALSE
"casse",6.140155729,2.379572565,NA,"casse",4.642857143,1.44566493,21.89,"NOM",3,TRUE
"cause",8.066740823,3.054346454,NA,"cause",5.535714286,1.318869967,200.81,"NOM",3,TRUE
"cave",6.847608454,2.75407811,NA,"cave",3.571428571,0.835710894,45.74,"ADJ",3,FALSE
"ce",5.107897664,1.765256081,NA,"ce",6.714285714,0.809990528,5395.13,"ADJ",2,FALSE
"cèdre",11.15247253,2.687173137,NA,"cèdre",2.821428571,1.278122797,2.16,"NOM",4,FALSE
"celle",6.957730812,2.512763119,NA,"celle",6.071428571,1.537881454,299.46,"NOM",3,FALSE
"celte",11.13904338,2.822337931,NA,"celte",2.714285714,0.896790279,0.88,"ADJ",4,FALSE
"cendre",7.244716352,2.385439704,NA,"cendre",3.964285714,1.400585667,11.08,"NOM",4,FALSE
"cent",6.284760845,1.153768952,NA,"cent",4.964285714,1.477789712,157.1,"ADJ",2,TRUE
"centre",7.062291435,1.922140384,NA,"centre",4.75,1.377732974,80.68,"NOM",4,TRUE
"cèpe",8.670745273,3.315003365,NA,"cèpe",3.107142857,0.685256682,0.27,"NOM",3,TRUE
"cercle",6.034482759,1.751190072,NA,"cercle",4.142857143,1.297127474,42.5,"NOM",5,FALSE
"cerf",6.383759733,2.276575432,NA,"cerf",3.071428571,1.015749,20.27,"NOM",3,FALSE
"certes",11.37708565,3.25510352,NA,"certes",5.571428571,1.451144412,69.66,"ADV",4,FALSE
"cesse",8.210233593,2.270900537,NA,"cesse",4.321428571,1.44154165,96.55,"NOM",3,FALSE
"chaîne",7.600667408,2.617558577,NA,"chaîne",4.785714286,1.286889528,43.24,"NOM",3,FALSE
"chair",8.707452725,2.767320819,NA,"chair",3.714285714,1.383959506,95.61,"ADJ",3,TRUE
