age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,"‘what has been certified’, ultimately from cernere ‘to sift’.",92181432483936083-1,{},96,,certificātum,69810,
,,,,blame,92181432822353534-1,{},123,,blâme,66358,
,,,,"‘to blame’, literally ‘to speak offensively of’",92181432685874826-1,{},147,,blasphēmein,69709,
,,,,blanket,92181432901006826-1,{},124,,blankete,66169,
,,,,white,92181432463286534-1,{},99,,blank,69592,
,,,,"shine, glitter",92181432463391143-1,{},12,,blenken,66073,
,,,,swelling,92181432983988380-1,{},124,,blestre,66090,
,,,,blue,92181432966758447-1,{},125,,blue,66331,
,,,,blue,92181432770457263-1,{},99,,*blǽwaz,69689,
,,,,to boil,92181432783437688-1,{},124,,boillir,66094,
,,,,to boil,92181432529942312-1,{},96,,bullire,69533,
,,,,bomb,92181432120679002-1,{},123,,bombe,67853,
,,,,humming,92181432979465357-1,{},147,,bómbos,69826,
,,,,throwing stick,92181432808290690-1,{},107,,womurrang,66222,
,,,,boot,92181432390770694-1,{},125,,bote,68298,
,,,,plunder,92181432954239239-1,{},123,,butin,66441,
,,,,plunder,92181432499395954-1,{},135,,Beute,69774,
,,,,bottle,92181432480554337-1,{},125,,botaille,66501,
,,,,"butt, cask",92181432913770829-1,{},96,,buttis,69818,
,,,,bound,92181432482271445-1,{},124,,"bodne, borne",66401,
,,,,bracelet,92181432796588481-1,{},124,,bracelet,66140,
,,,,adornment for the arm,92181432769707805-1,{},96,,bracchiāle,69569,
,,,,"salty, brackish",92181432455608033-1,{},12,,brak,66326,
,,,,"salty, brackish",92181432455608033-2,{},140,,brak,66327,
,,,,to brake,9218143266085049-1,{},123,,braquer,66485,
,,,,nosering for a draught ox,92181432130774007-1,{},212,,bracke,69802,
,,,,branch,92181432343374378-1,{},123,,branche,66180,
,,,,‘animal’s paw’,92181432119995089-1,{},96,,branca,69600,
,,,,brave,92181432859370010-1,{},123,,brave,66350,
,,,,"bold, wild",92181432315698155-1,{},169,,bravo,69702,
,,,,brick,92181432862289171-1,{},123,,brique,60712,
,,,,brick,92181432368992394-1,{},12,,bricke,69587,
,,,,brick,92181432368992394-2,{},140,,bricke,69588,
,,,,brush,92181432676961651-1,{},123,,brosse,60704,
,,,,excrescence on maple,9218143294321032-1,{},96,,bruscum,69573,
,,,,buffalo,92181432650463743-1,{},274,,búfalo,66046,
,,,,"‘antelope, wild ox’ (phonological shape suggests a borrowing from Oscan)",92181432170631878-1,{},96,,*būfalus,69511,
,,,,for all,92181432754843861-1,{},96,,omnibus,68274,
,,,,butter,92181432499598438-1,{},96,,butyrum,66119,
,,,,"‘butter’, literally ‘cow cheese’",92181432724428837-1,{},147,,boútūron,69553,
,,,,"bud, knob",9218143257245204-1,{},123,,boton,66137,
,,,,to thrust,92181432979859793-1,{},194,,*bottāre,69566,
,,,,calendar,92181432579125777-1,{},123,,calendier,66503,
,,,,days on which accounts were due,9218143240375802-1,{},96,,calendae,69820,
,,,,calf of leg,92181432814655875-1,{},257,,kálfi,66078,
,,,,to call,92181432335272191-1,{},257,,kalla,66395,
,,,,calm,92181432627430117-1,{},123,,calme,66913,
,,,,heat of the day,92181432815354791-1,{},147,,kaúma,69471,
,,,,camel,92181432494591587-1,{},96,,camēlus,66017,
,,,,camel,92181432234179321-1,{},297,,gāmal,69497,
,,,,"a plain, piece of flat land",92181432944752659-1,{},96,,campus,66165,
,,,,candle,9218143220743565-1,{},96,,candella,66157,
,,,,the canoe,92181432942713909-1,{},115,,canoa,63647,
,,,,canoe,92181432311508862-1,{},337,,kanawa,69641,
,,,,head-covering,92181432579630329-1,{},96,,cappa,66134,
,,,,cape,92181432822765579-1,{},123,,cap,66917,
,,,,head,92181432842414064-1,{},96,,caput,69880,
,,,,"captive, prisoner of war",9218143283928017-1,{},123,,captif,66440,
,,,,‘prisoner’ (capere ‘to seize’),92181432768224129-1,{},96,,captīvus,69773,
,,,,wagon,92181432999557061-1,{},124,,carre,66482,
,,,,wagon,92181432680557211-1,{},80,,*karros,69800,
,,,,carcass,92181432233921023-1,{},124,,carcois,66086,
,,,,carcass,92181432163713219-1,{},169,,carcassa,69528,
,,,,caribou,9218143259968749-1,{},123,,caribou,66043,
,,,,caribou,92181432597762043-1,{},217,,qalipu,69509,
,,,,carpenter,9218143270125800-1,{},124,,carpentier,66211,
,,,,"carpenter, maker of wagons",9218143211858287-1,{},194,,*carpentārius,69619,
,,,,"carpet, cloth",92181432977402353-1,{},213,,carpite,66227,
,,,,#rough cloth for covering surfaces’,92181432181069266-1,{},96,,carpita,69628,
,,,,to carry,92181432759491718-1,{},124,,carier,66240,
,,,,wagon,92181432389062452-1,{},257,,kartr,66242,
,,,,cassava,92181432811484340-1,{},123,,cassave,66191,
,,,,cassavo,92181432240954872-1,{},337,,casavi,68260,
,,,,to throw,92181432711006888-1,{},257,,kasta,66214,
,,,,castle,92181432733093019-1,{},124,,castel,66432,
,,,,little camp,9218143285158377-1,{},96,,castellum,69767,
,,,,to chase,92181432564106507-1,{},124,,cachier,66249,
,,,,to lie in wait for,92181432678457203-1,{},96,,*captiāre,69640,
,,,,property,92181432139453309-1,{},124,,catel,66005,
,,,,property,92181432897166260-1,{},96,,capitāle,69489,
,,,,cause,92181432287980578-1,{},123,,cause,67624,
,,,,cause,936172888773387-1,{},96,,causa,74376,
,,,,cave,92181432107993610-1,{},123,,cave,65966,
,,,,empty,9218143221997063-1,{},96,,cāva,69463,
,,,,to cease,92181432343727762-1,{},123,,cesser,66316,
,,,,to cease,92181432153880797-1,{},96,,cessāre,69681,
,,,,hundred-feet’,92181432787955205-1,{},96,,centipeda,66035,
,,,,certain,92181432980168661-1,{},123,,certain,66370,
,,,,‘certain’ (from cernere ‘to sift’ via p.pt certus),92181432194148008-1,{},96,,*certānus,69719,
,,,,chain,92181432189753656-1,{},123,,chaîne,66202,
,,,,chain,9218143282135590-1,{},96,,catēna,69617,
,,,,chair,92181432989615666-1,{},125,,chaire,66155,
,,,,"‘chair’, literally ‘down-sitter’",92181432858499200-1,{},147,,kathédra,69582,
,,,,chameleon,92181432664892718-1,{},96,,chamaeleon,66045,
,,,,"‘chameleon’, literally ‘ground-lion’",92181432892449578-1,{},147,,khamailéōn,69510,
,,,,to change,92181432144150563-1,{},123,,changer,66305,
,,,,"‘to change’, possibly from Greek kampein ‘to bend back’",92181432993863260-1,{},96,,cambiāre,69672,
,,,,to hunt,92181432182220728-1,{},124,,chacier,66236,
,,,,to hunt,92181432647999588-1,{},194,,*captiāre,69634,
,,,,tradesman,92181432941252944-1,{},96,,caupō,66282,
,,,,cheese,92181432903499186-1,{},96,,cāseus,66118,
,,,,box,92181432499421764-1,{},96,,cista,66047,
,,,,box,92181432723959316-1,{},147,,kistē,69512,
,,,,chief,92181432396035571-1,{},124,,chevetain,66404,
,,,,"captain, head",92181432616390128-1,{},96,,capitānus,69743,
,,,,chili pepper,9218143271932677-1,{},115,,chile,66126,
,,,,chili pepper,9218143284656976-1,{},230,,chilli,69558,
,,,,fireplace,92181432258960590-1,{},123,,cheminée,66154,
,,,,provided with a fireplace,92181432120913857-1,{},194,,caminata,69581,
,,,,chisel,92181432261937300-1,{},124,,chisel,66221,
,,,,scissors,92181432349160320-1,{},194,,*cisellium,69625,
,,,,‘the Lord’s’ (s.c. oikon ‘house’),92181432710831898-1,{},147,,kuriakon,66477,
,,,,cigarette,92181432617140389-1,{},123,,cigarette,68090,
,,,,cigar,92181432348139406-1,{},115,,cigarro,68910,
,,,,little ring,9218143224215522-1,{},96,,circulus,66302,
,,,,to cut around,92181432433986079-1,{},96,,circumcīdere,66463,
,,,,citizen,92181432545299207-1,{},124,,citezein,66407,
,,,,someone belonging to a city,92181432723584354-1,{},194,,*cīvitātānus,69747,
,,,,citrus genus,9218143262404452-1,{},96,,citrus,66186,
