age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,"‘place of strength’, from fortis ‘strong’",92181432780459469-1,{},96,,*fortaritia,69766,
,,,,sweet-smelling,92181432502196425-1,{},96,,"fragran-s, -tem",66324,
,,,,fruit,92181432435160291-1,{},96,,fructus,68312,
,,,,fruit,9218143252656862-1,{},123,,fruit,69413,
,,,,to fry,92181432771180081-1,{},123,,frire,66096,
,,,,to roast,92181432842503898-1,{},96,,frigere,69535,
,,,,to encase,92181432539716884-1,{},123,,forrer,66129,
,,,,garden,92181432141668612-1,{},124,,gardin,66171,
,,,,"yard, garden",92181432956692702-1,{},290,,*gardan-,69594,
,,,,to obtain,92181432260599223-1,{},257,,geta,66254,
,,,,gill,9218143246519117-1,{},257,,gil,66031,
,,,,to give,92181432963114427-1,{},257,,giva,66255,
,,,,"glue, birdlime",921814322555460-1,{},123,,glu,66212,
,,,,#glue’,92181432998514419-1,{},96,,glūten,69620,
,,,,goitre,92181432538536074-1,{},123,,goître,66088,
,,,,throat,92181432142528657-1,{},96,,guttur,69529,
,,,,,92181432920898396-1,{},360,,Unidentifiable,74758,
,,,,good fortune,92181432648276101-1,{},12,,(ge)luk,66339,
,,,,gourde,92181432656393152-1,{},123,,gourde,66192,
,,,,gourd,92181432959380286-1,{},96,,cucurbita,69610,
,,,,to govern,92181432488425809-1,{},123,,gouverner,67689,
,,,,to steer a ship,92181432367135142-1,{},147,,kubernān,69745,
,,,,government,92181432849507492-1,{},123,,gouvernement,60849,
,,,,grain,92181432562861427-1,{},123,,grain,66177,
,,,,"grain, corn",92181432755625989-1,{},96,,grānum,69597,
,,,,big,92181432156072712-1,{},123,,grand,65986,
,,,,big,92181432224533450-1,{},96,,grandis,69475,
,,,,large + parent,92181432817951108-1,{},96,,grandis + parens,66004,
,,,,bunch of grapes,9218143264806524-1,{},125,,grappe,66115,
,,,,"‘to grapple with’, ‘to grab’",92181432978292212-1,{},99,,*krappōn,69550,
,,,,"fat, grease",92181432470653143-1,{},123,,graisse,66125,
,,,,fat,92181432438183955-1,{},96,,crassus,69557,
,,,,"heavy burden, weight",92181432464689675-1,{},124,,grief,66342,
,,,,to weigh heavily,92181432252454282-1,{},96,,*grevāre,69697,
,,,,guard,92181432279728877-1,{},123,,garde,66445,
,,,,to protect,92181432891603358-1,{},122,,wardōn,69776,
,,,,(female name),92181432480258733-1,{},257,,Gunhild,69764,
,,,,hammock,92181432602338484-1,{},337,,hamaka,68289,
,,,,hammock,92181432248095482-1,{},115,,hamaca,70925,
,,,,head-covering,92181432328992709-1,{},124,,courchief,66144,
,,,,‘to cover’ + ‘head’,92181432579728704-1,{},96,,cooperīre + caput,69571,
,,,,good luck,92181432276705236-1,{},257,,happ,66340,
,,,,band,92181432320888545-1,{},123,,bande,66142,
,,,,to tie,9218143280546956-1,{},99,,*bindōn,69570,
,,,,heron,92181432718819191-1,{},124,,hairon,66022,
,,,,heron,92181432441828856-1,{},290,,*xaigaran,69500,
,,,,to strike,92181432807882968-1,{},257,,hitta,66203,
,,,,place of welcome,92181432767191591-1,{},96,,hospitāle,66479,
,,,,"host, guest",92181432483475405-1,{},125,,hoste,66416,
,,,,someone who gives someone lodgings,92181432655516741-1,{},96,,hospes,69755,
,,,,hour,921814323516902-1,{},124,,ure,66318,
,,,,hour,92181432554232718-1,{},147,,hōra,69682,
,,,,to jostle,9218143290642681-1,{},124,,hurter,66261,
,,,,house-builder,92181432868814798-1,{},257,,húsbondi,65990,
,,,,hut,92181432662686001-1,{},123,,hutte,66150,
,,,,"‘dwelling’, related to “to hide”",92181432196846579-1,{},290,,*hudjā,69579,
,,,,archetype,92181432324840421-1,{},96,,idea,66364,
,,,,archetype,92181432537564449-1,{},147,,idéā,69712,
,,,,idol,92181432213260127-1,{},124,,idele,66472,
,,,,"‘idol’, from eídos ‘image’",92181432464219828-1,{},147,,eidōlon,69795,
,,,,"evil, bad",92181432702814857-1,{},257,,illr,66059,
,,,,to copy,92181432952647930-1,{},96,,imitārī,66381,
,,,,"‘immediate’, ‘with no middle stage’",92181432109630049-1,{},96,,immediātus,66314,
,,,,forehead,92181432940469736-1,{},123,,front,66294,
,,,,forehead,92181432208723190-1,{},96,,"frōns, frontis",69666,
,,,,to throw in,92181432349590574-1,{},96,,"iniectiō, iniicere",66490,
,,,,"‘to damage’, also ‘to curse’",9218143291073565-1,{},123,,injurer,66260,
,,,,"‘damage’, (literally) ‘what is in conflict with one’s right’",92181432360568020-1,{},96,,iniūria,69646,
,,,,not harmful,92181432998831518-1,{},96,,"innocen-s, -tem",66455,
,,,,indented,9218143296497472-1,{},96,,insectum,69899,
,,,,intention,92181432411615276-1,{},124,,intencion,66373,
,,,,to stretch out,92181432500472548-1,{},96,,intendere,69721,
,,,,intestines,9218143276589200-1,{},96,,intestīnum,66082,
,,,,to invite,92181432961117881-1,{},123,,inviter,66422,
,,,,to invite,9218143214130379-1,{},96,,invītāre,69759,
,,,,,92181432607271920-1,{},360,,Unidentifiable,74760,
,,,,jaguar,92181432492376753-1,{},353,,jaguara,66007,
,,,,cheek,92181432813240664-1,{},125,,joe,66072,
,,,,jealous,921814325110398-1,{},123,,jaloux,66348,
,,,,zeal,92181432983116857-1,{},147,,zēlos,69700,
,,,,jewel,92181432305811796-1,{},124,,juel,66139,
,,,,little joy-bringer,92181432677585637-1,{},194,,*gaudiellum,69568,
,,,,to join,9218143241332355-1,{},123,,joindre,66290,
,,,,to join together,92181432356847883-1,{},96,,iungere,69663,
,,,,judge,92181432536602176-1,{},123,,juge,66760,
,,,,judge,92181432862892391-1,{},96,,iūdex,69779,
,,,,judgment,92181432458927787-1,{},123,,jugement,66449,
,,,,judgment,92181432128649928-1,{},96,,iūdicāmentum,69778,
,,,,"large black kangaroo, a specific type of kangaroo from Northern Queensland",92181432829372534-1,{},150,,gaŋurru,69317,
,,,,pot,92181432954385662-1,{},96,,catillus,66816,
,,,,‘kitchen’ (coquere ‘to cook’),92181432866644467-1,{},96,,*cocīna,66151,
,,,,knife,92181432160563444-1,{},257,,knifr,68243,
,,,,the lagoon,92181432929718897-1,{},115,,laguna,61040,
,,,,gap,92181432921065266-1,{},96,,lacūna,69472,
,,,,lake,92181432749690496-1,{},96,,lacus,69464,
,,,,lake,92181432919081931-1,{},123,,lac,72758,
,,,,lamp,92181432419144283-1,{},123,,lampe,69003,
,,,,lamp,92181432444577694-1,{},147,,"lampá-s, -dos",69583,
,,,,language,9218143263315609-1,{},123,,langage,66389,
,,,,tongue,92181432921505736-1,{},96,,lingua,69729,
,,,,broad,9218143271298461-1,{},123,,large,66296,
,,,,lasso,92181432775224258-1,{},115,,lazo,60923,
,,,,"tie, string",92181432731460016-1,{},96,,laqueus,70081,
,,,,lace,9218143235890362-1,{},124,,lache,66167,
,,,,"noose, latch, lace",92181432550001652-1,{},194,,*lacium,69591,
,,,,law,92181432951495972-1,{},257,,lagu,66446,
,,,,lazy,92181432731036411-1,{},140,,lasich,66064,
,,,,leg,92181432922490540-1,{},257,,legg-r,66049,
,,,,lemon,92181432322721953-1,{},123,,limon,66187,
,,,,lemon,92181432417596969-1,{},53,,laimūn,69605,
,,,,letter,92181432332172980-1,{},123,,lettre,66498,
,,,,"‘letter’, literally ‘letters of the alphabet’",92181432670212439-1,{},96,,litterae,69813,
,,,,to set free,92181432940138154-1,{},96,,liberāre,66421,
,,,,"to lift, raise",92181432136928448-1,{},257,,lypta,66232,
,,,,line,92181432305597021-1,{},123,,ligne,66304,
,,,,line,92181432951816007-1,{},96,,līnea,69670,
,,,,lion,92181432856873685-1,{},96,,leō,66015,
,,,,lion,92181432600378192-1,{},147,,leōn,68292,
,,,,lizard,92181432292201053-1,{},124,,lezard,66018,
,,,,lizard,9218143266385247-1,{},96,,lacertus,69498,
,,,,low,9218143297426832-1,{},257,,lágr,65982,
,,,,machine,92181432514764688-1,{},123,,machine,60528,
,,,,machine,92181432224240809-1,{},147,,mēkhanḗ,72597,
,,,,magic,92181432602853857-1,{},123,,magique,66473,
,,,,magician,92181432558779468-1,{},258,,maguš,69796,
,,,,maize,92181432772965582-1,{},115,,maiz,66178,
,,,,maize,92181432408929417-1,{},337,,mahis/mahici,69598,
,,,,male,92181432728809824-1,{},124,,male,65987,
,,,,male,92181432909823784-1,{},96,,masculus,69893,
,,,,manioc,92181432156180753-1,{},123,,manioc,67307,
,,,,cassava,92181432976544351-1,{},353,,manioka,69609,
,,,,skill,92181432435919277-1,{},124,,manere,66379,
,,,,‘one who works by hand’ (manus),92181432838345138-1,{},96,,manuārius,69726,
,,,,market,92181432796306769-1,{},96,,mercātus,66277,
,,,,to marry someone,92181432489163860-1,{},123,,marier,65991,
,,,,to marry,92181432822358034-1,{},96,,maritāre,69477,
,,,,mason,92181432177176503-1,{},124,,macium,66162,
,,,,mason,92181432638304713-1,{},194,,"*matiō, -nem",69586,
,,,,‘master’ (magnus ‘big’),92181432961661065-1,{},96,,magister,66408,
,,,,mat,92181432669345207-1,{},194,,matta,66843,
,,,,woven material,92181432627084587-1,{},271,,maţţa,69624,
,,,,wick,92181432300213475-1,{},123,,mèche,65975,
,,,,spout of lamp,92181432960428990-1,{},147,,múxā,69469,
,,,,mattress,92181432144649336-1,{},124,,materas,66500,
,,,,‘to throw’ (noun: maţraħ),92181432686096057-1,{},53,,ţaraħa,69817,
,,,,to measure,92181432281760336-1,{},124,,mesurer,66295,
,,,,to measure,92181432377608519-1,{},194,,mēnsūrāre,69667,
,,,,medicine,92181432933363459-1,{},125,,medicine,66062,
,,,,medicine,92181432568779126-1,{},96,,medicīna,69515,
,,,,.merchant’,92181432608365821-1,{},124,,marchand,66276,
,,,,"to trade, buy",92181432109710228-1,{},96,,mercārī,69655,
,,,,mill,92181432373609952-1,{},194,,molīna,66109,
,,,,millet,92181432398399442-1,{},123,,millet,66197,
,,,,millet,92181432622794314-1,{},96,,milium,69613,
,,,,attendant,9218143295289903-1,{},124,,menestre,66492,
,,,,"‘attendant’, from minus ‘less’",92181432244519114-1,{},96,,minister,69807,
,,,,;mirror’,92181432136074197-1,{},123,,miroir,66148,
,,,,to gaze in wonder at,92181432801377653-1,{},96,,mīrārī,69576,
,,,,to take,92181432300632269-1,{},257,,taka,66253,
,,,,mixed,9218143285066244-1,{},123,,mixte,66106,
,,,,to mix,92181432492654819-1,{},96,,miscere,69543,
,,,,grinding,92181432741618731-1,{},96,,molaris,69950,
,,,,"money, coin",9218143234815602-1,{},124,,monai,66263,
,,,,‘mint’; designation of a goddess,92181432656684537-1,{},96,,monēta,69648,
,,,,deer,9218143259881293-1,{},113,,mos,66044,
,,,,mortar,92181432310980874-1,{},123,,mortier,66110,
,,,,mortar,92181432737489593-1,{},124,,mortier,66163,
,,,,mortar,92181432757239554-1,{},96,,mortarium,68258,
,,,,mosque,92181432701377758-1,{},213,,meseache,66478,
,,,,mosque,92181432860837598-1,{},53,,masjid,69320,
,,,,little fly,92181432793988206-1,{},115,,mosquito,66036,
,,,,mover,92181432651944171-1,{},96,,motor,68074,
,,,,shape,92181432422147533-1,{},124,,modle,66217,
,,,,shape,92181432312560023-1,{},96,,modulus,69623,
,,,,mountain,92181432664143520-1,{},123,,montagne,65961,
,,,,‘mountain’; ‘hilly’,92181432751034727-1,{},96,,mons; montānus,69460,
,,,,to move,92181432890121566-1,{},124,,mover,66228,
,,,,to move,92181432604326387-1,{},96,,movēre,69629,
,,,,bog,92181432837392780-1,{},12,,modde,65977,
,,,,mule,92181432293450726-1,{},124,,mul,66013,
,,,,mule,92181432222426287-1,{},96,,mūlus,69494,
,,,,to mumble,92181432739955143-1,{},12,,mummelen,66385,
,,,,to mumble,92181432739955143-2,{},140,,mummelen,66386,
,,,,mushroom,92181432526064979-1,{},124,,muserun,66194,
,,,,mushroom,92181432419880897-1,{},194,,mussirio,69612,
,,,,music,92181432709629604-1,{},124,,musique,66504,
,,,,of the Muses,92181432183109358-1,{},147,,mousikē,69821,
,,,,mute,92181432606645489-1,{},123,,muet,66065,
,,,,mute,92181432246649226-1,{},96,,mūtus,69517,
,,,,duty,9218143283311663-1,{},124,,necessite,66376,
,,,,"‘necessity, duty’ (necesse ‘is needed’)",92181432913855016-1,{},96,,"necessi-tās, -tātem",69723,
,,,,noose,92181432435773334-1,{},124,,laz,66141,
,,,,nephew,92181432230032605-1,{},123,,neveu,65996,
,,,,grandson,92181432161951686-1,{},96,,"nepō-s, -tem",69481,
,,,,niece,92181432724328643-1,{},124,,nice,65997,
,,,,granddaughter,9218143299915675-1,{},194,,neptia,69482,
,,,,noble,92181432281417558-1,{},124,,noble,66406,
,,,,"noble, important to know",92181432880525968-1,{},96,,nōbilis,69746,
,,,,‘ninth’ (hour),92181432820314680-1,{},96,,nōna,66317,
,,,,number,92181432745965242-1,{},123,,nombre,66497,
,,,,number,92181432720228653-1,{},96,,numerus,72598,
,,,,nursemaid,92181432123725934-1,{},124,,nourice,66486,
,,,,nursemaid,92181432455844758-1,{},96,,nūtrīcia,69803,
,,,,to obey,92181432739495604-1,{},123,,obéir,66412,
,,,,to obey,92181432692513162-1,{},96,,obædīre < ob-audīre,69751,
,,,,dark,92181432228769038-1,{},125,,oscur,66368,
,,,,dark,9218143268969838-1,{},96,,obscūrus,69717,
,,,,ocean,92181432832188567-1,{},213,,ocean,65979,
,,,,ocean,9218143284528640-1,{},147,,okeanos,69878,
,,,,oil,92181432630295599-1,{},96,,oleum,72139,
,,,,ointment,92181432894906856-1,{},124,,oinement,66147,
,,,,to smear,92181432343883895-1,{},96,,unguere,69575,
,,,,olive,92181432790483096-1,{},96,,olīva,66116,
,,,,olive,9218143222953673-1,{},147,,elaiá,69551,
,,,,something which foreshadows an event,92181432284810520-1,{},96,,ōmen,66476,
,,,,opossum,92181432781344808-1,{},48,,opassom,66029,
,,,,orange,92181432434180906-1,{},124,,orenge,66188,
,,,,orange,92181432973519980-1,{},339,,nāram,69606,
,,,,"to order, to command",92181432285895761-1,{},123,,ordonner,67697,
,,,,to put in order; an order,92181432127712379-1,{},96,,"ordināre; ordō, -nem",69749,
,,,,adornment,92181432668829795-1,{},124,,ornament,66138,
,,,,‘adornment’ (ornare ‘to adorn’),92181432396470485-1,{},96,,ōrnāmentum,69567,
,,,,orphan,92181432212397719-1,{},96,,orphanus,66001,
,,,,"deprived, orphaned",92181432785087760-1,{},147,,orphanós,69486,
,,,,,92181432155824210-1,{},360,,Unidentifiable,74762,
,,,,scraper shaped like a hoe,9218143271653704-1,{},194,,padela,66252,
,,,,‘rice in the field’ from Proto-Austronesian *pajey,9218143260144290-1,{},202,,padi,66195,
,,,,pain,92181432208191449-1,{},123,,peine,66341,
,,,,pain,92181432460582446-1,{},147,,poinē,69696,
,,,,paint,92181432375771132-1,{},124,,peint,66223,
,,,,to paint,92181432130560296-1,{},124,,peindre,66224,
,,,,to paint,92181432964310339-1,{},96,,pingere,69626,
,,,,pair,92181432833411298-1,{},124,,paire,66310,
,,,,equal,92181432361005747-1,{},96,,par,69676,
,,,,palm,92181432421339578-1,{},123,,paume,66077,
,,,,palm tree; palm of the hand,92181432485255657-1,{},96,,palma,68033,
,,,,pan,92181432612998379-1,{},196,,panna,66817,
,,,,shallow dish,92181432899127855-1,{},147,,patánē,69537,
,,,,paper,92181432489174121-1,{},124,,papir,66287,
,,,,paper,92181432181101584-1,{},147,,pápūros,69735,
,,,,to forgive,92181432437062898-1,{},123,,pardonner,66356,
,,,,to forgive,92181432680078076-1,{},96,,perdonāre,69707,
,,,,parent,92181432459186716-1,{},123,,parent,65992,
,,,,one who produces a child,92181432857414309-1,{},96,,"paren-s, -tem",69478,
,,,,part,92181432666145829-1,{},96,,"par-s, -tem",66308,
,,,,pasture,92181432324654487-1,{},124,,pastour,66010,
,,,,feeding animals,92181432265706196-1,{},96,,pastura,69491,
,,,,,92181432199593533-1,{},360,,Unidentifiable,74761,
,,,,to pay,9218143239544149-1,{},124,,paier,66269,
,,,,"to pay, pacify",92181432376726245-1,{},96,,pācāre,69651,
,,,,peace,92181432335487268-1,{},124,,pes,66425,
,,,,peace,92181432423579083-1,{},96,,"pax, -cem",69761,
,,,,to strip away,92181432229971187-1,{},96,,pilāre,66103,
,,,,peg,92181432167540695-1,{},212,,pegge,66225,
,,,,feather,92181432370468856-1,{},96,,penna,68303,
,,,,brush,92181432660912441-1,{},96,,pēnis,66084,
,,,,people,9218143210109988-1,{},124,,people,66402,
,,,,people,92181432804935788-1,{},96,,populus,69742,
,,,,pepper,9218143239162545-1,{},96,,piper,66821,
,,,,pepper,9218143294427268-1,{},251,,pippah,69552,
,,,,perjury,92181432184397214-1,{},124,,perjurie,66462,
,,,,false oath,92181432187390652-1,{},96,,periūrium,69789,
,,,,person,92181432958065641-1,{},213,,persone,65985,
,,,,"‘face’, by extension ‘mask’",92181432708951559-1,{},147,,prósōpon,69474,
,,,,pestle,92181432412594374-1,{},125,,pestel,66111,
,,,,pestle,92181432236971461-1,{},96,,pistillum,69546,
,,,,"‘petroleum’, literally ‘stone-oil’",9218143262832297-1,{},194,,petroleum,66507,
,,,,piece,92181432510971789-1,{},124,,peece,66312,
,,,,"‘piece’, possibly from Gaulish Celtic",92181432199920244-1,{},194,,pecia,69678,
,,,,the battery,92181432719291880-1,{},123,,pile,63477,
,,,,a pier,9218143295571712-1,{},96,,pīla,69673,
,,,,pill,92181432658618054-1,{},12,,pille,66487,
,,,,pill,92181432658618054-2,{},140,,pille,66488,
,,,,little ball,92181432294179476-1,{},96,,pilula,69804,
,,,,cushion,92181432452449701-1,{},96,,pulvīnus,66168,
,,,,pin,92181432334842753-1,{},96,,pinna,70476,
,,,,to pinch,92181432446405242-1,{},124,,*pinchier,66334,
,,,,to pinch,92181432272543705-1,{},194,,*pinctiāre,69691,
,,,,pine,92181432878776664-1,{},96,,pīnus,66182,
,,,,pipe,92181432556427673-1,{},194,,pīpa,66196,
,,,,to urinate,9218143255599408-1,{},123,,pisser,66052,
,,,,a pickaxe,92181432496173474-1,{},123,,pic,66175,
,,,,pick,92181432249793104-1,{},99,,*pikka,69596,
,,,,kindness,9218143221781690-1,{},124,,pite,66344,
,,,,‘piety’ from pius,92181432349167766-1,{},96,,"pietā-s, -tem",69698,
,,,,place,92181432521507142-1,{},96,,platea,66284,
,,,,square,92181432561849240-1,{},147,,plateía,69659,
,,,,plain,9218143239256005-1,{},123,,plain,65962,
,,,,flat,92181432327986556-1,{},96,,plānus,69461,
,,,,plaintiff,92181432597369140-1,{},124,,plaintif,66450,
,,,,lamentation,92181432868258922-1,{},96,,planctus,69780,
,,,,braid,92181432732994817-1,{},124,,pleit,66149,
,,,,something folded,92181432642839379-1,{},194,,*plictum,69578,
,,,,to plant,92181432343194499-1,{},96,,plantare,70015,
,,,,"plastic, something which can be moulded",9218143274791496-1,{},169,,plastica,66502,
,,,,to mould,92181432181021622-1,{},147,,plássein,69819,
,,,,plate,92181432673072969-1,{},124,,plat,66098,
,,,,flat,92181432284539864-1,{},194,,plattus,69539,
,,,,flat,92181432974816671-1,{},123,,plat,67483,
,,,,flat,92181432154905243-1,{},96,,plattus,69758,
,,,,little bag,92181432114702903-1,{},124,,pokete,66136,
,,,,poet,92181432914948167-1,{},123,,poète,67670,
,,,,maker,92181432919251862-1,{},147,,poiētēs,69736,
,,,,point,92181432505142868-1,{},123,,point,66307,
,,,,point,92181432253017631-1,{},96,,punctum,69674,
,,,,poison,92181432108335545-1,{},123,,poison,66063,
,,,,something to drink,92181432653680454-1,{},96,,"potiō, -nem",69516,
,,,,"city guardians, police",92181432431907713-1,{},123,,police,66493,
,,,,city,92181432593324804-1,{},147,,pólis,69808,
,,,,poncho,92181432268193795-1,{},115,,poncho,59678,
,,,,poncho,92181432921139789-1,{},41,,punchu,69577,
,,,,poor,9218143223333686-1,{},124,,povre,66266,
,,,,poor,92181432242236842-1,{},96,,pauper,69649,
,,,,porpoise,92181432534299190-1,{},124,,porpois,66033,
,,,,pig fish,92181432808806209-1,{},96,,porcus piscis,69505,
,,,,gate,92181432713611699-1,{},96,,porta,66248,
,,,,"pole, post",92181432537565860-1,{},96,,posta,66160,
,,,,card,92181432737408285-1,{},123,,carte,66499,
,,,,"‘sheet of papyrus’, possibly of Egyptian origin",92181432440893657-1,{},147,,khártēs,69814,
,,,,pot,92181432945605357-1,{},123,,pot,66097,
,,,,earthenware pot,92181432787643816-1,{},96,,*pottus,69536,
,,,,potato,92181432677666257-1,{},115,,patata,68609,
,,,,potato,92181432831324030-1,{},337,,batata,69532,
,,,,pot,92181432479003436-1,{},96,,pottus,66216,
,,,,poultry,92181432470772747-1,{},123,,pouleterie,66006,
,,,,chicken,92181432289709057-1,{},96,,pullus,69490,
,,,,to praise,92181432213626338-1,{},124,,preisier,66359,
,,,,"‘to value highly’, from pretium ‘price’",9218143230801247-1,{},194,,pretiāre,69710,
,,,,to pray,92181432373090337-1,{},123,,prier,66467,
,,,,to pray,92181432776024365-1,{},96,,prēcārī,69791,
,,,,preach,92181432204060470-1,{},124,,prechier,66469,
,,,,"announce, proclaim",9218143246808395-1,{},96,,praedicâre,66859,
,,,,precipice,92181432689844673-1,{},123,,precipice,65978,
,,,,‘headlong fall’ (praeceps ‘headling’),92181432355933872-1,{},96,,praecipitium,69470,
,,,,pregnant,92181432883758319-1,{},96,,"praegnan-s, -tem",66056,
,,,,to preserve,92181432123833249-1,{},123,,préserver,66257,
,,,,"to keep, preserve",9218143211534911-1,{},194,,praeservāre,69643,
,,,,one who presides over a meeting,92181432592750374-1,{},124,,president,66491,
,,,,‘one who sits in front’ (prae + sedere),92181432924937654-1,{},96,,"praesiden-s, -tis",69806,
,,,,to press,92181432158474643-1,{},123,,presser,67377,
,,,,to press,92181432622987253-1,{},96,,pressāre,69627,
,,,,"‘hinder’, literally ‘come before’",92181432893997701-1,{},96,,praevenīre,66417,
,,,,"price, prize",92181432463014404-1,{},124,,pris,66280,
,,,,"price, reward",92181432103573520-1,{},96,,pretium,69658,
,,,,"priest, elder",92181432928916913-1,{},96,,presbyter,66468,
,,,,priest,92181432598243451-1,{},147,,presbúteros,69792,
,,,,prison,92181432545488665-1,{},124,,prisun,66458,
,,,,"picking up, seizing",92181432276123825-1,{},96,,"prehensiō, -nem",69785,
,,,,someone held captive,9218143243925500-1,{},125,,prisonier,66439,
,,,,to promise,92181432137144798-1,{},123,,promettre,66393,
,,,,to promise,92181432478911089-1,{},96,,promittere,67654,
,,,,one who is openly for sale,92181432569847566-1,{},96,,prōstitūta,66420,
,,,,valiant,92181432535593729-1,{},124,,prũt,66349,
,,,,profitable,92181432455880593-1,{},96,,prōdis,69701,
,,,,groin,92181432129680993-1,{},96,,pūbēs,66066,
,,,,kind of gourd,92181432415472436-1,{},123,,pompion,66199,
,,,,"‘gourd’, originally adjective ‘fat’",92181432372900607-1,{},147,,pépōn,69614,
,,,,punishment,92181432130337550-1,{},124,,punisement,66456,
,,,,"‘to punish’, from Greek poinē ‘pain’",92181432370541114-1,{},96,,punīre,69784,
,,,,a minor,92181432425806695-1,{},125,,pupille,66365,
,,,,‘ward’ (pũpus ‘boy’),92181432830460566-1,{},96,,pũpillus,69713,
,,,,"to floow, give chase",9218143277158057-1,{},123,,poursuivre,66235,
,,,,"to go after, to follow after",92181432540080369-1,{},96,,persequī,69633,
,,,,pus,92181432939637168-1,{},96,,pūs,66091,
,,,,to push,92181432623813709-1,{},123,,pousser,66241,
,,,,"‘to drive violently’, from pellere ‘to drive’",92181432474456745-1,{},96,,pulsāre,69638,
,,,,quail,92181432384120117-1,{},125,,quaille,66039,
,,,,‘quail’; possible from Germanic but possibly imitative.,92181432891624687-1,{},194,,quacula/coacula,69507,
,,,,complaint,92181432483100407-1,{},125,,querele,66419,
,,,,complaint,92181432895178270-1,{},96,,querella,69757,
,,,,"quiet, rest",92181432874834335-1,{},124,,quiete,66329,
,,,,"‘quiet’, literally ‘the state of being put at rest’",92181432348974986-1,{},96,,quiētus,69687,
,,,,rabbit,92181432343342296-1,{},127,,robett,66028,
,,,,raccoon,92181432430376984-1,{},48,,árehkan,66040,
,,,,ray,92181432531435646-1,{},96,,radius,68273,
,,,,beam,9218143251728749-1,{},257,,raptr,66246,
,,,,"rag, tatter",92181432433464263-1,{},257,,ragg,66510,
,,,,to lift,92181432101855868-1,{},257,,reisa,66231,
,,,,rape,92181432736620871-1,{},124,,rape,66460,
,,,,"‘seizing’, from rapere ‘to seize’",92181432286116702-1,{},96,,rapīna,69787,
,,,,razor,9218143244884352-1,{},124,,razor,66146,
,,,,to scrape,92181432499990145-1,{},96,,*rāsāre,69574,
,,,,reef,92181432463836306-1,{},12,,riffe,65980,
,,,,reef,92181432463836306-2,{},140,,riffe,65981,
,,,,to refuse,92181432302603781-1,{},123,,refuser,67656,
,,,,to refuse,92181432587509235-1,{},96,,*refūsāre,69733,
,,,,to regret,92181432625685730-1,{},123,,regretter,67550,
,,,,reindeer,92181432177084018-1,{},257,,hreinndýri,66042,
,,,,relative,9218143217376273-1,{},96,,relatif,66002,
,,,,relative,9218143218979746-1,{},96,,relatīvus,69487,
,,,,religion,92181432479101034-1,{},124,,religiun,66464,
,,,,"‘religion’, from ligāre ‘to bind’",92181432430335480-1,{},96,,"religiō, -nem",69790,
,,,,"to stay, to be",92181432151150947-1,{},124,,remayn-,66286,
,,,,to remain,92181432322572710-1,{},96,,remanēre,69661,
,,,,to remain,92181432514132966-1,{},124,,remanoir,66288,
,,,,remember,92181432657734391-1,{},124,,remembrer,66366,
,,,,to recal,92181432270858485-1,{},96,,rēmemorārī,69715,
,,,,"to fold back, fold over",921814328194856-1,{},123,,replier,66390,
,,,,to fold back,92181432233419640-1,{},96,,rēplicāre,69730,
,,,,retrieve,92181432460040633-1,{},124,,rescoure,66258,
,,,,‘to shake out again’; from cūtere ‘to shake’,92181432161655935-1,{},96,,*re-excūtere,69644,
,,,,to pull back,92181432968721991-1,{},125,,retraire,66437,
,,,,to pull back,92181432416675858-1,{},96,,rētrahere,69772,
,,,,"‘to turn back, return",92181432275403132-1,{},124,,retourner,66256,
,,,,to turn back,92181432260105224-1,{},194,,*re-tornāre,69642,
,,,,rice,92181432356078073-1,{},123,,riz,66179,
,,,,rice,92181432132382773-1,{},339,,arici,69599,
,,,,king,92181432199157421-1,{},80,,rīx,66265,
,,,,pole,92181432474063545-1,{},96,,pālus,66159,
,,,,"river, stream",92181432224413255-1,{},124,,river,65968,
,,,,relating to a river-bank,92181432914394937-1,{},96,,ripuārius,69466,
,,,,to roast,9218143256823258-1,{},125,,rostir,66095,
,,,,to roast,92181432230426800-1,{},144,,*raustjan,69534,
,,,,rock,92181432676618345-1,{},124,,"roque, rocque, roche",65972,
,,,,to roll,9218143297205717-1,{},123,,rouler,66230,
,,,,"t#o roll’, from rota ‘wheel’",92181432779967644-1,{},96,,*rotulāre,69631,
,,,,rotten,92181432707711449-1,{},257,,rotinn,66123,
,,,,round,92181432110971481-1,{},96,,rotundus,69630,
,,,,rond,92181432737860151-1,{},123,,rond,70491,
,,,,to rub,92181432672045797-1,{},12,,rubben,66208,
,,,,to rub,92181432672045797-2,{},140,,rubben,66209,
,,,,coverlet,92181432205616753-1,{},241,,rugga,66226,
,,,,rule,92181432679896195-1,{},124,,riule,66405,
,,,,to rule,92181432401444066-1,{},194,,rēgulāre,69744,
,,,,sacrifice,92181432793060202-1,{},123,,sacrifice,66466,
,,,,sacrivice,92181432858343420-1,{},96,,sacrificium,67782,
,,,,same,92181432910184175-1,{},257,,sámr,66509,
,,,,"Saturn, Roman god",9218143217644243-1,{},96,,Saturnus,66321,
,,,,sauce-boat,92181432848524726-1,{},125,,saussier,66100,
,,,,salt-dish,92181432587421148-1,{},194,,salsārium,69540,
,,,,sausage,92181432374272749-1,{},125,,saussiche,66112,
