ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
36459,oldh1241,Old High German,492,three,13-03,drî,,,7671014652010076,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36460,oldh1241,Old High German,1500,four,13-04,fior,,,7671015400938380,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36461,oldh1241,Old High German,493,five,13-05,"fimf, finf",,,7671016492642221,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36462,oldh1241,Old High German,1703,six,13-06,sehs,,,7671040488730455,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36463,oldh1241,Old High German,1704,seven,13-07,sibun,,,7671041825050072,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36464,oldh1241,Old High German,1705,eight,13-08,ahto,,,7671041541619784,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36465,oldh1241,Old High German,1483,nine,13-09,niun,,,7671042852478400,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36466,oldh1241,Old High German,1515,ten,13-1,zehan,,,7671046736823935,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36467,oldh1241,Old High German,1706,eleven,13-101,einlif,,,7671046336653667,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,one-,num.,,,,,,,,,,,
36468,oldh1241,Old High German,1707,twelve,13-102,zwelif,,,7671047782823398,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,two-,num.,,,,,,,,,,,
