affiliation,countries,description,family,fm_dl_id,genus,id,jsondata,latitude,longitude,markup_description,name,pk,vocabulary_pk,wals_equivalent
"Indo-European, Iranian",,,http://wals.info/languoid/family/indoeuropean,873054428690612,http://wals.info/languoid/genus/iranian,46,{},44.6333,41.9336,,Alanian,46,,
"Indo-European, Albanian",,,Indo-European,873046746460402,Albanian,47,{},41.0,20.0,,Albanian,47,,http://wals.info/languoid/lect/wals_code_alb
Algic,,,http://wals.info/languoid/family/algic,873054133838687,,48,{},43.2567,-79.8691,,Algonquian (Powhatan),48,,http://wals.info/languoid/genus/algonquian
,,,,9214223399298885,,49,{},49.0,72.0,,Altaic,49,,http://wals.info/languoid/family/altaic
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,810252249701848367,http://wals.info/languoid/genus/germanic,50,{},2.0,-54.0,,Aluku,50,,http://wals.info/languoid/lect/wals_code_ndy
"Afro-Asiatic, Semitic",,,Afro-Asiatic,873046569195851,Semitic,51,{},10.0,38.0,,Amharic,51,,http://wals.info/languoid/lect/wals_code_amh
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046643893487,,52,{},29.9792,31.1344,,Egyptian,52,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046170624878,http://wals.info/languoid/genus/semitic,53,{},25.0,42.0,,Arabic,53,,http://wals.info/languoid/lect/wals_code_ams
"Afro-Asiatic, Semitic",,,Afro-Asiatic,873046256434734,Semitic,54,{},34.0,-6.0,,Arabic (Moroccan),54,,http://wals.info/languoid/lect/wals_code_amr
Arawakan,,,http://wals.info/languoid/family/arawakan,873054684025339,,55,{},18.5393,-72.3364,,Arawakan (Haiti),55,,
,,,,810252249868734216,,56,{},-2.0,-78.0,,Arawakan,56,,http://wals.info/languoid/family/arawakan
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046833963436,,57,{},40.1586,44.4993,,Armenian,57,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873054163748088,http://wals.info/languoid/genus/romance,58,{},20.7147,70.977,,Indo-Portuguese,58,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046958042334,http://wals.info/languoid/genus/semitic,59,{},35.0,43.0,,Assyrian,59,,
,,,,92142232645128228,,60,{},23.0,98.0,,Austro-Asiatic,60,,http://wals.info/languoid/family/austroasiatic
,,,,87305421339406,,61,{},24.0,121.0,,Austronesian,61,,http://wals.info/languoid/family/austronesian
"Nakh-Daghestanian, Avar-Andic-Tsezic",,,Nakh-Daghestanian,873046422615821,Avar-Andic-Tsezic,62,{},42.5,46.5,,Avar,62,,http://wals.info/languoid/lect/wals_code_ava
"Aymaran, Aymaran",,,Aymaran,873046304687327,Aymaran,63,{},-17.0,-69.0,,Aymara,63,,http://wals.info/languoid/lect/wals_code_aym
"Altaic, Turkic",,,Altaic,929134886323888,Turkic,64,{},40.5,48.5,,Azerbaijani,64,,http://wals.info/languoid/lect/wals_code_aze
"Austronesian, Bali-Sasak",,,Austronesian,873046109911327,Bali-Sasak,65,{},-8.33333,115.25,,Balinese,65,,http://wals.info/languoid/lect/wals_code_bal
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046801925325,,66,{},55.9321,23.3142,,Baltic,66,,
Niger-Congo,,,http://wals.info/languoid/family/nigercongo,9221220875844292,,67,{},6.5,20.75,,Banda,67,,http://wals.info/languoid/lect/wals_code_lnd
"Austronesian, Malayic",,,http://wals.info/languoid/family/austronesian,873046613737312,http://wals.info/languoid/genus/malayic,68,{},-3.3285,114.589,,Banjarese,68,,
,,,,873046426405551,,69,{},1.0,-78.0,,Barbacoan,69,,http://wals.info/languoid/family/barbacoan
"Trans-New Guinea, Madang",,,http://wals.info/languoid/family/transnewguinea,873046659286877,http://wals.info/languoid/genus/madang,70,{},-4.88333,145.75,,Bargam,70,,http://wals.info/languoid/lect/wals_code_mug
"Niger-Congo, Bantoid",,,Niger-Congo,873046238877373,Bantoid,71,{},-10.0,28.25,,Bemba,71,,http://wals.info/languoid/lect/wals_code_bem
"Indo-European, Indic",,,Indo-European,810252249111842290,Indic,72,{},24.0,90.0,,Bengali,72,,http://wals.info/languoid/lect/wals_code_ben
Niger-Congo,,,http://wals.info/languoid/family/nigercongo,873046506621529,,73,{},7.0,8.0,,Benue-Congo,73,,
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046631062670,,74,{},32.0,-1.0,,Berber,74,,http://wals.info/languoid/genus/berber
"Indo-European, Slavic",,,Indo-European,873046918094304,Slavic,75,{},42.5,25.0,,Bulgarian,75,,http://wals.info/languoid/lect/wals_code_bul
"Burushaski, Burushaski",,,Burushaski,873046193927540,Burushaski,76,{},36.5,74.5,,Burushaski,76,,http://wals.info/languoid/lect/wals_code_bur
Mongolic,,,http://wals.info/languoid/family/altaic,87304650524652,http://wals.info/languoid/genus/mongolic,77,{},52.0,108.0,,Buryat,77,,http://wals.info/languoid/lect/wals_code_but
"Sino-Tibetan, Chinese",,,Sino-Tibetan,873046191917471,Chinese,78,{},23.0,113.0,,Cantonese,78,,http://wals.info/languoid/lect/wals_code_cnt
"Cariban, Cariban",,,Cariban,873046160049247,Cariban,79,{},5.5,-56.0,,Carib,79,,http://wals.info/languoid/lect/wals_code_car
Indo-European,,,http://wals.info/languoid/family/indoeuropean,87304652019369,,80,{},50.1186,-5.53715,,Celtic,80,,http://wals.info/languoid/genus/celtic
Tai-Kadai,,,http://wals.info/languoid/family/taikadai,873054678003353,,81,{},23.0,106.0,,Central Tai,81,,
"Sino-Tibetan, Chinese",,,http://wals.info/languoid/family/sinotibetan,810252249246400219,http://wals.info/languoid/genus/chinese,82,{},23.67,116.63,,Ch’ao-chou,82,,http://dev.livingreviews.org/wals/languoid/lect/wals_code_chz
Mayan,,,http://wals.info/languoid/family/mayan,873046801567366,,83,{},18.0,-92.5,,Ch’olan,83,,
"Mayan, Mayan",,,http://wals.info/languoid/family/mayan,87304684526799,http://wals.info/languoid/genus/mayan,84,{},15.725,-88.5936,,Ch’olti’,84,,
Mayan,,,http://wals.info/languoid/family/mayan,873046266645789,http://wals.info/languoid/genus/mayan,85,{},14.8333,-89.25,,Ch’orti’,85,,http://wals.info/languoid/lect/wals_code_coi
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046172382033,,86,{},10.0,14.0,,Chadic,86,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873046592022547,,87,{},12.0,107.5,,Cham,87,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873046970857248,,88,{},12.0,108.0,,Chamic,88,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873046829205261,http://wals.info/languoid/genus/chinese,89,{},34.0,110.0,,Chinese,89,,http://wals.info/languoid/lect/wals_code_mnd
"Sino-Tibetan, Chinese",,,Sino-Tibetan,873046708606661,Chinese,90,{},25.0,118.0,,Hokkien,90,,http://wals.info/languoid/lect/wals_code_hok
"Sino-Tibetan, Chinese",,,http://wals.info/languoid/family/sinotibetan,91291433185253147,http://wals.info/languoid/genus/chinese,91,{},24.4796,118.089,,Min,91,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873054478044094,,92,{},37.0,115.0,,Northern Chinese,92,,
"Mayan, Mayan",,,Mayan,873046948473128,Mayan,93,{},17.75,-92.5,,Chol,93,,http://wals.info/languoid/lect/wals_code_col
Tequistlatecan,,,http://wals.info/languoid/family/tequistlatecan,873046208313111,,94,{},16.1667,-95.75,,Chontal,94,,
"Mayan, Mayan",,,Mayan,873046865732526,Mayan,95,{},15.9167,-91.5833,,Chuj,95,,http://wals.info/languoid/lect/wals_code_chj
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046355306887,http://wals.info/languoid/genus/romance,96,{},41.8955,12.4823,,Latin,96,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046360018227,http://wals.info/languoid/genus/semitic,97,{},21.4167,39.8167,,Classical Arabic,97,,
"Indo-European, Greek",,,http://wals.info/languoid/family/indoeuropean,873046449057485,http://wals.info/languoid/genus/greek,98,{},37.9792,23.7166,,Classical Greek,98,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054480981631,,99,{},54.9158,8.33083,,Germanic,99,,http://wals.info/languoid/genus/germanic
"Niger-Congo, Bantoid",,,Niger-Congo,873046256986680,Bantoid,100,{},-12.0,44.0,,Comorian,100,,http://wals.info/languoid/lect/wals_code_com
"Afro-Asiatic, Egyptian-Coptic",,,Afro-Asiatic,873046318011164,Egyptian-Coptic,101,{},26.0,32.0,,Coptic,101,,http://wals.info/languoid/lect/wals_code_cop
Quechuan,,,http://wals.info/languoid/family/quechuan,873046160132300,http://wals.info/languoid/genus/quechuan,102,{},-14.5,-71.0,,Cuzco Quechua,102,,http://wals.info/languoid/lect/wals_code_qcu
"Indo-European, Slavic",,,Indo-European,873046376832795,Slavic,103,{},50.0,15.0,,Czech,103,,http://wals.info/languoid/lect/wals_code_cze
"Altaic, Mongolic",,,Altaic,92111732875844292,Mongolic,104,{},48.0,124.0,,Dagur,104,,http://wals.info/languoid/lect/wals_code_dgr
"Nilo-Saharan, Nilotic",,,Nilo-Saharan,873046843715039,Nilotic,105,{},-4.33333,35.3333,,Datooga,105,,http://wals.info/languoid/lect/wals_code_dat
"Nilo-Saharan, Songhay",,,http://wals.info/languoid/family/nilosaharan,873046692377180,http://wals.info/languoid/genus/songhay,106,{},12.0,3.5,,Dendi,106,,
"Australian, Pama-Nyungan",,,http://wals.info/languoid/family/australian,873054831015932,http://wals.info/languoid/genus/pamanyungan,107,{},-33.8671,151.207,,Dharuk,107,,
,,,,873046236198733,,108,{},19.0,82.0,,Dravidian,108,,http://wals.info/languoid/family/dravidian
"Austronesian, Madurese",,,Austronesian,8771713266468095,Madurese,109,{},-7.0,113.5,,Madurese,109,,http://wals.info/languoid/lect/wals_code_mdr
"Austro-Asiatic, Khmer",,,Austro-Asiatic,810252249532227976,Khmer,110,{},12.5,105.0,,Khmer,110,,http://wals.info/languoid/lect/wals_code_khm
Altaic,,,http://wals.info/languoid/family/altaic,8129172461191679,,111,{},48.0,70.0,,Turkic,111,,http://wals.info/languoid/genus/turkic
"Altaic, Turkic",,,http://wals.info/languoid/family/altaic,8771730598078357,http://wals.info/languoid/genus/turkic,112,{},43.0,66.0,,East Turkic,112,,
"Algic, Algonquian",,,http://wals.info/languoid/family/algic,91291431461191679,http://wals.info/languoid/genus/algonquian,113,{},44.0,-71.0,,Eastern Abenaki,113,,
"Niger-Congo, Bantoid",,,http://wals.info/languoid/family/nigercongo,92122118645128228,http://wals.info/languoid/genus/bantoid,114,{},1.0,30.0,,Eastern Bantu,114,,
"Indo-European, Romance",,,Indo-European,873046508145964,Romance,115,{},40.0,-4.0,,Spanish,115,,http://wals.info/languoid/lect/wals_code_spa
,,,,873046573799617,,116,{},,,,European Colonial Language,116,,
"Altaic, Tungusic",,,Altaic,873046796625769,Tungusic,117,{},56.0,125.0,,Evenki,117,,http://wals.info/languoid/lect/wals_code_eve
Uralic,,,http://wals.info/languoid/family/uralic,87304699373095,,118,{},61.0,41.0,,Fennic,118,,http://wals.info/languoid/genus/finnic
"Austronesian, Oceanic",,,Austronesian,873054686279542,Oceanic,119,{},-17.8333,178.0,,Fijian,119,,http://wals.info/languoid/lect/wals_code_fij
Uralic,,,http://wals.info/languoid/family/uralic,873046903822355,,120,{},59.0,41.0,,Finno-Ugric,120,,http://wals.info/languoid/family/uralic
"Niger-Congo, Kwa",,,http://wals.info/languoid/family/nigercongo,92122118189108517,http://wals.info/languoid/genus/kwa,121,{},6.41667,2.16667,,Fon,121,,http://wals.info/languoid/lect/wals_code_fon
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,91291433645128228,http://wals.info/languoid/genus/germanic,122,{},49.0,4.0,,Frankish,122,,
"Indo-European, Romance",,,Indo-European,873046625844292,Romance,123,{},48.0,2.0,,French,123,,http://wals.info/languoid/lect/wals_code_fre
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046290537681,http://wals.info/languoid/genus/romance,124,{},50.86,0.571944,,French (Anglo-Norman),124,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,87305448517062,http://wals.info/languoid/genus/romance,125,{},49.2566,4.03309,,Old French,125,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873054923872875,http://wals.info/languoid/genus/romance,126,{},49.8939,2.29424,,French (Picard),126,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,9129143186323888,http://wals.info/languoid/genus/romance,127,{},50.4641,4.86043,,French (Walloon),127,,
"Niger-Congo, Northern Atlantic",,,http://wals.info/languoid/family/nigercongo,8730469394701,http://wals.info/languoid/genus/northernatlantic,128,{},11.0,-12.0,,Ful,128,,
"Indo-European, Celtic",,,http://wals.info/languoid/family/indoeuropean,873054391546059,http://wals.info/languoid/genus/celtic,129,{},57.0,-4.0,,Gaelic,129,,http://wals.info/languoid/lect/wals_code_gae
"Australian, Djeragan",,,http://wals.info/languoid/family/australian,873054115109051,http://wals.info/languoid/genus/djeragan,130,{},-15.0833,129.0,,Gajirrabeng,130,,
"Niger-Congo, Kwa",,,http://wals.info/languoid/family/nigercongo,8730467378401,http://wals.info/languoid/genus/kwa,131,{},6.66667,2.5,,Gbe,131,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873054192611195,http://wals.info/languoid/genus/semitic,132,{},15.25,39.67,,Ge‘ez,132,,
"Austronesian, Oceanic",,,http://wals.info/languoid/family/austronesian,873046997708874,http://wals.info/languoid/genus/oceanic,133,{},-4.95,145.75,,Gedaged,133,,
"Kartvelian, Kartvelian",,,Kartvelian,9291347875844292,Kartvelian,134,{},42.0,44.0,,Georgian,134,,http://wals.info/languoid/lect/wals_code_geo
"Indo-European, Germanic",,,Indo-European,87304625001713,Germanic,135,{},52.0,10.0,,German,135,,http://wals.info/languoid/lect/wals_code_ger
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873054987450504,http://wals.info/languoid/genus/germanic,136,{},48.0,14.0,,German (Austrian),136,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046182233833,http://wals.info/languoid/genus/germanic,137,{},49.7943,9.92749,,Early New High German,137,,
"Indo-European, Germanic",,,Indo-European,873046810603400,Germanic,138,{},53.0,10.0,,Low German,138,,http://wals.info/languoid/lect/wals_code_lge
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,87304630805724,http://wals.info/languoid/genus/germanic,139,{},48.5,8.0,,Middle High German,139,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046291234016,http://wals.info/languoid/genus/germanic,140,{},51.8,12.0667,,Middle Low German,140,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046145697726,http://wals.info/languoid/genus/germanic,141,{},52.0,10.0,,New High German,141,,http://wals.info/languoid/lect/wals_code_ger
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046996635215,http://wals.info/languoid/genus/germanic,142,{},51.051,13.7337,,German (Upper Saxon),142,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046314379446,http://wals.info/languoid/genus/germanic,143,{},51.3397,12.3713,,East Middle German,143,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046995196245,http://wals.info/languoid/genus/germanic,144,{},52.0,7.0,,West Germanic,144,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046977557676,http://wals.info/languoid/genus/germanic,145,{},43.2172,25.6111,,Gothic,145,,
Mayan,,,http://wals.info/languoid/family/mayan,873046778567710,,146,{},17.0,-92.5,,Greater Tzeltalan,146,,
"Indo-European, Greek",,,http://wals.info/languoid/family/indoeuropean,873046145079265,http://wals.info/languoid/genus/greek,147,{},37.0378,27.4239,,Greek,147,,http://wals.info/languoid/lect/wals_code_grk
"Tupian, Tupi-Guaraní",,,Tupian,873046599275472,Tupi-Guaraní,148,{},-26.0,-56.0,,Guaraní,148,,http://wals.info/languoid/lect/wals_code_gua
Chon,,,http://wals.info/languoid/family/chon,873046771654254,http://wals.info/languoid/genus/puelche,149,{},-41.0,-67.0,,Gününa Yajüch,149,,http://wals.info/languoid/lect/wals_code_gku
"Australian, Pama-Nyungan",,,Australian,873054283780873,Pama-Nyungan,150,{},-15.0,144.833,,Guugu Yimidhirr,150,,http://wals.info/languoid/lect/wals_code_guu
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,810252249870320768,http://wals.info/languoid/genus/romance,151,{},5.0,-53.0,,Guyanese French Creole,151,,http://wals.info/languoid/lect/wals_code_gfr
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046497545123,http://wals.info/languoid/genus/semitic,152,{},31.5,34.8333,,Hebrew,152,,http://wals.info/languoid/lect/wals_code_heb
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046638773387,http://wals.info/languoid/genus/germanic,153,{},52.0,10.0,,High German,153,,http://wals.info/languoid/lect/wals_code_ger
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046977420831,,154,{},25.0,71.0,,Hindi-Urdu,154,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873054900957240,http://wals.info/languoid/genus/semitic,155,{},37.1765,-3.59793,,Arabic (Hispanic),155,,
,,,,9214223326116720,,156,{},25.0,106.0,,Hmong-Mien,156,,http://wals.info/languoid/family/hmongmien
"Mayan, Mayan",,,Mayan,873046678669400,Mayan,157,{},22.0833,-99.3333,,Huastec,157,,http://wals.info/languoid/lect/wals_code_htc
"Uralic, Ugric",,,Uralic,873046811004398,Ugric,158,{},47.0,20.0,,Hungarian,158,,http://wals.info/languoid/lect/wals_code_hun
"Niger-Congo, Igboid",,,Niger-Congo,873046567114050,Igboid,159,{},6.0,7.33333,,Igbo,159,,http://wals.info/languoid/lect/wals_code_igb
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054618839891,,160,{},42.0675,19.5131,,Illyrian,160,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,92122118784987605,http://wals.info/languoid/genus/germanic,161,{},22.5697,88.3697,,English (Indian),161,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046705605770,http://wals.info/languoid/genus/romance,162,{},-21.1144,55.5325,,French (Indian Ocean),162,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,8771729996400219,http://wals.info/languoid/genus/semitic,163,{},-6.16592,39.2026,,Arabic (Indian Ocean),163,,
,,,,873046281791177,,164,{},43.0,35.0,,Indo-European,164,,http://wals.info/languoid/family/indoeuropean
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046534946406,,165,{},32.0,70.0,,Indo-Iranian,165,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046120581154,http://wals.info/languoid/genus/romance,166,{},15.493,73.818,,Portuguese (Indian),166,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046339261748,,167,{},35.0,61.0,,Iranian,167,,http://wals.info/languoid/genus/iranian
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054138468261,,168,{},29.6167,52.5333,,Middle Persian,168,,
"Indo-European, Romance",,,Indo-European,873046776116720,Romance,169,{},43.0,12.0,,Italian,169,,http://wals.info/languoid/lect/wals_code_ita
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873054507286456,http://wals.info/languoid/genus/romance,170,{},43.7687,11.2569,,Old Italian,170,,
"Mayan, Mayan",,,Mayan,873046643820620,Mayan,171,{},17.0,-89.8333,,Itzaj,171,,http://wals.info/languoid/lect/wals_code_itz
"Austro-Asiatic, Aslian",,,http://wals.info/languoid/family/austroasiatic,873046243477464,http://wals.info/languoid/genus/aslian,172,{},5.75,101.5,,Jah Hut,172,,http://wals.info/languoid/lect/wals_code_jah
"Australian, Jaminjungan",,,Australian,873046237837831,Jaminjungan,173,{},-15.0833,130.5,,Jaminjung,173,,http://wals.info/languoid/lect/wals_code_jam
