affiliation,countries,description,family,fm_dl_id,genus,id,jsondata,latitude,longitude,markup_description,name,pk,vocabulary_pk,wals_equivalent
"Niger-Congo, Bantoid",,,Niger-Congo,,Bantoid,1,{},-6.5,39.0,,Swahili,1,1,http://wals.info/languoid/lect/wals_code_swa
"Afro-Asiatic, Southern Cushitic",,,Afro-Asiatic,,Southern Cushitic,2,{},-4.0,35.5,,Iraqw,2,2,http://wals.info/languoid/lect/wals_code_irq
"Afro-Asiatic, Eastern Cushitic",,,http://wals.info/languoid/family/afroasiatic,,http://wals.info/languoid/genus/easterncushitic,3,{},5.5,37.25,,Gawwada,3,3,http://wals.info/languoid/lect/wals_code_dug
"Afro-Asiatic, West Chadic",,,Afro-Asiatic,,West Chadic,4,{},12.0,7.0,,Hausa,4,4,http://wals.info/languoid/lect/wals_code_hau
"Nilo-Saharan, Western Saharan",,,Nilo-Saharan,,Western Saharan,5,{},12.0,13.0,,Kanuri,5,5,http://wals.info/languoid/lect/wals_code_knr
"Afro-Asiatic, Berber",,,http://wals.info/languoid/family/afroasiatic,,http://wals.info/languoid/genus/berber,6,{},34.5,-4.0,,Tarifiyt Berber,6,6,http://wals.info/languoid/lect/wals_code_brf
"other, Creoles and Pidgins",,,other,,Creoles and Pidgins,7,{},-4.75,55.5,,Seychelles Creole,7,7,http://wals.info/languoid/lect/wals_code_sey
"Indo-European, Romance",,,Indo-European,,Romance,8,{},46.0,25.0,,Romanian,8,8,http://wals.info/languoid/lect/wals_code_rom
Indo-European,,,http://wals.info/languoid/family/indoeuropean,,,9,{},48.091,17.9609,,Selice Romani,9,9,
"Indo-European, Slavic",,,http://wals.info/languoid/family/indoeuropean,,http://wals.info/languoid/genus/slavic,10,{},51.75,14.3333,,Lower Sorbian,10,10,http://wals.info/languoid/lect/wals_code_srl
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,,http://wals.info/languoid/genus/germanic,11,{},50.55,9.68333,,Old High German,11,11,
"Indo-European, Germanic",,,Indo-European,,Germanic,12,{},52.5,6.0,,Dutch,12,12,http://wals.info/languoid/lect/wals_code_dut
"Indo-European, Germanic",,,Indo-European,,Germanic,13,{},52.0,0.0,,English,13,13,http://wals.info/languoid/lect/wals_code_eng
"Uralic, Saami",,,http://wals.info/languoid/family/uralic,,http://wals.info/languoid/genus/saami,14,{},67.0,37.0,,Kildin Saami,14,14,http://wals.info/languoid/lect/wals_code_ski
"Nakh-Daghestanian, Avar-Andic-Tsezic",,,Nakh-Daghestanian,,Avar-Andic-Tsezic,15,{},42.0833,46.1667,,Bezhta,15,15,http://wals.info/languoid/lect/wals_code_bez
"Nakh-Daghestanian, Lezgic",,,Nakh-Daghestanian,,Lezgic,16,{},42.0,46.8333,,Archi,16,16,http://wals.info/languoid/lect/wals_code_arc
Tibeto-Burman,,,http://wals.info/languoid/family/sinotibetan,,,17,{},28.0,84.25,,Manange,17,17,
"Yeniseian, Yeniseian",,,Yeniseian,,Yeniseian,18,{},64.0,87.0,,Ket,18,18,http://wals.info/languoid/lect/wals_code_ket
"Altaic, Turkic",,,http://wals.info/languoid/family/altaic,,http://wals.info/languoid/genus/turkic,19,{},62.0,130.0,,Sakha,19,19,
Tungusic,,,http://wals.info/languoid/family/altaic,,http://wals.info/languoid/genus/tungusic,20,{},51.2829,126.111,,Oroqen,20,20,
"Japanese, Japanese",,,Japanese,,Japanese,21,{},37.0,140.0,,Japanese,21,21,http://wals.info/languoid/lect/wals_code_jpn
"Sino-Tibetan, Chinese",,,http://wals.info/languoid/family/sinotibetan,,http://wals.info/languoid/genus/chinese,22,{},34.0,110.0,,Mandarin Chinese,22,22,http://wals.info/languoid/lect/wals_code_mnd
"Tai-Kadai, Kam-Tai",,,Tai-Kadai,,Kam-Tai,23,{},16.0,101.0,,Thai,23,23,http://wals.info/languoid/lect/wals_code_tha
"Austro-Asiatic, Viet-Muong",,,Austro-Asiatic,,Viet-Muong,24,{},10.5,106.5,,Vietnamese,24,24,http://wals.info/languoid/lect/wals_code_vie
"Hmong-Mien, Hmong-Mien",,,http://wals.info/languoid/family/hmongmien,,http://wals.info/languoid/genus/hmongmien,25,{},26.0,105.0,,White Hmong,25,25,http://wals.info/languoid/lect/wals_code_hmd
"Austro-Asiatic, Aslian",,,http://wals.info/languoid/family/austroasiatic,,http://wals.info/languoid/genus/aslian,26,{},3.8807,102.456,,Ceq Wong,26,26,
"Austronesian, Malayic",,,Austronesian,,Malayic,27,{},0.0,106.0,,Indonesian,27,27,http://wals.info/languoid/lect/wals_code_ind
"Austronesian, Barito",,,Austronesian,,Barito,28,{},-20.0,47.0,,Malagasy,28,28,http://wals.info/languoid/lect/wals_code_mal
"Austronesian, Oceanic",,,Austronesian,,Oceanic,29,{},-4.66667,146.0,,Takia,29,29,http://wals.info/languoid/lect/wals_code_tak
"Austronesian, Oceanic",,,Austronesian,,Oceanic,30,{},19.5833,-155.5,,Hawaiian,30,30,http://wals.info/languoid/lect/wals_code_haw
"Australian, Pama-Nyungan",,,Australian,,Pama-Nyungan,31,{},-17.6667,130.667,,Gurindji,31,31,http://wals.info/languoid/lect/wals_code_gji
"Uto-Aztecan, Cahita",,,Uto-Aztecan,,Cahita,32,{},27.5,-110.25,,Yaqui,32,32,http://wals.info/languoid/lect/wals_code_yaq
"Mayan, Mayan",,,http://wals.info/languoid/family/mayan,,http://wals.info/languoid/genus/mayan,33,{},16.8333,-92.8333,,Zinacantán Tzotzil,33,33,http://wals.info/languoid/lect/wals_code_tzz
"Mayan, Mayan",,,http://wals.info/languoid/family/mayan,,http://wals.info/languoid/genus/mayan,34,{},16.0,-89.8333,,Q'eqchi',34,34,http://wals.info/languoid/lect/wals_code_kek
"Oto-Manguean, Otomian",,,http://wals.info/languoid/family/otomanguean,,http://wals.info/languoid/genus/otomian,35,{},20.1667,-98.8333,,Otomi,35,35,http://wals.info/languoid/lect/wals_code_otm
"other, Creoles and Pidgins",,,other,,Creoles and Pidgins,36,{},4.5,-55.5,,Saramaccan,36,36,http://wals.info/languoid/lect/wals_code_srm
"Quechuan, Quechuan",,,http://wals.info/languoid/family/quechuan,,http://wals.info/languoid/genus/quechuan,37,{},0.333333,-78.0,,Imbabura Quechua,37,37,http://wals.info/languoid/lect/wals_code_qim
Cariban,,,http://wals.info/languoid/family/cariban,,http://wals.info/languoid/genus/cariban,38,{},5.5,-56.0,,Kali'na,38,38,http://wals.info/languoid/lect/wals_code_car
Nadahup,,,http://wals.info/languoid/family/nadahup,,http://wals.info/languoid/genus/nadahup,39,{},0.166667,-69.25,,Hup,39,39,http://wals.info/languoid/lect/wals_code_hpd
"Matacoan, Matacoan",,,Matacoan,,Matacoan,40,{},-22.5,-62.5833,,Wichí,40,40,http://wals.info/languoid/lect/wals_code_wch
"Araucanian, Araucanian",,,Araucanian,,Araucanian,41,{},-38.0,-72.0,,Mapudungun,41,41,http://wals.info/languoid/lect/wals_code_map
Niger-Congo,,,http://wals.info/languoid/family/nigercongo,873046383578860,,42,{},2.0,14.0,,Bantu,42,,http://wals.info/languoid/genus/bantoid
,,,,87304613280799,,43,{},24.667,30.5942,,Afro-Asiatic,43,,http://wals.info/languoid/family/afroasiatic
"Ainu, Ainu",,,Ainu,873046779607803,Ainu,44,{},43.0,143.0,,Ainu,44,,http://wals.info/languoid/lect/wals_code_ain
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,8771614625844292,http://wals.info/languoid/genus/semitic,45,{},33.1,44.1,,Akkadian,45,,
