ID,Name,Description,Contributors
AMASI,AMASI,,Viveka Velupillai
AMBELE_2,AMBELE_2,,André Müller
AMBELE,AMBELE,,André Müller
AUSHI,AUSHI,,Annkathrin Wett
AWING,AWING,,Viveka Velupillai
B11c_GALWA_1,B11c_GALWA_1,,Annkathrin Wett
B11c_GALWA_2,B11c_GALWA_2,,Annkathrin Wett
B25_KOTA_2,B25_KOTA_2,,Annkathrin Wett
B312_HIMBA,B312_HIMBA,,Annkathrin Wett
B414_VARAMA,B414_VARAMA,,
B41_SHIRA,B41_SHIRA,,Annkathrin Wett
B42_SANGU_2,B42_SANGU_2,,Annkathrin Wett
B431_VUNGU,B431_VUNGU,,Annkathrin Wett
B44_LUMBU_YI_BANDA,B44_LUMBU_YI_BANDA,,Annkathrin Wett
B63_NDUUMO_KUYA,B63_NDUUMO_KUYA,,Annkathrin Wett
B70_TEKE_OMVULA,B70_TEKE_OMVULA,,Annkathrin Wett
B77a_KUKUYA_1,B77a_KUKUYA_1,,Annkathrin Wett
B77a_KUKUYA_2,B77a_KUKUYA_2,,Annkathrin Wett
B78_IWUM_WUUMBU_SUD_TEKE,B78_IWUM_WUUMBU_SUD_TEKE,,Annkathrin Wett
B85d_TSONG,B85d_TSONG,,Annkathrin Wett
B86_DZING_BISEY,B86_DZING_BISEY,,Annkathrin Wett
B871_MPIIN_2,B871_MPIIN_2,,Annkathrin Wett
B87_MBUUN_LABAEMPI,B87_MBUUN_LABAEMPI,,Annkathrin Wett
B87_MBUUN_MWILANBONG,B87_MBUUN_MWILANBONG,,Annkathrin Wett
BABANKI,BABANKI,,Viveka Velupillai
BABA,BABA,,Zarina Molochieva
BABANGO,BABANGO,,Tessa de Mol-van Valen
BABOLE_DZEKE,BABOLE_DZEKE,,Annkathrin Wett
BABOLE_IMPFONDO,BABOLE_IMPFONDO,,Annkathrin Wett
BABONG,BABONG,,Søren Wichmann
BABUNGO,BABUNGO,,Viveka Velupillai
BADA,BADA,,Viveka Velupillai
BAFANJI,BAFANJI,,Tessa de Mol-van Valen
BAFAW,BAFAW,,Søren Wichmann
BAFIA_ROPE,BAFIA_ROPE,,Annkathrin Wett
BAFIA,BAFIA,,Søren Wichmann and Viveka Velupillai
BAFUT,BAFUT,,Viveka Velupillai
BAKAKA,BAKAKA,,Søren Wichmann
BAKOKO,BAKOKO,,Julia Bischoffberger
BAKOLE,BAKOLE,,Tessa de Mol-van Valen
BAKOSSI,BAKOSSI,,Søren Wichmann
BAKUERI,BAKUERI,,Søren Wichmann
BALEP,BALEP,,Viveka Velupillai
BALO,BALO,,Tessa de Mol-van Valen
BALONDO,BALONDO,,Søren Wichmann
BAMBALANG,BAMBALANG,,Tessa de Mol-van Valen
BAMBILI,BAMBILI,,Viveka Velupillai
BAMBOMBA_EPENA,BAMBOMBA_EPENA,,Annkathrin Wett
BAMENYAM,BAMENYAM,,Julia Bischoffberger
BAMILEKE,BAMILEKE,,Viveka Velupillai
BAMUKUMBIT,BAMUKUMBIT,,Tessa de Mol-van Valen
BAMWE,BAMWE,,Tessa de Mol-van Valen
BANEKA,BANEKA,,Søren Wichmann
BANGALA,BANGALA,,André Müller
BANGOLAN,BANGOLAN,,Tessa de Mol-van Valen
BANGUBANGU_KABAMBARE,BANGUBANGU_KABAMBARE,,Annkathrin Wett
BANGUBANGU,BANGUBANGU,,Julia Bischoffberger
BANKALA,BANKALA,,André Müller
BANKON,BANKON,,Zarina Molochieva
BAROMBI,BAROMBI,,Tessa de Mol-van Valen
BASAA,BASAA,,Søren Wichmann and Viveka Velupillai
BAS_KENYANG,BAS_KENYANG,,Viveka Velupillai
BATANGA,BATANGA,,Julia Bischoffberger
BATANGA_BALUNDU,BATANGA_BALUNDU,,Viveka Velupillai
BATU_ANWE,BATU_ANWE,,Viveka Velupillai
BEBA,BEBA,,Tessa de Mol-van Valen
BEEMBE,BEEMBE,,Julia Bischoffberger
BEKWIL,BEKWIL,,Annkathrin Wett
BEMBA,BEMBA,,Annkathrin Wett
BEMBA_1,BEMBA_1,,Annkathrin Wett and André Müller
BEMBA_2,BEMBA_2,,Søren Wichmann and Viveka Velupillai and André Müller
BEMBE,BEMBE,,Annkathrin Wett
BEMBE_2,BEMBE_2,,Annkathrin Wett
BEMBE_3,BEMBE_3,,Annkathrin Wett
BEMBE_BMB,BEMBE_BMB,,Tessa de Mol-van Valen
BENDEGHE,BENDEGHE,,Viveka Velupillai
BENDE,BENDE,,André Müller
BENE_BOMITABA,BENE_BOMITABA,,Sebastian Sauppe
BENGE_BATI,BENGE_BATI,,Annkathrin Wett
BILE,BILE,,Viveka Velupillai
BIRA_MIALA_BUNIA,BIRA_MIALA_BUNIA,,Annkathrin Wett
BIRA_SEDZABO,BIRA_SEDZABO,,Annkathrin Wett
BIRA,BIRA,,Annkathrin Wett
BIRA_BIP,BIRA_BIP,,Tessa de Mol-van Valen
BOA_ABAMAKE,BOA_ABAMAKE,,Annkathrin Wett
BOA_BABANDA,BOA_BABANDA,,Annkathrin Wett
BOA_BUTA,BOA_BUTA,,Annkathrin Wett
BOBANGI,BOBANGI,,Annkathrin Wett
BODO,BODO,,Annkathrin Wett
BOGONGO,BOGONGO,,Annkathrin Wett
BOKO_DRC,BOKO_DRC,,Tessa de Mol-van Valen
BOLEKE_BOMITABA,BOLEKE_BOMITABA,,Sebastian Sauppe
BOLIA_BANDUNDU,BOLIA_BANDUNDU,,Annkathrin Wett
BOLIA_NSAO,BOLIA_NSAO,,Annkathrin Wett
BOLIA,BOLIA,,Julia Bischoffberger
BOMA_NORD_EKEMWA,BOMA_NORD_EKEMWA,,Annkathrin Wett
BOMA_NORD_PLATEAUX_CONGO,BOMA_NORD_PLATEAUX_CONGO,,Annkathrin Wett
BOMA_NORD_SAIO,BOMA_NORD_SAIO,,Annkathrin Wett
BOMA_NORD,BOMA_NORD,,Annkathrin Wett
BOMA,BOMA,,Julia Bischoffberger
BOMBOMA,BOMBOMA,,Annkathrin Wett
BOMWALI,BOMWALI,,Annkathrin Wett
BOMWALI_2,BOMWALI_2,,Annkathrin Wett
BONDEI,BONDEI,,Annkathrin Wett
BONDEKO_BOMITABA,BONDEKO_BOMITABA,,Sebastian Sauppe
BONEK,BONEK,,Søren Wichmann and Viveka Velupillai
BONGILI_1,BONGILI_1,,Annkathrin Wett
BONGILI_2,BONGILI_2,,Annkathrin Wett
BOSSELA_BOMITABA,BOSSELA_BOMITABA,,Sebastian Sauppe
BOTALA_BOMITABA,BOTALA_BOMITABA,,Sebastian Sauppe
BOTONGO_DIBOLE,BOTONGO_DIBOLE,,Sebastian Sauppe
BUBE,BUBE,,Julia Bischoffberger
BUDU,BUDU,,Tessa de Mol-van Valen
BUJA_BUMBA_YAMOLOTO,BUJA_BUMBA_YAMOLOTO,,Annkathrin Wett
BUJA_MONOGO_BUMBA,BUJA_MONOGO_BUMBA,,Annkathrin Wett
BUJA,BUJA,,Annkathrin Wett
BUJEBA,BUJEBA,,Annkathrin Wett
BULU,BULU,,Annkathrin Wett
BUM_A_CAMEROON,BUM_A_CAMEROON,,Søren Wichmann and Viveka Velupillai
BUM_B_CAMEROON,BUM_B_CAMEROON,,Viveka Velupillai
BUNGU,BUNGU,,Tessa de Mol-van Valen
BURU,BURU,,Viveka Velupillai
BUSHONG_1,BUSHONG_1,,Annkathrin Wett
BUSHONG_2,BUSHONG_2,,Annkathrin Wett
BUSHOONG,BUSHOONG,,Julia Bischoffberger
BUU,BUU,,Søren Wichmann and Viveka Velupillai
BU_CAMEROON,BU_CAMEROON,,Viveka Velupillai
BU,BU,,Viveka Velupillai
BWILE,BWILE,,Annkathrin Wett
BWISI,BWISI,,Annkathrin Wett
C10_GANDO,C10_GANDO,,Annkathrin Wett
C24_KOYO_ZWE,C24_KOYO_ZWE,,Annkathrin Wett
C301_BODO_1,C301_BODO_1,,Annkathrin Wett
C36d_LINGALA_2,C36d_LINGALA_2,,Annkathrin Wett
C36e_BOLOKI_NGIRI,C36e_BOLOKI_NGIRI,,Annkathrin Wett
C45_LEBEO,C45_LEBEO,,Annkathrin Wett
C75_KELA,C75_KELA,,Annkathrin Wett
C80_MBINGI,C80_MBINGI,,Annkathrin Wett
C80_SHUWA,C80_SHUWA,,Annkathrin Wett
C81_DENGESE,C81_DENGESE,,Annkathrin Wett
C831_ILEBO,C831_ILEBO,,Annkathrin Wett
C84_LELE_LUHILEEL_2,C84_LELE_LUHILEEL_2,,Annkathrin Wett
C84_LELE_LUHILEEL_3,C84_LELE_LUHILEEL_3,,Annkathrin Wett
C84_LELE_LUHILEEL_4,C84_LELE_LUHILEEL_4,,Annkathrin Wett
CAGA_KILEMA,CAGA_KILEMA,,Annkathrin Wett
CAGA_KIWOSO,CAGA_KIWOSO,,Annkathrin Wett
CENTRAL_KENYANG,CENTRAL_KENYANG,,Zarina Molochieva
CEWA,CEWA,,Annkathrin Wett
CHILOMWE,CHILOMWE,,Annkathrin Wett
CHINGONI,CHINGONI,,Annkathrin Wett
CHOKWE,CHOKWE,,Julia Bischoffberger
CHONYI,CHONYI,,Viveka Velupillai and Søren Wichmann
CHUKA,CHUKA,,
CHUWABU,CHUWABU,,Matthew S. Dryer and Julia Bischoffberger
CHWAKA,CHWAKA,,Viveka Velupillai and Søren Wichmann
CIYAWO,CIYAWO,,Annkathrin Wett
CONI,CONI,,Annkathrin Wett
CUNG,CUNG,,Viveka Velupillai
D14_ENYA,D14_ENYA,,Annkathrin Wett
D27_BANGUBANGU_MUTINGWA,D27_BANGUBANGU_MUTINGWA,,Annkathrin Wett
D28_HOLOHOLO,D28_HOLOHOLO,,Annkathrin Wett
D55_BUYU,D55_BUYU,,Annkathrin Wett
DAWIDA,DAWIDA,,Annkathrin Wett
DCIRIKU,DCIRIKU,,Annkathrin Wett
DENYA_BAJWO,DENYA_BAJWO,,Zarina Molochieva
DENYA_BASHO,DENYA_BASHO,,Zarina Molochieva
DENYA_BITIEKU,DENYA_BITIEKU,,Zarina Molochieva
DENYA_TAKAMANDA,DENYA_TAKAMANDA,,Zarina Molochieva
DE_WUNGTSE,DE_WUNGTSE,,Viveka Velupillai
DHAISO,DHAISO,,Julia Bischoffberger
DIGO_1,DIGO_1,,Annkathrin Wett
DIGO_2,DIGO_2,,Annkathrin Wett
DIGO,DIGO,,Viveka Velupillai and Søren Wichmann
DING,DING,,Julia Bischoffberger
DIRIKU,DIRIKU,,Julia Bischoffberger
DIRIM,DIRIM,,Tessa de Mol-van Valen
DOE_2,DOE_2,,Annkathrin Wett
DOE,DOE,,Julia Bischoffberger
DOKO,DOKO,,Annkathrin Wett and André Müller
DONG,DONG,,André Müller
DUALA,DUALA,,Zarina Molochieva
DUGURI,DUGURI,,Viveka Velupillai
DUMA_2,DUMA_2,,Annkathrin Wett
DUMA,DUMA,,Annkathrin Wett
DURUMA,DURUMA,,Viveka Velupillai and Søren Wichmann
DZEKE_DIBOLE,DZEKE_DIBOLE,,Sebastian Sauppe
DZING_A,DZING_A,,Annkathrin Wett
DZING_B,DZING_B,,Annkathrin Wett
DZING_KAANTSA,DZING_KAANTSA,,Annkathrin Wett
DZING_SEDZO,DZING_SEDZO,,Annkathrin Wett
DZODINKA,DZODINKA,,Viveka Velupillai
EDZAMA_DIBOLE,EDZAMA_DIBOLE,,Sebastian Sauppe
EFUTOP,EFUTOP,,Viveka Velupillai
EGBUTA,EGBUTA,,Søren Wichmann
EHO_MBO,EHO_MBO,,Søren Wichmann
EJAGHAM,EJAGHAM,,Viveka Velupillai
EKAJUK,EKAJUK,,Viveka Velupillai
EKOI,EKOI,,Viveka Velupillai
EKPARABONG,EKPARABONG,,Viveka Velupillai
ELEKU_BONGINDA,ELEKU_BONGINDA,,Annkathrin Wett
ELEKU_IBENGE,ELEKU_IBENGE,,Annkathrin Wett
ELUNG,ELUNG,,Søren Wichmann
ELWANA,ELWANA,,Annkathrin Wett
ENYA_KIBOMBO,ENYA_KIBOMBO,,Annkathrin Wett
ENYA_MANDA,ENYA_MANDA,,Annkathrin Wett
ENYA,ENYA,,Julia Bischoffberger
EPENA_BOMITABA,EPENA_BOMITABA,,Sebastian Sauppe
ESIMBI,ESIMBI,,Viveka Velupillai
ESO_YALEMBA,ESO_YALEMBA,,Annkathrin Wett
ETON_CAMEROON,ETON_CAMEROON,,Julia Bischoffberger
ETON,ETON,,Annkathrin Wett
EWONDO_2,EWONDO_2,,Annkathrin Wett
EWONDO_3,EWONDO_3,,Annkathrin Wett
EWONDO_4,EWONDO_4,,Annkathrin Wett
EWONDO,EWONDO,,Søren Wichmann and Viveka Velupillai
F21_SUKUMA,F21_SUKUMA,,Annkathrin Wett
F23_SUMBWA_YEKE,F23_SUMBWA_YEKE,,Annkathrin Wett
FAM,FAM,,Tessa de Mol-van Valen
FANG_GABON,FANG_GABON,,Annkathrin Wett
FANG_MEKE,FANG_MEKE,,Annkathrin Wett
FANG_NTUMU,FANG_NTUMU,,Annkathrin Wett
FANG_SOUANKE,FANG_SOUANKE,,Annkathrin Wett
FANG,FANG,,Viveka Velupillai
FEFE_1,FEFE_1,,Viveka Velupillai
FEFE_2,FEFE_2,,Viveka Velupillai
FULIRU,FULIRU,,Annkathrin Wett
FUMU_1,FUMU_1,,Annkathrin Wett
FUMU_2,FUMU_2,,Annkathrin Wett
FWE,FWE,,Tessa de Mol-van Valen
G44a_NGAZIDJA,G44a_NGAZIDJA,,Annkathrin Wett
G65_KINGA,G65_KINGA,,Annkathrin Wett
GENGELE,GENGELE,,Annkathrin Wett
GHOMALA_1,GHOMALA_1,,Viveka Velupillai
GHOMALA_2,GHOMALA_2,,Viveka Velupillai
GIKUYU,GIKUYU,,Julia Bischoffberger
GIKUYU_2,GIKUYU_2,,Annkathrin Wett
GIRYAMA,GIRYAMA,,Viveka Velupillai and Søren Wichmann
GIRYAMA_2,GIRYAMA_2,,Annkathrin Wett
GIRYAMA_3,GIRYAMA_3,,Annkathrin Wett
GIRYAMA_4,GIRYAMA_4,,Annkathrin Wett
GISIRA,GISIRA,,Annkathrin Wett
GOGO,GOGO,,Annkathrin Wett
GUSII,GUSII,,Julia Bischoffberger
GWENO,GWENO,,Annkathrin Wett
GWERE_2,GWERE_2,,Annkathrin Wett
GWERE,GWERE,,André Müller
GYELE,GYELE,,Tessa de Mol-van Valen
H12_VILI_MAYUMBA,H12_VILI_MAYUMBA,,Annkathrin Wett
H166_KONGO_MANYANGA,H166_KONGO_MANYANGA,,Annkathrin Wett
H41_MBALA_1,H41_MBALA_1,,Annkathrin Wett
H42_HUNGANA_1,H42_HUNGANA_1,,Annkathrin Wett
H42_HUNGANA_2,H42_HUNGANA_2,,Annkathrin Wett
H42_HUNGANA_3,H42_HUNGANA_3,,Annkathrin Wett
H42_HUNGANA_4,H42_HUNGANA_4,,Annkathrin Wett
HADIMU,HADIMU,,Annkathrin Wett
HANGALA,HANGALA,,Annkathrin Wett
HAUT_KENYANG,HAUT_KENYANG,,Viveka Velupillai
HAYA_2,HAYA_2,,Annkathrin Wett
HAYA,HAYA,,Søren Wichmann
HA,HA,,Annkathrin Wett
HEHE,HEHE,,André Müller
HEMBA_BWINYANYEMBA,HEMBA_BWINYANYEMBA,,Annkathrin Wett
HEMBA_MAMBWE,HEMBA_MAMBWE,,Annkathrin Wett
HERERO,HERERO,,Julia Bischoffberger
HERERO_2,HERERO_2,,Annkathrin Wett
HIMA_RDC,HIMA_RDC,,Annkathrin Wett
HLUBI,HLUBI,,Annkathrin Wett
HOLOHOLO,HOLOHOLO,,Julia Bischoffberger
HOLU,HOLU,,Annkathrin Wett
HUNDE,HUNDE,,André Müller
HUNDE_2,HUNDE_2,,Annkathrin Wett
HUNGANA,HUNGANA,,Julia Bischoffberger
IBEE,IBEE,,Annkathrin Wett
IBOLO_BAMBOMBA_BOMITABA,IBOLO_BAMBOMBA_BOMITABA,,Sebastian Sauppe
IBONGO,IBONGO,,Annkathrin Wett
IKIZU,IKIZU,,Tessa de Mol-van Valen
ILA,ILA,,Julia Bischoffberger
ILWANA,ILWANA,,Søren Wichmann and Viveka Velupillai
IMPFONDO,IMPFONDO,,Tessa de Mol-van Valen
INDAAKA,INDAAKA,,Tessa de Mol-van Valen
IPULO,IPULO,,Viveka Velupillai
ISANGU,ISANGU,,Annkathrin Wett
ISANZU,ISANZU,,Tessa de Mol-van Valen
ISONGO,ISONGO,,Annkathrin Wett
ISU_MENCHUM,ISU_MENCHUM,,Tessa de Mol-van Valen
ISUKHA,ISUKHA,,Annkathrin Wett
ITANGA_BOMITABA,ITANGA_BOMITABA,,Sebastian Sauppe
IWUM_WUUMBU_1,IWUM_WUUMBU_1,,Annkathrin Wett
IWUM_WUUMBU_2,IWUM_WUUMBU_2,,Annkathrin Wett
IYAA,IYAA,,Annkathrin Wett
J13_NKORE_HIMA,J13_NKORE_HIMA,,Annkathrin Wett
J15_GANDA,J15_GANDA,,Annkathrin Wett
J24_KEREBE,J24_KEREBE,,Annkathrin Wett
J31c_BUKUSU,J31c_BUKUSU,,Annkathrin Wett
J321_KISA,J321_KISA,,Annkathrin Wett
J321_MARAMA,J321_MARAMA,,Annkathrin Wett
J42_NANDE,J42_NANDE,,
J52_HAVU_2,J52_HAVU_2,,Annkathrin Wett
J531_TEMBO_2,J531_TEMBO_2,,Annkathrin Wett
J53_SHI_2,J53_SHI_2,,Annkathrin Wett
J62_RUNDI,J62_RUNDI,,Annkathrin Wett
JITA_2,JITA_2,,Annkathrin Wett
JITA,JITA,,André Müller
K11_CIOKWE,K11_CIOKWE,,Annkathrin Wett
K14_LWENA_1,K14_LWENA_1,,Annkathrin Wett
K14_LWENA_2,K14_LWENA_2,,Annkathrin Wett
K15_MBUNDA_1,K15_MBUNDA_1,,Annkathrin Wett
K15_MBUNDA_2,K15_MBUNDA_2,,Annkathrin Wett
K15_MBUNDA_GANGELA,K15_MBUNDA_GANGELA,,Annkathrin Wett
KAGULU,KAGULU,,Søren Wichmann
KAGURU,KAGURU,,Annkathrin Wett
KAKO,KAKO,,Julia Bischoffberger
KAKO_2,KAKO_2,,Annkathrin Wett
KAKO_BATOURI,KAKO_BATOURI,,Annkathrin Wett
KALANGA,KALANGA,,Julia Bischoffberger
KALANGA_2,KALANGA_2,,Annkathrin Wett
KALONG,KALONG,,Søren Wichmann and Viveka Velupillai
KAMBA_KENYA,KAMBA_KENYA,,Annkathrin Wett
KAMBA_KENYA_2,KAMBA_KENYA_2,,Julia Bischoffberger
KAMINO,KAMINO,,Viveka Velupillai
KAMI,KAMI,,Annkathrin Wett
KANINGI,KANINGI,,Annkathrin Wett
KANIO_BOMITABA,KANIO_BOMITABA,,Sebastian Sauppe
KANYOK,KANYOK,,Julia Bischoffberger
KAONDE,KAONDE,,Annkathrin Wett
KAONDE_2,KAONDE_2,,Annkathrin Wett
KARI,KARI,,Tessa de Mol-van Valen
KEAKA,KEAKA,,Viveka Velupillai
KEBWE,KEBWE,,Annkathrin Wett
KELAU,KELAU,,Annkathrin Wett
KEMEZUNG,KEMEZUNG,,Viveka Velupillai
KEMPEE,KEMPEE,,Annkathrin Wett
KENDEM,KENDEM,,Zarina Molochieva
KENSWEINSEI,KENSWEINSEI,,Viveka Velupillai
KENYANG_KITWII,KENYANG_KITWII,,Zarina Molochieva
KESAA_SAKATA,KESAA_SAKATA,,Annkathrin Wett
KESUKUMA,KESUKUMA,,Annkathrin Wett
KETE,KETE,,Julia Bischoffberger
KIHOLU,KIHOLU,,Søren Wichmann and Viveka Velupillai
KIKEREWE,KIKEREWE,,Viveka Velupillai
KILUBA,KILUBA,,Annkathrin Wett
KIMATENGO,KIMATENGO,,Annkathrin Wett
KIMBU,KIMBU,,Tessa de Mol-van Valen
KINAMI_DIBOLE,KINAMI_DIBOLE,,Sebastian Sauppe
KINDAMBA,KINDAMBA,,Tessa de Mol-van Valen
KINYAMWEZI,KINYAMWEZI,,Søren Wichmann and Viveka Velupillai
KINYARWANDA,KINYARWANDA,,André Müller
KIRUNDI,KIRUNDI,,Annkathrin Wett
KISONGE,KISONGE,,Annkathrin Wett
KITABWA,KITABWA,,Søren Wichmann
KOL,KOL,,Julia Bischoffberger
KOMO,KOMO,,Annkathrin Wett
KOMO_2,KOMO_2,,Annkathrin Wett
KOM_MBIZINAKU,KOM_MBIZINAKU,,Viveka Velupillai
KOM,KOM,,Viveka Velupillai
KONDA_TWELIA,KONDA_TWELIA,,Annkathrin Wett
KONGO_MBOMA,KONGO_MBOMA,,Annkathrin Wett
KONGO_SAN_SALVADOR,KONGO_SAN_SALVADOR,,Julia Bischoffberger
KONGO_SAN_SALVADOR_2,KONGO_SAN_SALVADOR_2,,Annkathrin Wett
KONJA_NDUNG,KONJA_NDUNG,,Viveka Velupillai
KONJA_SUNDANI,KONJA_SUNDANI,,Viveka Velupillai
KONZO,KONZO,,Tessa de Mol-van Valen
KOONGO,KOONGO,,Julia Bischoffberger
KOONZIME,KOONZIME,,Annkathrin Wett
KOOZIME,KOOZIME,,Annkathrin Wett
KOREKORE,KOREKORE,,Annkathrin Wett
KOSHIN,KOSHIN,,Viveka Velupillai
KOTA_MANDUNGWE,KOTA_MANDUNGWE,,Annkathrin Wett
KOTA_MEKAMBO,KOTA_MEKAMBO,,Annkathrin Wett
KOTA,KOTA,,Annkathrin Wett
KOTI,KOTI,,Søren Wichmann
KOUNDOUMOU_BAMBOMBA_BOMITABA,KOUNDOUMOU_BAMBOMBA_BOMITABA,,Sebastian Sauppe
