item	n_trials	err	rt	sd	rtz	n_used
sometrais	22	0.136363636	817.2105263	260.3705861	0.130669827	19
vetucoution	23	0.043478261	846.3333333	265.2160126	-0.034069049	21
heusenreil	24	0.041666667	716.6086957	254.0720619	-0.460981899	23
lanmin	21	0.047619048	697.65	146.5972912	-0.594705035	20
peités	20	0	771.5	205.8240178	-0.119617809	20
fatichée	24	0.125	971.047619	201.0769694	0.922771006	21
ainrir	22	0	734.9090909	177.4751248	-0.404113795	22
guevillors	23	0	768	232.3304856	-0.20527621	23
injourment	24	0.083333333	916.7727273	214.5375829	0.372640709	22
ancotemps	23	0	807.6521739	197.8545399	-0.043342916	23
osatrome	22	0	750.5909091	269.5899283	-0.420820003	22
tengeur	24	0.208333333	797.1052632	184.5191633	0.058385337	19
trouliré	24	0.041666667	845.5652174	215.7574029	0.151069549	23
ruitreste	23	0	726.2173913	194.0060816	-0.279208355	23
cettirait	23	0.043478261	809.7272727	192.2199092	0.056231223	22
lacupatraidais	24	0	803.625	203.6605899	-0.011237203	24
marbruns	24	0.083333333	810.4090909	223.8097958	-0.199630068	22
decicrirains	25	0.08	1014.826087	324.1480655	0.982481709	23
tuntourcarse	23	0.043478261	692.5454545	117.7134241	-0.434782735	22
facrétrer	21	0.047619048	811.5	242.5082744	0.105097434	20
étontribles	22	0.090909091	856.9	344.8427407	0.385005576	20
fidiencote	21	0	817.1904762	244.5020693	-0.24925602	21
avero	22	0	726	215.7088681	-0.274500253	20
chasertion	23	0	810.4782609	176.4461982	0.0723577	23
choroqueux	23	0	915	195.7452183	0.275488106	22
oumisjorivre	23	0	666.1363636	136.8479502	-0.748923214	22
arreutuce	22	0.090909091	710.15	156.7274789	-0.499138227	20
letron	23	0.043478261	673.6363636	188.5141261	-0.696381221	22
repole	22	0	690.4761905	136.7031891	-0.516889533	21
dannonser	24	0	736.375	138.6788008	-0.379359731	24
tiléle	23	0	739.2608696	164.7367645	-0.394766159	23
seutrevait	22	0	936.7272727	210.6613581	0.385104193	22
deterserpas	22	0	804.7727273	212.6418701	0.267308487	22
fortervailtrée	22	0	867.4545455	230.4334895	0.233228704	22
grillevicter	24	0	851.125	273.2459177	0.035756777	24
phriable	22	0.045454545	771.4761905	238.7893672	0.047338264	21
reure	24	0	689.5416667	120.1632872	-0.709459604	24
jaché	23	0.217391304	828.1111111	254.9671003	0.122926198	18
insnité	25	0.08	810.0434783	228.7937694	0.102897612	23
goscepolors	23	0.086956522	722.952381	189.6922445	-0.494637094	21
cailtitaient	22	0.045454545	859.8421053	249.1035624	0.258425465	19
beaufitete	20	0	849.4	228.1724648	0.202036147	20
pépontes	23	0	758	151.6617049	-0.129671036	23
oturbangarme	23	0	809.2173913	254.2092832	-0.092155893	23
épite	22	0.090909091	736.1578947	168.8685429	-0.325320067	19
rutier	21	0.047619048	775.5	241.4603244	-0.16134814	18
jeutodroits	21	0.047619048	749.65	189.9693258	-0.233290966	20
berrovanais	22	0	774.9545455	193.350281	-0.086527357	22
exulpatolors	24	0	824.2173913	216.7111518	0.188191289	23
astatiens	23	0.086956522	797.7619048	225.109952	-0.017454165	21
favernais	22	0	831.4545455	193.6483625	0.038219014	22
ivangé	23	0.043478261	837.9090909	269.8459718	0.011378737	22
lettupes	20	0	749.25	188.516054	-0.188908553	20
chotire	21	0	693.6666667	164.5628553	-0.568878897	21
sacouvoyer	25	0.04	855.4347826	278.2135913	0.154028914	23
prélentin	21	0.095238095	850.7894737	237.088961	0.102013922	19
sounister	24	0.083333333	782.7142857	188.2203875	0.130709718	21
sotercachetase	23	0.043478261	879.75	319.4551076	0.104805831	20
soucoulias	23	0	844.6956522	228.334371	-0.109623837	23
parcoution	20	0	858.1	262.6195768	0.700841141	20
heucodre	23	0	660.5652174	134.7957465	-0.703230472	23
tupaireux	23	0.043478261	691.0454545	146.510353	-0.511213911	22
pourpreme	26	0	779.6923077	178.5823663	-0.277005269	26
coucierleurs	25	0	845.64	213.6564376	0.262594726	25
afirait	19	0.052631579	861.3888889	213.9010598	0.450204312	18
gerecce	21	0	760.2857143	194.5101907	-0.19127921	21
reba	22	0.045454545	658.4761905	132.5332483	-0.677596307	21
asacienlite	25	0	798.0833333	207.9673713	-0.083347676	24
queltés	20	0	684.65	138.1594331	-0.63381023	20
jourtaildait	24	0	740.6956522	160.6329624	-0.100398281	23
bonglivitiles	21	0	836.7619048	197.6865966	0.021617028	21
famaiterla	21	0	741.7619048	185.8951061	-0.383584474	21
pacivrit	24	0.041666667	752.1304348	171.7911799	-0.425784352	23
tencousait	21	0	723.7142857	167.7760838	-0.299033457	21
prositre	22	0	842.9545455	204.2557867	0.29631706	22
jourgnapeur	25	0.04	749.5416667	172.6803982	-0.213903485	24
esticonché	24	0	748.5416667	192.2758388	-0.275129204	24
cetterser	19	0	723.8421053	239.9789952	-0.48046891	19
pudédaient	24	0	979.4166667	259.2009321	0.884133081	24
mistilivere	20	0.1	976.3333333	308.4277015	0.71457881	18
dischoirer	23	0.043478261	757.7272727	172.7153402	-0.171078711	22
faisasonvers	22	0.090909091	828.6	266.7090668	-0.030935401	20
oudin	21	0	772.8571429	203.3770601	-0.330467494	21
forporsé	23	0	702.3478261	138.6013278	-0.510162827	23
soural	25	0.04	760.25	237.6430004	-0.204307935	24
écendis	22	0	865.6818182	290.3535425	0.266783718	22
cisissers	23	0.043478261	924.95	217.3196712	0.901349095	20
jeuvamiève	22	0.045454545	709.5714286	159.5943519	-0.401491433	21
trounsion	20	0	700.1	114.3622591	-0.492683199	20
bres	24	0	805.625	233.9341811	-0.00659331	24
vasonges	22	0.045454545	827.047619	259.3537114	0.077062056	21
faitotes	23	0	772.4782609	235.7373094	-0.091619178	23
ciciéra	20	0	853.05	292.3211059	0.159997298	20
libriver	24	0.083333333	761.2272727	117.8428865	-0.210382639	22
traplisi	21	0	695.952381	108.6165163	-0.656264955	21
détemire	22	0.090909091	925.6	231.4033617	0.759127937	20
lecterte	23	0	759.826087	243.8460118	-0.168960127	23
hiperer	25	0	711	153.3672064	-0.488110839	25
scrondre	22	0.045454545	676.4761905	125.5757218	-0.628173548	21
mourotte	24	0	761.5416667	194.466266	-0.35287683	24
heuprivrit	20	0	809.1	238.342721	-0.19095799	20
forsire	23	0	650.5217391	95.45816293	-0.826339106	23
timentalsait	21	0.047619048	873.9	337.0495669	0.327812305	20
laistroude	24	0.041666667	762.7826087	174.0890463	-0.307790681	23
courseaux	20	0.15	852.1176471	217.7908637	0.416834259	17
repéfois	21	0	888.6190476	254.749382	0.495857925	21
icires	23	0.043478261	723.6818182	232.4100208	-0.428000351	22
laismique	22	0	816.8181818	214.296776	0.072249855	22
capiers	24	0.166666667	890.45	202.2087184	0.555051744	20
dertoitivant	23	0	849.0952381	173.3343315	0.309008614	21
blouer	24	0.125	894.4761905	209.3584531	0.318033776	21
miléle	22	0	717.9090909	159.4735115	-0.36449283	22
vicouvres	24	0	786.3333333	233.9553407	-0.058956434	24
filmantion	24	0.083333333	868.3636364	253.6259986	0.367354295	22
misparseil	23	0	710.6086957	191.2553598	-0.51641293	23
paltoilélée	22	0	827.8181818	219.9053122	-0.034173609	22
aimencatait	22	0	819.8095238	284.789329	0.550341323	21
tersitit	25	0	735.72	268.5449249	-0.456131369	25
